"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-73,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-72,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-71,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-70,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-69,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-68,NA,NA,1,NA,NA,1,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA
-67,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
-66,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
-65,NA,NA,2,NA,NA,1,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
-64,NA,NA,2,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
-63,NA,NA,2,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
-62,NA,NA,3,NA,NA,1,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,4,NA,NA,1,NA,NA,33.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,4,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,6,NA,NA,2,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,7,NA,NA,1,NA,NA,16.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,9,NA,NA,2,NA,NA,28.5714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,10,NA,NA,1,NA,NA,11.1111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,12,NA,NA,2,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,15,NA,NA,3,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,17,NA,NA,2,NA,NA,13.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,20,NA,NA,3,NA,NA,17.6470588235294,NA,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,24,NA,NA,4,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,27,NA,NA,3,NA,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,30,NA,NA,3,NA,NA,11.1111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,34,NA,NA,4,NA,NA,13.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,39,NA,NA,5,NA,NA,14.7058823529412,NA,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,45,NA,NA,6,NA,NA,15.3846153846154,NA,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,51,NA,NA,6,NA,NA,13.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,57,NA,NA,6,NA,NA,11.7647058823529,NA,NA,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,61,NA,NA,4,NA,NA,7.01754385964912,NA,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,66,NA,NA,5,NA,NA,8.19672131147541,NA,NA,NA,NA,NA,NA,NA,NA,NA
-41,NA,NA,71,NA,NA,5,NA,NA,7.57575757575758,NA,NA,NA,NA,NA,NA,NA,NA,NA
-40,NA,NA,77,NA,NA,6,NA,NA,8.45070422535211,NA,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,83,NA,NA,6,NA,NA,7.79220779220779,NA,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,89,NA,NA,6,NA,NA,7.2289156626506,NA,NA,NA,NA,NA,NA,NA,NA,NA
-37,NA,NA,94,NA,NA,5,NA,NA,5.61797752808989,NA,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,98,51,NA,4,NA,NA,4.25531914893617,NA,NA,NA,NA,NA,NA,NA,NA,NA
-35,NA,NA,102,52,NA,4,1,NA,4.08163265306122,1.96078431372549,NA,NA,NA,NA,NA,NA,NA,NA
-34,NA,NA,106,54,NA,4,2,NA,3.92156862745098,3.84615384615385,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,111,54,NA,5,0,NA,4.71698113207547,0,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,115,54,NA,4,0,NA,3.6036036036036,0,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,120,60,NA,5,6,NA,4.34782608695652,11.1111111111111,NA,NA,NA,NA,NA,NA,NA,NA
-30,NA,NA,124,61,NA,4,1,NA,3.33333333333333,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,127,63,NA,3,2,NA,2.41935483870968,3.27868852459016,NA,NA,NA,NA,NA,NA,NA,NA
-28,NA,NA,130,63,NA,3,0,NA,2.36220472440945,0,NA,NA,NA,NA,NA,NA,NA,NA
-27,NA,NA,134,66,NA,4,3,NA,3.07692307692308,4.76190476190476,NA,NA,NA,NA,NA,NA,NA,NA
-26,NA,NA,138,66,NA,4,0,NA,2.98507462686567,0,NA,NA,NA,NA,NA,NA,NA,NA
-25,NA,NA,142,66,NA,4,0,NA,2.89855072463768,0,NA,NA,NA,NA,NA,NA,NA,NA
-24,NA,NA,146,66,NA,4,0,NA,2.8169014084507,0,NA,NA,NA,NA,NA,NA,NA,NA
-23,NA,NA,150,66,NA,4,0,NA,2.73972602739726,0,NA,NA,NA,NA,NA,NA,NA,NA
-22,NA,NA,153,66,NA,3,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA
-21,NA,NA,156,72,NA,3,6,NA,1.96078431372549,9.09090909090909,NA,NA,NA,NA,NA,NA,NA,NA
-20,NA,NA,159,72,NA,3,0,NA,1.92307692307692,0,NA,NA,NA,NA,NA,NA,NA,NA
-19,NA,NA,162,72,NA,3,0,NA,1.88679245283019,0,NA,NA,NA,NA,NA,NA,NA,NA
-18,NA,NA,166,72,NA,4,0,NA,2.46913580246914,0,NA,NA,NA,NA,NA,NA,NA,NA
-17,NA,NA,169,76,NA,3,4,NA,1.80722891566265,5.55555555555556,NA,NA,NA,NA,NA,NA,NA,NA
