"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-70,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-69,NA,NA,NA,54,NA,NA,1,NA,NA,1.88679245283019,NA,NA,NA,NA,NA,NA,NA,NA
-68,NA,NA,NA,55,NA,NA,1,NA,NA,1.85185185185185,NA,NA,NA,NA,NA,NA,NA,NA
-67,NA,NA,NA,55,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-66,NA,NA,NA,55,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-65,NA,NA,NA,79,NA,NA,24,NA,NA,43.6363636363636,NA,NA,NA,NA,NA,NA,NA,NA
-64,NA,NA,NA,86,NA,NA,7,NA,NA,8.86075949367089,NA,NA,NA,NA,NA,NA,NA,NA
-63,NA,NA,NA,93,NA,NA,7,NA,NA,8.13953488372093,NA,NA,NA,NA,NA,NA,NA,NA
-62,NA,NA,NA,100,NA,NA,7,NA,NA,7.52688172043011,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,NA,100,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,NA,100,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,NA,100,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,NA,117,NA,NA,17,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,NA,117,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,NA,119,NA,NA,2,NA,NA,1.70940170940171,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,NA,131,NA,NA,12,NA,NA,10.0840336134454,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,NA,139,NA,NA,8,NA,NA,6.10687022900763,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,NA,139,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,NA,139,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,NA,154,NA,NA,15,NA,NA,10.7913669064748,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,NA,154,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,NA,168,NA,NA,14,NA,NA,9.09090909090909,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,NA,168,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,NA,175,NA,NA,7,NA,NA,4.16666666666667,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,NA,175,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,NA,175,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,NA,175,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,NA,193,NA,NA,18,NA,NA,10.2857142857143,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,NA,201,NA,NA,8,NA,NA,4.14507772020725,NA,NA,NA,NA,NA,NA,NA,NA
-41,NA,NA,NA,203,NA,NA,2,NA,NA,0.995024875621891,NA,NA,NA,NA,NA,NA,NA,NA
-40,NA,NA,NA,205,NA,NA,2,NA,NA,0.985221674876847,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,NA,205,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,NA,205,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
