"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-76,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-75,NA,NA,NA,58,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-74,NA,NA,NA,58,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-73,NA,NA,NA,60,NA,NA,2,NA,NA,3.44827586206897,NA,NA,NA,NA,NA,NA,NA,NA
-72,NA,NA,NA,61,NA,NA,1,NA,NA,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA
-71,NA,NA,NA,62,NA,NA,1,NA,NA,1.63934426229508,NA,NA,NA,NA,NA,NA,NA,NA
-70,NA,NA,NA,64,NA,NA,2,NA,NA,3.2258064516129,NA,NA,NA,NA,NA,NA,NA,NA
-69,NA,NA,NA,67,NA,NA,3,NA,NA,4.6875,NA,NA,NA,NA,NA,NA,NA,NA
-68,NA,NA,NA,70,NA,NA,3,NA,NA,4.47761194029851,NA,NA,NA,NA,NA,NA,NA,NA
-67,NA,NA,NA,73,NA,NA,3,NA,NA,4.28571428571429,NA,NA,NA,NA,NA,NA,NA,NA
-66,NA,NA,NA,79,NA,NA,6,NA,NA,8.21917808219178,NA,NA,NA,NA,NA,NA,NA,NA
-65,NA,NA,NA,81,NA,NA,2,NA,NA,2.53164556962025,NA,NA,NA,NA,NA,NA,NA,NA
-64,NA,NA,NA,81,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-63,NA,NA,NA,81,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-62,NA,NA,NA,81,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,NA,81,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,NA,84,NA,NA,3,NA,NA,3.7037037037037,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,NA,87,NA,NA,3,NA,NA,3.57142857142857,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,NA,88,NA,NA,1,NA,NA,1.14942528735632,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,NA,93,NA,NA,5,NA,NA,5.68181818181818,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,NA,97,NA,NA,4,NA,NA,4.3010752688172,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,NA,98,NA,NA,1,NA,NA,1.03092783505155,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,NA,98,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,NA,102,NA,NA,4,NA,NA,4.08163265306122,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,NA,103,NA,NA,1,NA,NA,0.980392156862745,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,NA,103,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,NA,103,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,NA,106,NA,NA,3,NA,NA,2.9126213592233,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,NA,112,NA,NA,6,NA,NA,5.66037735849057,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,NA,117,NA,NA,5,NA,NA,4.46428571428571,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,NA,117,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,NA,118,NA,NA,1,NA,NA,0.854700854700855,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,NA,127,NA,NA,9,NA,NA,7.6271186440678,NA,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,NA,130,NA,NA,3,NA,NA,2.36220472440945,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,NA,137,NA,NA,7,NA,NA,5.38461538461539,NA,NA,NA,NA,NA,NA,NA,NA
-41,NA,NA,NA,139,NA,NA,2,NA,NA,1.45985401459854,NA,NA,NA,NA,NA,NA,NA,NA
-40,NA,NA,NA,147,NA,NA,8,NA,NA,5.75539568345324,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,NA,149,NA,NA,2,NA,NA,1.36054421768707,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,NA,154,NA,NA,5,NA,NA,3.35570469798658,NA,NA,NA,NA,NA,NA,NA,NA
-37,NA,NA,NA,155,NA,NA,1,NA,NA,0.649350649350649,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,NA,155,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-35,NA,NA,NA,155,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-34,NA,NA,0,160,NA,NA,5,NA,NA,3.2258064516129,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,0,160,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,1,160,NA,1,0,NA,Inf,0,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,1,170,NA,0,10,NA,0,6.25,NA,NA,NA,NA,NA,NA,NA,NA
-30,NA,NA,1,176,NA,0,6,NA,0,3.52941176470588,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,2,188,NA,1,12,NA,100,6.81818181818182,NA,NA,NA,NA,NA,NA,NA,NA
-28,NA,NA,2,198,NA,0,10,NA,0,5.31914893617021,NA,NA,NA,NA,NA,NA,NA,NA
-27,NA,NA,3,200,NA,1,2,NA,50,1.01010101010101,NA,NA,NA,NA,NA,NA,NA,NA
-26,NA,NA,5,200,NA,2,0,NA,66.6666666666667,0,NA,NA,NA,NA,NA,NA,NA,NA
-25,NA,NA,5,200,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-24,NA,NA,7,225,NA,2,25,NA,40,12.5,NA,NA,NA,NA,NA,NA,NA,NA
-23,NA,NA,8,233,NA,1,8,NA,14.2857142857143,3.55555555555556,NA,NA,NA,NA,NA,NA,NA,NA
-22,NA,NA,10,243,NA,2,10,NA,25,4.29184549356223,NA,NA,NA,NA,NA,NA,NA,NA
-21,NA,NA,12,258,NA,2,15,NA,20,6.17283950617284,NA,NA,NA,NA,NA,NA,NA,NA
-20,NA,NA,16,273,NA,4,15,NA,33.3333333333333,5.81395348837209,NA,NA,NA,NA,NA,NA,NA,NA
-19,NA,NA,20,273,NA,4,0,NA,25,0,NA,NA,NA,NA,NA,NA,NA,NA
-18,NA,NA,25,273,NA,5,0,NA,25,0,NA,NA,NA,NA,NA,NA,NA,NA
-17,NA,NA,27,323,NA,2,50,NA,8,18.3150183150183,NA,NA,NA,NA,NA,NA,NA,NA
-16,0,0,33,358,NA,6,35,NA,22.2222222222222,10.8359133126935,NA,NA,NA,NA,NA,NA,NA,NA
-15,1,1,41,398,1,8,40,Inf,24.2424242424242,11.1731843575419,NA,NA,NA,NA,NA,NA,NA,NA
-14,2,1,47,398,0,6,0,0,14.6341463414634,0,NA,NA,NA,NA,NA,NA,NA,NA
-13,3,2,57,476,1,10,78,100,21.2765957446809,19.5979899497487,NA,NA,NA,NA,NA,NA,NA,NA
-12,4,3,66,476,1,9,0,50,15.7894736842105,0,NA,NA,NA,NA,NA,NA,NA,NA
-11,5,3,75,476,0,9,0,0,13.6363636363636,0,NA,NA,NA,NA,NA,NA,NA,NA
-10,6,4,84,572,1,9,96,33.3333333333333,12,20.1680672268908,NA,NA,NA,NA,NA,NA,NA,NA
-9,7,6,96,632,2,12,60,50,14.2857142857143,10.4895104895105,NA,NA,NA,NA,NA,NA,NA,NA
-8,8,7,110,670,1,14,38,16.6666666666667,14.5833333333333,6.0126582278481,NA,NA,NA,NA,NA,NA,NA,NA
-7,9,10,126,734,3,16,64,42.8571428571429,14.5454545454545,9.55223880597015,NA,NA,NA,NA,NA,NA,NA,NA
-6,10,12,144,807,2,18,73,20,14.2857142857143,9.94550408719346,NA,NA,NA,NA,NA,NA,NA,NA
-5,11,14,159,807,2,15,0,16.6666666666667,10.4166666666667,0,NA,NA,NA,NA,NA,NA,NA,NA
-4,12,16,171,807,2,12,0,14.2857142857143,7.54716981132075,0,NA,NA,NA,NA,NA,NA,NA,NA
