"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-34,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,2,NA,NA,1,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,3,NA,NA,1,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,4,NA,NA,1,NA,NA,33.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
-30,NA,NA,6,NA,NA,2,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,9,NA,NA,3,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
-28,NA,NA,12,NA,NA,3,NA,NA,33.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
-27,NA,NA,15,NA,NA,3,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
-26,NA,NA,22,NA,NA,7,NA,NA,46.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
-25,NA,NA,27,NA,NA,5,NA,NA,22.7272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA
-24,NA,NA,33,NA,NA,6,NA,NA,22.2222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA
-23,NA,NA,40,NA,NA,7,NA,NA,21.2121212121212,NA,NA,NA,NA,NA,NA,NA,NA,NA
-22,NA,NA,50,NA,NA,10,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
-21,NA,NA,60,NA,NA,10,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
-20,NA,NA,77,NA,NA,17,NA,NA,28.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
-19,NA,NA,96,NA,NA,19,NA,NA,24.6753246753247,NA,NA,NA,NA,NA,NA,NA,NA,NA
-18,NA,NA,120,NA,NA,24,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
-17,NA,NA,132,54,NA,12,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
-16,NA,NA,162,86,NA,30,32,NA,22.7272727272727,59.2592592592593,NA,NA,NA,NA,NA,NA,NA,NA
-15,0,2,197,101,NA,35,15,NA,21.6049382716049,17.4418604651163,NA,NA,NA,NA,NA,NA,NA,NA
-14,1,3,230,101,1,33,0,50,16.751269035533,0,NA,NA,NA,NA,NA,NA,NA,NA
-13,2,7,276,119,4,46,18,133.333333333333,20,17.8217821782178,NA,NA,NA,NA,NA,NA,NA,NA
-12,3,9,322,119,2,46,0,28.5714285714286,16.6666666666667,0,NA,NA,NA,NA,NA,NA,NA,NA
-11,4,13,365,138,4,43,19,44.4444444444444,13.3540372670807,15.9663865546218,NA,NA,NA,NA,NA,NA,NA,NA
-10,5,15,411,163,2,46,25,15.3846153846154,12.6027397260274,18.1159420289855,NA,NA,NA,NA,NA,NA,NA,NA
-9,6,19,465,194,4,54,31,26.6666666666667,13.1386861313869,19.0184049079755,NA,NA,NA,NA,NA,NA,NA,NA
-8,7,27,535,221,8,70,27,42.1052631578947,15.0537634408602,13.9175257731959,NA,NA,NA,NA,NA,NA,NA,NA
-7,8,36,613,268,9,78,47,33.3333333333333,14.5794392523364,21.2669683257919,NA,NA,NA,NA,NA,NA,NA,NA
-6,9,48,698,268,12,85,0,33.3333333333333,13.8662316476346,0,NA,NA,NA,NA,NA,NA,NA,NA
-5,10,57,771,318,9,73,50,18.75,10.458452722063,18.6567164179104,NA,NA,NA,NA,NA,NA,NA,NA
-4,11,67,833,318,10,62,0,17.5438596491228,8.04150453955901,0,NA,NA,NA,NA,NA,NA,NA,NA
-3,12,80,901,417,13,68,99,19.4029850746269,8.16326530612245,31.1320754716981,NA,NA,NA,NA,NA,NA,NA,NA
-2,13,86,969,432,6,68,15,7.5,7.54716981132075,3.59712230215827,NA,NA,NA,NA,NA,NA,NA,NA
-1,14,94,1050,485,8,81,53,9.30232558139535,8.35913312693498,12.2685185185185,NA,NA,NA,NA,NA,NA,NA,NA
0,15,101,1127,518,7,77,33,7.4468085106383,7.33333333333333,6.80412371134021,NA,NA,518,518,33,33,NA,NA
1,16,108,1205,NA,7,78,NA,6.93069306930693,6.92102928127773,NA,6.93069306930693,6.92102928127773,553.90099009901,553.850931677019,35.90099009901,35.8509316770187,6.93069306930694,6.92102928127774
2,17,112,1273,NA,4,68,NA,3.7037037037037,5.64315352697095,NA,3.7037037037037,5.64315352697095,574.415841584158,585.105590062112,20.5148514851485,31.2546583850932,3.7037037037037,5.64315352697096
3,18,115,1326,NA,3,53,NA,2.67857142857143,4.16339355852317,NA,2.67857142857143,4.16339355852317,589.80198019802,609.465838509317,15.3861386138614,24.360248447205,2.67857142857142,4.16339355852317
4,19,115,1379,NA,0,53,NA,0,3.99698340874811,NA,0,3.99698340874811,589.80198019802,633.826086956522,0,24.360248447205,0,3.99698340874812
5,20,119,1441,NA,4,62,NA,3.47826086956522,4.49601160261059,NA,3.47826086956522,4.49601160261059,610.316831683168,662.32298136646,20.5148514851485,28.4968944099379,3.47826086956521,4.49601160261059
6,21,121,1502,NA,2,61,NA,1.68067226890756,4.23317140874393,NA,1.68067226890756,4.23317140874393,620.574257425743,690.360248447205,10.2574257425742,28.0372670807453,1.68067226890756,4.23317140874392
7,22,123,1561,NA,2,59,NA,1.65289256198347,3.92809587217044,NA,1.65289256198347,3.92809587217044,630.831683168317,717.478260869565,10.2574257425742,27.1180124223603,1.65289256198347,3.92809587217044
8,23,124,1624,NA,1,63,NA,0.813008130081301,4.03587443946188,NA,0.813008130081301,4.03587443946188,635.960396039604,746.434782608696,5.12871287128712,28.9565217391304,0.8130081300813,4.03587443946187
9,24,125,1680,NA,1,56,NA,0.806451612903226,3.44827586206897,NA,0.806451612903226,3.44827586206897,641.089108910891,772.173913043478,5.12871287128712,25.7391304347826,0.806451612903225,3.44827586206897
10,25,127,1727,NA,2,47,NA,1.6,2.79761904761905,NA,1.6,2.79761904761905,651.346534653465,793.776397515528,10.2574257425742,21.6024844720496,1.6,2.79761904761903
11,26,128,1767,NA,1,40,NA,0.78740157480315,2.31615518239722,NA,0.78740157480315,2.31615518239722,656.475247524752,812.16149068323,5.12871287128712,18.3850931677019,0.787401574803149,2.31615518239723
12,27,129,1817,NA,1,50,NA,0.78125,2.82965478211658,NA,0.78125,2.82965478211658,661.603960396039,835.142857142857,5.12871287128712,22.9813664596273,0.781249999999999,2.82965478211658
13,28,132,1872,NA,3,55,NA,2.32558139534884,3.02696752889378,NA,2.32558139534884,3.02696752889378,676.990099009901,860.422360248447,15.3861386138614,25.27950310559,2.32558139534883,3.02696752889378
14,29,133,1923,NA,1,51,NA,0.757575757575758,2.72435897435897,NA,0.757575757575758,2.72435897435897,682.118811881188,883.863354037267,5.12871287128712,23.4409937888198,0.757575757575757,2.72435897435897
15,30,135,1984,NA,2,61,NA,1.50375939849624,3.1721268850754,NA,1.50375939849624,3.1721268850754,692.376237623762,911.900621118012,10.2574257425744,28.0372670807453,1.50375939849626,3.1721268850754
16,31,137,NA,NA,2,NA,NA,1.48148148148148,NA,NA,1.48148148148148,NA,702.633663366337,NA,10.2574257425742,NA,1.48148148148148,NA
17,32,138,NA,NA,1,NA,NA,0.72992700729927,NA,NA,0.72992700729927,NA,707.762376237624,NA,5.12871287128723,NA,0.729927007299285,NA
18,33,139,NA,NA,1,NA,NA,0.72463768115942,NA,NA,0.72463768115942,NA,712.891089108911,NA,5.12871287128712,NA,0.724637681159419,NA
19,34,140,NA,NA,1,NA,NA,0.719424460431655,NA,NA,0.719424460431655,NA,718.019801980198,NA,5.12871287128712,NA,0.719424460431654,NA
20,35,142,NA,NA,2,NA,NA,1.42857142857143,NA,NA,1.42857142857143,NA,728.277227722772,NA,10.2574257425742,NA,1.42857142857143,NA
21,36,143,NA,NA,1,NA,NA,0.704225352112676,NA,NA,0.704225352112676,NA,733.405940594059,NA,5.12871287128712,NA,0.704225352112675,NA
22,37,146,NA,NA,3,NA,NA,2.0979020979021,NA,NA,2.0979020979021,NA,748.792079207921,NA,15.3861386138615,NA,2.09790209790211,NA
23,38,147,NA,NA,1,NA,NA,0.684931506849315,NA,NA,0.684931506849315,NA,753.920792079208,NA,5.12871287128712,NA,0.684931506849314,NA
24,39,148,NA,NA,1,NA,NA,0.680272108843537,NA,NA,0.680272108843537,NA,759.049504950495,NA,5.12871287128712,NA,0.680272108843536,NA
25,40,150,NA,NA,2,NA,NA,1.35135135135135,NA,NA,1.35135135135135,NA,769.306930693069,NA,10.2574257425744,NA,1.35135135135136,NA
26,41,152,NA,NA,2,NA,NA,1.33333333333333,NA,NA,1.33333333333333,NA,779.564356435644,NA,10.2574257425744,NA,1.33333333333335,NA
27,42,153,NA,NA,1,NA,NA,0.657894736842105,NA,NA,0.657894736842105,NA,784.693069306931,NA,5.12871287128712,NA,0.657894736842104,NA
28,43,155,NA,NA,2,NA,NA,1.30718954248366,NA,NA,1.30718954248366,NA,794.950495049505,NA,10.2574257425742,NA,1.30718954248366,NA
29,44,156,NA,NA,1,NA,NA,0.645161290322581,NA,NA,0.645161290322581,NA,800.079207920792,NA,5.12871287128701,NA,0.645161290322565,NA
30,45,157,NA,NA,1,NA,NA,0.641025641025641,NA,NA,0.641025641025641,NA,805.207920792079,NA,5.12871287128712,NA,0.64102564102564,NA
31,46,158,NA,NA,1,NA,NA,0.636942675159236,NA,NA,0.636942675159236,NA,810.336633663366,NA,5.12871287128712,NA,0.636942675159235,NA
32,47,159,NA,NA,1,NA,NA,0.632911392405063,NA,NA,0.632911392405063,NA,815.465346534654,NA,5.12871287128712,NA,0.632911392405062,NA
33,48,160,NA,NA,1,NA,NA,0.628930817610063,NA,NA,0.628930817610063,NA,820.594059405941,NA,5.12871287128712,NA,0.628930817610062,NA
34,49,160,NA,NA,0,NA,NA,0,NA,NA,0,NA,820.594059405941,NA,0,NA,0,NA
35,50,161,NA,NA,1,NA,NA,0.625,NA,NA,0.625,NA,825.722772277228,NA,5.12871287128723,NA,0.625000000000013,NA
36,51,161,NA,NA,0,NA,NA,0,NA,NA,0,NA,825.722772277228,NA,0,NA,0,NA
