"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-65,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-64,NA,NA,1,NA,NA,1,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA
-63,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
-62,NA,NA,2,NA,NA,1,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,3,NA,NA,1,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,4,NA,NA,1,NA,NA,33.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,5,NA,NA,1,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,6,NA,NA,1,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,9,NA,NA,3,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,11,NA,NA,2,NA,NA,22.2222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,14,NA,NA,3,NA,NA,27.2727272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,17,NA,NA,3,NA,NA,21.4285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,22,NA,NA,5,NA,NA,29.4117647058824,NA,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,26,NA,NA,4,NA,NA,18.1818181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,33,NA,NA,7,NA,NA,26.9230769230769,NA,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,41,NA,NA,8,NA,NA,24.2424242424242,NA,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,51,NA,NA,10,NA,NA,24.390243902439,NA,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,57,NA,NA,6,NA,NA,11.7647058823529,NA,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,70,NA,NA,13,NA,NA,22.8070175438596,NA,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,84,NA,NA,14,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,99,NA,NA,15,NA,NA,17.8571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,118,NA,NA,19,NA,NA,19.1919191919192,NA,NA,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,138,NA,NA,20,NA,NA,16.9491525423729,NA,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,156,NA,NA,18,NA,NA,13.0434782608696,NA,NA,NA,NA,NA,NA,NA,NA,NA
-41,NA,NA,176,NA,NA,20,NA,NA,12.8205128205128,NA,NA,NA,NA,NA,NA,NA,NA,NA
-40,0,1,200,60,NA,24,NA,NA,13.6363636363636,NA,NA,NA,NA,NA,NA,NA,NA,NA
-39,1,1,229,70,0,29,10,0,14.5,16.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA
-38,2,3,263,92,2,34,22,200,14.8471615720524,31.4285714285714,NA,NA,NA,NA,NA,NA,NA,NA
-37,3,4,299,106,1,36,14,33.3333333333333,13.6882129277567,15.2173913043478,NA,NA,NA,NA,NA,NA,NA,NA
-36,4,5,330,118,1,31,12,25,10.3678929765886,11.3207547169811,NA,NA,NA,NA,NA,NA,NA,NA
-35,5,6,357,130,1,27,12,20,8.18181818181818,10.1694915254237,NA,NA,NA,NA,NA,NA,NA,NA
-34,6,8,387,206,2,30,76,33.3333333333333,8.40336134453782,58.4615384615385,NA,NA,NA,NA,NA,NA,NA,NA
-33,7,12,416,222,4,29,16,50,7.49354005167959,7.76699029126214,NA,NA,NA,NA,NA,NA,NA,NA
-32,8,15,450,240,3,34,18,25,8.17307692307692,8.10810810810811,NA,NA,NA,NA,NA,NA,NA,NA
-31,9,21,483,256,6,33,16,40,7.33333333333333,6.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA
-30,10,25,517,272,4,34,16,19.047619047619,7.03933747412008,6.25,NA,NA,NA,NA,NA,NA,NA,NA
-29,11,29,546,287,4,29,15,16,5.60928433268859,5.51470588235294,NA,NA,NA,NA,NA,NA,NA,NA
-28,12,34,569,308,5,23,21,17.2413793103448,4.21245421245421,7.31707317073171,NA,NA,NA,NA,NA,NA,NA,NA
-27,13,37,591,341,3,22,33,8.82352941176471,3.86643233743409,10.7142857142857,NA,NA,NA,NA,NA,NA,NA,NA
-26,14,40,618,355,3,27,14,8.10810810810811,4.56852791878173,4.10557184750733,NA,NA,NA,NA,NA,NA,NA,NA
