"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-51,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,12,NA,NA,7,NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,18,NA,NA,6,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,25,NA,NA,7,NA,NA,38.8888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,35,NA,NA,10,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,51,NA,NA,16,NA,NA,45.7142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,69,NA,NA,18,NA,NA,35.2941176470588,NA,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,88,55,NA,19,NA,NA,27.536231884058,NA,NA,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,132,68,NA,44,13,NA,50,23.6363636363636,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,158,74,NA,26,6,NA,19.6969696969697,8.82352941176471,NA,NA,NA,NA,NA,NA,NA,NA
-41,NA,NA,194,78,NA,36,4,NA,22.7848101265823,5.40540540540541,NA,NA,NA,NA,NA,NA,NA,NA
-40,NA,NA,240,134,NA,46,56,NA,23.7113402061856,71.7948717948718,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,300,185,NA,60,51,NA,25,38.0597014925373,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,360,203,NA,60,18,NA,20,9.72972972972973,NA,NA,NA,NA,NA,NA,NA,NA
-37,NA,NA,457,229,NA,97,26,NA,26.9444444444444,12.807881773399,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,573,445,NA,116,216,NA,25.382932166302,94.3231441048035,NA,NA,NA,NA,NA,NA,NA,NA
-35,NA,NA,713,526,NA,140,81,NA,24.4328097731239,18.2022471910112,NA,NA,NA,NA,NA,NA,NA,NA
-34,NA,NA,789,563,NA,76,37,NA,10.6591865357644,7.03422053231939,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,968,680,NA,179,117,NA,22.6869455006337,20.7815275310835,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,1174,847,NA,206,167,NA,21.2809917355372,24.5588235294118,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,1372,895,NA,198,48,NA,16.8654173764906,5.66706021251476,NA,NA,NA,NA,NA,NA,NA,NA
-30,NA,NA,1644,1036,NA,272,141,NA,19.8250728862974,15.7541899441341,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,1923,1284,NA,279,248,NA,16.970802919708,23.9382239382239,NA,NA,NA,NA,NA,NA,NA,NA
-28,NA,NA,2174,1395,NA,251,111,NA,13.052522100884,8.64485981308411,NA,NA,NA,NA,NA,NA,NA,NA
-27,NA,NA,2448,1809,NA,274,414,NA,12.6034958601656,29.6774193548387,NA,NA,NA,NA,NA,NA,NA,NA
-26,NA,NA,2775,2146,NA,327,337,NA,13.3578431372549,18.6290768380321,NA,NA,NA,NA,NA,NA,NA,NA
-25,NA,NA,3189,2341,NA,414,195,NA,14.9189189189189,9.08667287977633,NA,NA,NA,NA,NA,NA,NA,NA
-24,NA,NA,3654,3047,NA,465,706,NA,14.5813734713076,30.158052114481,NA,NA,NA,NA,NA,NA,NA,NA
-23,NA,NA,4164,3261,NA,510,214,NA,13.9573070607553,7.02330160813915,NA,NA,NA,NA,NA,NA,NA,NA
-22,0,10,4596,3561,NA,432,300,NA,10.3746397694525,9.19963201471941,NA,NA,NA,NA,NA,NA,NA,NA
-21,1,19,4968,3629,9,372,68,90,8.09399477806789,1.90957596180848,NA,NA,NA,NA,NA,NA,NA,NA
-20,2,40,5376,3747,21,408,118,110.526315789474,8.21256038647343,3.25158445852852,NA,NA,NA,NA,NA,NA,NA,NA
-19,3,55,5781,3907,15,405,160,37.5,7.53348214285714,4.27008273285295,NA,NA,NA,NA,NA,NA,NA,NA
-18,4,76,6263,4097,21,482,190,38.1818181818182,8.33765784466355,4.86306629127208,NA,NA,NA,NA,NA,NA,NA,NA
-17,5,90,6722,4306,14,459,209,18.4210526315789,7.32875618713077,5.10129362948499,NA,NA,NA,NA,NA,NA,NA,NA
-16,6,116,7186,4460,26,464,154,28.8888888888889,6.90270752752157,3.57640501625639,NA,NA,NA,NA,NA,NA,NA,NA
-15,7,162,7592,4653,46,406,193,39.6551724137931,5.64987475647092,4.32735426008969,NA,NA,NA,NA,NA,NA,NA,NA
-14,8,214,7906,4823,52,314,170,32.0987654320988,4.13593256059009,3.65355684504621,NA,NA,NA,NA,NA,NA,NA,NA
-13,9,289,8221,4977,75,315,154,35.0467289719626,3.98431570958765,3.19303338171263,NA,NA,NA,NA,NA,NA,NA,NA
-12,10,342,8593,5143,53,372,166,18.3391003460208,4.52499695900742,3.3353425758489,NA,NA,NA,NA,NA,NA,NA,NA
-11,11,397,8956,5211,55,363,68,16.0818713450292,4.22436867217503,1.32218549484737,NA,NA,NA,NA,NA,NA,NA,NA
-10,12,475,9312,5330,78,356,119,19.647355163728,3.97498883430103,2.28363078104011,NA,NA,NA,NA,NA,NA,NA,NA
-9,13,515,9685,5482,40,373,152,8.42105263157895,4.00558419243986,2.85178236397749,NA,NA,NA,NA,NA,NA,NA,NA
-8,14,558,10021,5628,43,336,146,8.3495145631068,3.46928239545689,2.66326158336374,NA,NA,NA,NA,NA,NA,NA,NA
-7,15,604,10301,5729,46,280,101,8.24372759856631,2.79413232212354,1.79459843638948,NA,NA,NA,NA,NA,NA,NA,NA
-6,16,645,10537,5827,41,236,98,6.78807947019868,2.29103970488302,1.71059521731541,NA,NA,NA,NA,NA,NA,NA,NA
-5,17,670,10835,5986,25,298,159,3.87596899224806,2.82812944860966,2.72867684915051,NA,NA,NA,NA,NA,NA,NA,NA
-4,18,685,11161,6161,15,326,175,2.23880597014925,3.00876788186433,2.92348813899098,NA,NA,NA,NA,NA,NA,NA,NA
-3,19,689,11469,6356,4,308,195,0.583941605839416,2.75960935400054,3.1650706054212,NA,NA,NA,NA,NA,NA,NA,NA
-2,20,711,11833,6551,22,364,195,3.19303338171263,3.17377277879501,3.06796727501573,NA,NA,NA,NA,NA,NA,NA,NA
-1,21,721,12151,6708,10,318,157,1.40646976090014,2.68739964506042,2.39658067470615,NA,NA,NA,NA,NA,NA,NA,NA
0,22,731,12396,6838,10,245,130,1.3869625520111,2.01629495514772,1.93798449612403,NA,NA,6838,6838,130,130,NA,NA
1,23,741,12627,NA,10,231,NA,1.36798905608755,1.86350435624395,NA,1.36798905608755,1.86350435624395,6931.54309165527,6965.42642787996,93.5430916552668,127.42642787996,1.36798905608755,1.86350435624393
2,24,748,12835,NA,7,208,NA,0.944669365721997,1.64726379979409,NA,0.944669365721997,1.64726379979409,6997.02325581395,7080.16537592772,65.4801641586864,114.738948047758,0.944669365721993,1.6472637997941
3,25,755,13129,NA,7,294,NA,0.935828877005348,2.29061160888196,NA,0.935828877005348,2.29061160888196,7062.50341997264,7242.34446595676,65.4801641586864,162.179090029041,0.935828877005343,2.29061160888195
4,26,762,13400,NA,7,271,NA,0.927152317880795,2.06413283570721,NA,0.927152317880795,2.06413283570721,7127.98358413133,7391.8360761536,65.4801641586864,149.491610196837,0.92715231788079,2.06413283570721
5,27,771,13672,NA,9,272,NA,1.18110236220472,2.02985074626866,NA,1.18110236220472,2.02985074626866,7212.17236662107,7541.87931590835,84.1887824897403,150.043239754758,1.18110236220473,2.02985074626864
6,28,785,13908,NA,14,236,NA,1.81582360570687,1.72615564657695,NA,1.81582360570687,1.72615564657695,7343.13269493844,7672.06389157792,130.960328317373,130.18457566957,1.81582360570687,1.72615564657694
7,29,793,14084,NA,8,176,NA,1.01910828025478,1.26545872878919,NA,1.01910828025478,1.26545872878919,7417.96716826265,7769.15069377218,74.8344733242138,97.0868021942561,1.01910828025478,1.26545872878918
