"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-68,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-67,NA,NA,NA,79,NA,NA,17,NA,NA,27.4193548387097,NA,NA,NA,NA,NA,NA,NA,NA
-66,NA,NA,NA,86,NA,NA,7,NA,NA,8.86075949367089,NA,NA,NA,NA,NA,NA,NA,NA
-65,NA,NA,NA,86,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-64,NA,NA,NA,99,NA,NA,13,NA,NA,15.1162790697674,NA,NA,NA,NA,NA,NA,NA,NA
-63,NA,NA,NA,128,NA,NA,29,NA,NA,29.2929292929293,NA,NA,NA,NA,NA,NA,NA,NA
-62,NA,NA,NA,128,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,NA,139,NA,NA,11,NA,NA,8.59375,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,NA,146,NA,NA,7,NA,NA,5.03597122302158,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,NA,188,NA,NA,42,NA,NA,28.7671232876712,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,NA,188,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,NA,190,NA,NA,2,NA,NA,1.06382978723404,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,NA,198,NA,NA,8,NA,NA,4.21052631578947,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,NA,217,NA,NA,19,NA,NA,9.5959595959596,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,NA,225,NA,NA,8,NA,NA,3.68663594470046,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,NA,242,NA,NA,17,NA,NA,7.55555555555556,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,NA,255,NA,NA,13,NA,NA,5.37190082644628,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,NA,255,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,NA,261,NA,NA,6,NA,NA,2.35294117647059,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,NA,275,NA,NA,14,NA,NA,5.3639846743295,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,NA,275,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,NA,290,NA,NA,15,NA,NA,5.45454545454545,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,NA,299,NA,NA,9,NA,NA,3.10344827586207,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,NA,303,NA,NA,4,NA,NA,1.33779264214047,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,NA,308,NA,NA,5,NA,NA,1.65016501650165,NA,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,NA,308,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,NA,315,NA,NA,7,NA,NA,2.27272727272727,NA,NA,NA,NA,NA,NA,NA,NA
-41,NA,NA,NA,324,NA,NA,9,NA,NA,2.85714285714286,NA,NA,NA,NA,NA,NA,NA,NA
-40,NA,NA,NA,334,NA,NA,10,NA,NA,3.08641975308642,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,NA,339,NA,NA,5,NA,NA,1.49700598802395,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,NA,340,NA,NA,1,NA,NA,0.294985250737463,NA,NA,NA,NA,NA,NA,NA,NA
-37,NA,NA,1,341,NA,NA,1,NA,NA,0.294117647058824,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,2,341,NA,1,0,NA,100,0,NA,NA,NA,NA,NA,NA,NA,NA
-35,NA,NA,3,353,NA,1,12,NA,50,3.51906158357771,NA,NA,NA,NA,NA,NA,NA,NA
-34,NA,NA,5,353,NA,2,0,NA,66.6666666666667,0,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,6,368,NA,1,15,NA,20,4.24929178470255,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,9,377,NA,3,9,NA,50,2.44565217391304,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,13,387,NA,4,10,NA,44.4444444444444,2.6525198938992,NA,NA,NA,NA,NA,NA,NA,NA
-30,NA,NA,16,389,NA,3,2,NA,23.0769230769231,0.516795865633075,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,24,394,NA,8,5,NA,50,1.2853470437018,NA,NA,NA,NA,NA,NA,NA,NA
-28,NA,NA,29,403,NA,5,9,NA,20.8333333333333,2.28426395939086,NA,NA,NA,NA,NA,NA,NA,NA
-27,NA,NA,36,409,NA,7,6,NA,24.1379310344828,1.48883374689826,NA,NA,NA,NA,NA,NA,NA,NA
-26,NA,NA,44,417,NA,8,8,NA,22.2222222222222,1.9559902200489,NA,NA,NA,NA,NA,NA,NA,NA
-25,NA,NA,55,425,NA,11,8,NA,25,1.91846522781775,NA,NA,NA,NA,NA,NA,NA,NA
-24,NA,NA,66,425,NA,11,0,NA,20,0,NA,NA,NA,NA,NA,NA,NA,NA
-23,NA,NA,84,440,NA,18,15,NA,27.2727272727273,3.52941176470588,NA,NA,NA,NA,NA,NA,NA,NA
-22,NA,NA,106,448,NA,22,8,NA,26.1904761904762,1.81818181818182,NA,NA,NA,NA,NA,NA,NA,NA
-21,NA,NA,131,457,NA,25,9,NA,23.5849056603774,2.00892857142857,NA,NA,NA,NA,NA,NA,NA,NA
-20,NA,NA,145,467,NA,14,10,NA,10.6870229007634,2.18818380743982,NA,NA,NA,NA,NA,NA,NA,NA
-19,NA,NA,178,472,NA,33,5,NA,22.7586206896552,1.07066381156317,NA,NA,NA,NA,NA,NA,NA,NA
-18,NA,NA,216,482,NA,38,10,NA,21.3483146067416,2.11864406779661,NA,NA,NA,NA,NA,NA,NA,NA
-17,0,2,253,482,NA,37,0,NA,17.1296296296296,0,NA,NA,NA,NA,NA,NA,NA,NA
-16,1,3,303,497,1,50,15,50,19.7628458498024,3.11203319502075,NA,NA,NA,NA,NA,NA,NA,NA
-15,2,7,354,504,4,51,7,133.333333333333,16.8316831683168,1.40845070422535,NA,NA,NA,NA,NA,NA,NA,NA
-14,3,10,401,516,3,47,12,42.8571428571429,13.2768361581921,2.38095238095238,NA,NA,NA,NA,NA,NA,NA,NA
-13,4,14,451,537,4,50,21,40,12.4688279301746,4.06976744186047,NA,NA,NA,NA,NA,NA,NA,NA
-12,5,17,511,548,3,60,11,21.4285714285714,13.3037694013304,2.04841713221601,NA,NA,NA,NA,NA,NA,NA,NA
-11,6,21,588,548,4,77,0,23.5294117647059,15.0684931506849,0,NA,NA,NA,NA,NA,NA,NA,NA
-10,7,30,673,548,9,85,0,42.8571428571429,14.4557823129252,0,NA,NA,NA,NA,NA,NA,NA,NA
-9,8,39,767,575,9,94,27,30,13.9673105497771,4.92700729927007,NA,NA,NA,NA,NA,NA,NA,NA
-8,9,53,847,584,14,80,9,35.8974358974359,10.4302477183833,1.56521739130435,NA,NA,NA,NA,NA,NA,NA,NA
-7,10,63,916,610,10,69,26,18.8679245283019,8.14639905548996,4.45205479452055,NA,NA,NA,NA,NA,NA,NA,NA
-6,11,73,991,610,10,75,0,15.8730158730159,8.18777292576419,0,NA,NA,NA,NA,NA,NA,NA,NA
-5,12,88,1065,679,15,74,69,20.5479452054795,7.46720484359233,11.3114754098361,NA,NA,NA,NA,NA,NA,NA,NA
-4,13,95,1154,679,7,89,0,7.95454545454545,8.35680751173709,0,NA,NA,NA,NA,NA,NA,NA,NA
-3,14,103,1239,679,8,85,0,8.42105263157895,7.36568457538995,0,NA,NA,NA,NA,NA,NA,NA,NA
-2,15,111,1324,733,8,85,54,7.76699029126214,6.86037126715093,7.95287187039764,NA,NA,NA,NA,NA,NA,NA,NA
-1,16,119,1399,759,8,75,26,7.20720720720721,5.66465256797583,3.54706684856753,NA,NA,NA,NA,NA,NA,NA,NA
0,17,124,1457,804,5,58,45,4.20168067226891,4.1458184417441,5.92885375494071,NA,NA,804,804,45,45,NA,NA
1,18,126,1515,NA,2,58,NA,1.61290322580645,3.98078242964997,NA,1.61290322580645,3.98078242964997,816.967741935484,836.005490734386,12.9677419354839,32.0054907343857,1.61290322580646,3.98078242964996
2,19,127,1584,NA,1,69,NA,0.793650793650794,4.55445544554455,NA,0.793650793650794,4.55445544554455,823.451612903226,874.080988332189,6.48387096774195,38.0754975978037,0.793650793650795,4.55445544554456
3,20,131,1651,NA,4,67,NA,3.1496062992126,4.22979797979798,NA,3.1496062992126,4.22979797979798,849.387096774194,911.052848318463,25.9354838709677,36.9718599862732,3.14960629921259,4.22979797979799
4,21,133,1716,NA,2,65,NA,1.52671755725191,3.93700787401575,NA,1.52671755725191,3.93700787401575,862.354838709677,946.921070693205,12.9677419354839,35.8682223747426,1.52671755725191,3.93700787401574
5,22,135,1785,NA,2,69,NA,1.50375939849624,4.02097902097902,NA,1.50375939849624,4.02097902097902,875.322580645161,984.996568291009,12.967741935484,38.0754975978037,1.50375939849626,4.02097902097903
6,23,137,1847,NA,2,62,NA,1.48148148148148,3.4733893557423,NA,1.48148148148148,3.4733893557423,888.290322580645,1019.20933424846,12.9677419354839,34.2127659574469,1.48148148148148,3.4733893557423
7,24,138,1898,NA,1,51,NA,0.72992700729927,2.76123443421765,NA,0.72992700729927,2.76123443421765,894.774193548387,1047.35209334248,6.48387096774206,28.1427590940289,0.729927007299284,2.76123443421765
8,25,139,1942,NA,1,44,NA,0.72463768115942,2.31822971548999,NA,0.72463768115942,2.31822971548999,901.258064516129,1071.63212079616,6.48387096774195,24.2800274536719,0.724637681159422,2.31822971548999
9,26,141,1997,NA,2,55,NA,1.43884892086331,2.83213182286303,NA,1.43884892086331,2.83213182286303,914.225806451613,1101.98215511325,12.9677419354838,30.3500343170899,1.4388489208633,2.83213182286303
10,27,142,2057,NA,1,60,NA,0.709219858156028,3.00450676014021,NA,0.709219858156028,3.00450676014021,920.709677419355,1135.09128345916,6.48387096774184,33.1091283459164,0.709219858156017,3.00450676014022
