"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-44,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,NA,59,NA,NA,7,NA,NA,13.4615384615385,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,NA,75,NA,NA,16,NA,NA,27.1186440677966,NA,NA,NA,NA,NA,NA,NA,NA
-41,NA,NA,NA,99,NA,NA,24,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA
-40,NA,NA,NA,106,NA,NA,7,NA,NA,7.07070707070707,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,NA,121,NA,NA,15,NA,NA,14.1509433962264,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,NA,139,NA,NA,18,NA,NA,14.8760330578512,NA,NA,NA,NA,NA,NA,NA,NA
-37,NA,NA,NA,162,NA,NA,23,NA,NA,16.5467625899281,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,NA,172,NA,NA,10,NA,NA,6.17283950617284,NA,NA,NA,NA,NA,NA,NA,NA
-35,NA,NA,NA,186,NA,NA,14,NA,NA,8.13953488372093,NA,NA,NA,NA,NA,NA,NA,NA
-34,NA,NA,0,192,NA,NA,6,NA,NA,3.2258064516129,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,0,252,NA,0,60,NA,NA,31.25,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,0,272,NA,0,20,NA,NA,7.93650793650794,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,0,294,NA,0,22,NA,NA,8.08823529411765,NA,NA,NA,NA,NA,NA,NA,NA
-30,NA,NA,0,295,NA,0,1,NA,NA,0.340136054421769,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,0,327,NA,0,32,NA,NA,10.8474576271186,NA,NA,NA,NA,NA,NA,NA,NA
-28,NA,NA,0,350,NA,0,23,NA,NA,7.03363914373089,NA,NA,NA,NA,NA,NA,NA,NA
-27,NA,NA,0,363,NA,0,13,NA,NA,3.71428571428571,NA,NA,NA,NA,NA,NA,NA,NA
-26,NA,NA,1,399,NA,1,36,NA,Inf,9.91735537190083,NA,NA,NA,NA,NA,NA,NA,NA
-25,NA,NA,1,399,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-24,NA,NA,1,434,NA,0,35,NA,0,8.7719298245614,NA,NA,NA,NA,NA,NA,NA,NA
-23,NA,NA,1,448,NA,0,14,NA,0,3.2258064516129,NA,NA,NA,NA,NA,NA,NA,NA
-22,NA,NA,1,454,NA,0,6,NA,0,1.33928571428571,NA,NA,NA,NA,NA,NA,NA,NA
-21,NA,NA,2,487,NA,1,33,NA,100,7.26872246696035,NA,NA,NA,NA,NA,NA,NA,NA
-20,NA,NA,2,494,NA,0,7,NA,0,1.43737166324435,NA,NA,NA,NA,NA,NA,NA,NA
-19,NA,NA,3,527,NA,1,33,NA,50,6.68016194331984,NA,NA,NA,NA,NA,NA,NA,NA
-18,NA,NA,3,526,NA,0,-1,NA,0,-0.189753320683112,NA,NA,NA,NA,NA,NA,NA,NA
-17,NA,NA,4,535,NA,1,9,NA,33.3333333333333,1.71102661596958,NA,NA,NA,NA,NA,NA,NA,NA
-16,NA,NA,4,526,NA,0,-9,NA,0,-1.68224299065421,NA,NA,NA,NA,NA,NA,NA,NA
-15,NA,NA,5,534,NA,1,8,NA,25,1.52091254752852,NA,NA,NA,NA,NA,NA,NA,NA
-14,NA,NA,6,540,NA,1,6,NA,20,1.12359550561798,NA,NA,NA,NA,NA,NA,NA,NA
