"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-122,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-121,NA,NA,NA,57,NA,NA,4,NA,NA,7.54716981132075,NA,NA,NA,NA,NA,NA,NA,NA
-120,NA,NA,NA,57,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-119,NA,NA,NA,62,NA,NA,5,NA,NA,8.7719298245614,NA,NA,NA,NA,NA,NA,NA,NA
-118,NA,NA,NA,75,NA,NA,13,NA,NA,20.9677419354839,NA,NA,NA,NA,NA,NA,NA,NA
-117,NA,NA,NA,79,NA,NA,4,NA,NA,5.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA
-116,NA,NA,NA,82,NA,NA,3,NA,NA,3.79746835443038,NA,NA,NA,NA,NA,NA,NA,NA
-115,NA,NA,NA,88,NA,NA,6,NA,NA,7.31707317073171,NA,NA,NA,NA,NA,NA,NA,NA
-114,NA,NA,NA,93,NA,NA,5,NA,NA,5.68181818181818,NA,NA,NA,NA,NA,NA,NA,NA
-113,NA,NA,NA,96,NA,NA,3,NA,NA,3.2258064516129,NA,NA,NA,NA,NA,NA,NA,NA
-112,NA,NA,NA,96,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-111,NA,NA,NA,101,NA,NA,5,NA,NA,5.20833333333333,NA,NA,NA,NA,NA,NA,NA,NA
-110,NA,NA,NA,103,NA,NA,2,NA,NA,1.98019801980198,NA,NA,NA,NA,NA,NA,NA,NA
-109,NA,NA,NA,108,NA,NA,5,NA,NA,4.85436893203883,NA,NA,NA,NA,NA,NA,NA,NA
-108,NA,NA,NA,112,NA,NA,4,NA,NA,3.7037037037037,NA,NA,NA,NA,NA,NA,NA,NA
-107,NA,NA,NA,116,NA,NA,4,NA,NA,3.57142857142857,NA,NA,NA,NA,NA,NA,NA,NA
-106,NA,NA,NA,121,NA,NA,5,NA,NA,4.31034482758621,NA,NA,NA,NA,NA,NA,NA,NA
-105,NA,NA,NA,121,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-104,NA,NA,NA,124,NA,NA,3,NA,NA,2.47933884297521,NA,NA,NA,NA,NA,NA,NA,NA
-103,NA,NA,NA,124,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-102,NA,NA,NA,131,NA,NA,7,NA,NA,5.64516129032258,NA,NA,NA,NA,NA,NA,NA,NA
-101,NA,NA,NA,131,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-100,NA,NA,NA,131,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-99,NA,NA,NA,132,NA,NA,1,NA,NA,0.763358778625954,NA,NA,NA,NA,NA,NA,NA,NA
-98,NA,NA,NA,134,NA,NA,2,NA,NA,1.51515151515152,NA,NA,NA,NA,NA,NA,NA,NA
-97,NA,NA,NA,139,NA,NA,5,NA,NA,3.73134328358209,NA,NA,NA,NA,NA,NA,NA,NA
-96,NA,NA,NA,139,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-95,NA,NA,NA,142,NA,NA,3,NA,NA,2.15827338129496,NA,NA,NA,NA,NA,NA,NA,NA
-94,NA,NA,NA,144,NA,NA,2,NA,NA,1.40845070422535,NA,NA,NA,NA,NA,NA,NA,NA
-93,NA,NA,NA,146,NA,NA,2,NA,NA,1.38888888888889,NA,NA,NA,NA,NA,NA,NA,NA
-92,NA,NA,NA,146,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-91,NA,NA,NA,146,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-90,NA,NA,NA,155,NA,NA,9,NA,NA,6.16438356164384,NA,NA,NA,NA,NA,NA,NA,NA
-89,NA,NA,NA,156,NA,NA,1,NA,NA,0.645161290322581,NA,NA,NA,NA,NA,NA,NA,NA
-88,NA,NA,NA,165,NA,NA,9,NA,NA,5.76923076923077,NA,NA,NA,NA,NA,NA,NA,NA
-87,NA,NA,NA,170,NA,NA,5,NA,NA,3.03030303030303,NA,NA,NA,NA,NA,NA,NA,NA
-86,NA,NA,0,170,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-85,NA,NA,1,174,NA,1,4,NA,Inf,2.35294117647059,NA,NA,NA,NA,NA,NA,NA,NA
-84,NA,NA,1,174,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
