"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-40,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,NA,79,NA,NA,17,NA,NA,27.4193548387097,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,1,79,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-37,NA,NA,3,79,NA,2,0,NA,200,0,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,5,119,NA,2,40,NA,66.6666666666667,50.6329113924051,NA,NA,NA,NA,NA,NA,NA,NA
-35,NA,NA,7,137,NA,2,18,NA,40,15.1260504201681,NA,NA,NA,NA,NA,NA,NA,NA
-34,NA,NA,9,160,NA,2,23,NA,28.5714285714286,16.7883211678832,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,14,160,NA,5,0,NA,55.5555555555556,0,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,18,179,NA,4,19,NA,28.5714285714286,11.875,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,23,206,NA,5,27,NA,27.7777777777778,15.0837988826816,NA,NA,NA,NA,NA,NA,NA,NA
-30,NA,NA,35,206,NA,12,0,NA,52.1739130434783,0,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,42,244,NA,7,38,NA,20,18.4466019417476,NA,NA,NA,NA,NA,NA,NA,NA
-28,NA,NA,52,305,NA,10,61,NA,23.8095238095238,25,NA,NA,NA,NA,NA,NA,NA,NA
-27,NA,NA,64,351,NA,12,46,NA,23.0769230769231,15.0819672131148,NA,NA,NA,NA,NA,NA,NA,NA
-26,NA,NA,80,430,NA,16,79,NA,25,22.5071225071225,NA,NA,NA,NA,NA,NA,NA,NA
-25,NA,NA,96,460,NA,16,30,NA,20,6.97674418604651,NA,NA,NA,NA,NA,NA,NA,NA
-24,NA,NA,122,502,NA,26,42,NA,27.0833333333333,9.1304347826087,NA,NA,NA,NA,NA,NA,NA,NA
-23,NA,NA,152,502,NA,30,0,NA,24.5901639344262,0,NA,NA,NA,NA,NA,NA,NA,NA
-22,NA,NA,189,596,NA,37,94,NA,24.3421052631579,18.7250996015936,NA,NA,NA,NA,NA,NA,NA,NA
-21,NA,NA,210,597,NA,21,1,NA,11.1111111111111,0.167785234899329,NA,NA,NA,NA,NA,NA,NA,NA
-20,NA,NA,257,642,NA,47,45,NA,22.3809523809524,7.53768844221105,NA,NA,NA,NA,NA,NA,NA,NA
-19,NA,NA,312,690,NA,55,48,NA,21.4007782101167,7.47663551401869,NA,NA,NA,NA,NA,NA,NA,NA
-18,0,3,365,774,NA,53,84,NA,16.9871794871795,12.1739130434783,NA,NA,NA,NA,NA,NA,NA,NA
-17,1,5,437,856,2,72,82,66.6666666666667,19.7260273972603,10.594315245478,NA,NA,NA,NA,NA,NA,NA,NA
-16,2,11,511,900,6,74,44,120,16.9336384439359,5.14018691588785,NA,NA,NA,NA,NA,NA,NA,NA
-15,3,15,578,900,4,67,0,36.3636363636364,13.1115459882583,0,NA,NA,NA,NA,NA,NA,NA,NA
-14,4,20,651,977,5,73,77,33.3333333333333,12.6297577854671,8.55555555555556,NA,NA,NA,NA,NA,NA,NA,NA
-13,5,24,738,1074,4,87,97,20,13.3640552995392,9.92835209825998,NA,NA,NA,NA,NA,NA,NA,NA
-12,6,31,848,1092,7,110,18,29.1666666666667,14.9051490514905,1.67597765363128,NA,NA,NA,NA,NA,NA,NA,NA
-11,7,43,971,1108,12,123,16,38.7096774193548,14.5047169811321,1.46520146520147,NA,NA,NA,NA,NA,NA,NA,NA
-10,8,57,1107,1174,14,136,66,32.5581395348837,14.0061791967044,5.95667870036101,NA,NA,NA,NA,NA,NA,NA,NA
-9,9,77,1221,1233,20,114,59,35.0877192982456,10.2981029810298,5.02555366269165,NA,NA,NA,NA,NA,NA,NA,NA
-8,10,91,1320,1263,14,99,30,18.1818181818182,8.10810810810811,2.4330900243309,NA,NA,NA,NA,NA,NA,NA,NA
-7,11,106,1429,1312,15,109,49,16.4835164835165,8.25757575757576,3.87965162311956,NA,NA,NA,NA,NA,NA,NA,NA
-6,12,126,1536,1379,20,107,67,18.8679245283019,7.48775367389783,5.10670731707317,NA,NA,NA,NA,NA,NA,NA,NA
-5,13,137,1664,1396,11,128,17,8.73015873015873,8.33333333333333,1.23277737490935,NA,NA,NA,NA,NA,NA,NA,NA
-4,14,148,1786,1412,11,122,16,8.02919708029197,7.33173076923077,1.14613180515759,NA,NA,NA,NA,NA,NA,NA,NA
-3,15,161,1910,1464,13,124,52,8.78378378378378,6.94288913773796,3.68271954674221,NA,NA,NA,NA,NA,NA,NA,NA
-2,16,171,2018,1539,10,108,75,6.2111801242236,5.6544502617801,5.12295081967213,NA,NA,NA,NA,NA,NA,NA,NA
-1,17,178,2101,1591,7,83,52,4.09356725146199,4.11298315163528,3.37881741390513,NA,NA,NA,NA,NA,NA,NA,NA
0,18,182,2185,1654,4,84,63,2.24719101123596,3.998096144693,3.95977372721559,NA,NA,1654,1654,63,63,NA,NA
1,19,183,2284,NA,1,99,NA,0.549450549450549,4.53089244851259,NA,0.549450549450549,4.53089244851259,1663.08791208791,1728.9409610984,9.08791208791195,74.9409610983982,0.549450549450541,4.53089244851259
2,20,189,2380,NA,6,96,NA,3.27868852459016,4.2031523642732,NA,3.27868852459016,4.2031523642732,1717.61538461538,1801.61098398169,54.5274725274726,72.6700228832951,3.27868852459017,4.2031523642732
3,21,192,2475,NA,3,95,NA,1.58730158730159,3.99159663865546,NA,1.58730158730159,3.99159663865546,1744.87912087912,1873.52402745995,27.2637362637361,71.913043478261,1.58730158730158,3.99159663865547
4,22,194,2574,NA,2,99,NA,1.04166666666667,4,NA,1.04166666666667,4,1763.05494505494,1948.46498855835,18.1758241758243,74.9409610983982,1.04166666666668,4
5,23,197,2663,NA,3,89,NA,1.54639175257732,3.45765345765346,NA,1.54639175257732,3.45765345765346,1790.31868131868,2015.83615560641,27.2637362637361,67.3711670480548,1.54639175257731,3.45765345765345
6,24,199,2738,NA,2,75,NA,1.01522842639594,2.81637251220428,NA,1.01522842639594,2.81637251220428,1808.49450549451,2072.60961098398,18.1758241758241,56.7734553775745,1.01522842639594,2.81637251220429
7,25,201,2800,NA,2,62,NA,1.00502512562814,2.26442658875091,NA,1.00502512562814,2.26442658875091,1826.67032967033,2119.54233409611,18.1758241758243,46.9327231121283,1.00502512562815,2.26442658875092
