"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-124,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-123,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-122,2,1,NA,NA,1,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-121,3,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-120,4,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-119,5,2,NA,NA,1,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-118,6,2,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-117,7,3,NA,NA,1,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-116,8,4,NA,NA,1,NA,NA,33.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-115,9,6,NA,NA,2,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-114,10,7,NA,NA,1,NA,NA,16.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-113,11,8,NA,NA,1,NA,NA,14.2857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-112,12,9,NA,NA,1,NA,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-111,13,10,NA,NA,1,NA,NA,11.1111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-110,14,11,NA,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-109,15,12,NA,NA,1,NA,NA,9.09090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-108,16,13,NA,NA,1,NA,NA,8.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-107,17,13,NA,59,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-106,18,13,NA,66,0,NA,7,0,NA,11.864406779661,NA,NA,NA,NA,NA,NA,NA,NA
-105,19,13,NA,73,0,NA,7,0,NA,10.6060606060606,NA,NA,NA,NA,NA,NA,NA,NA
-104,20,14,NA,76,1,NA,3,7.69230769230769,NA,4.10958904109589,NA,NA,NA,NA,NA,NA,NA,NA
-103,21,14,NA,77,0,NA,1,0,NA,1.31578947368421,NA,NA,NA,NA,NA,NA,NA,NA
-102,22,14,NA,81,0,NA,4,0,NA,5.19480519480519,NA,NA,NA,NA,NA,NA,NA,NA
-101,23,15,NA,87,1,NA,6,7.14285714285714,NA,7.40740740740741,NA,NA,NA,NA,NA,NA,NA,NA
-100,24,15,NA,89,0,NA,2,0,NA,2.29885057471264,NA,NA,NA,NA,NA,NA,NA,NA
-99,25,15,NA,89,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-98,26,15,NA,89,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-97,27,15,NA,89,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-96,28,15,NA,93,0,NA,4,0,NA,4.49438202247191,NA,NA,NA,NA,NA,NA,NA,NA
-95,29,16,NA,93,1,NA,0,6.66666666666667,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-94,30,16,NA,95,0,NA,2,0,NA,2.1505376344086,NA,NA,NA,NA,NA,NA,NA,NA
-93,31,16,NA,96,0,NA,1,0,NA,1.05263157894737,NA,NA,NA,NA,NA,NA,NA,NA
-92,32,16,NA,105,0,NA,9,0,NA,9.375,NA,NA,NA,NA,NA,NA,NA,NA
-91,33,16,NA,105,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-90,34,16,NA,114,0,NA,9,0,NA,8.57142857142857,NA,NA,NA,NA,NA,NA,NA,NA
-89,35,17,NA,117,1,NA,3,6.25,NA,2.63157894736842,NA,NA,NA,NA,NA,NA,NA,NA
-88,36,17,NA,121,0,NA,4,0,NA,3.41880341880342,NA,NA,NA,NA,NA,NA,NA,NA
