"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-36,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-35,NA,NA,30,169,NA,NA,60,NA,NA,55.045871559633,NA,NA,NA,NA,NA,NA,NA,NA
-34,NA,NA,44,200,NA,14,31,NA,46.6666666666667,18.3431952662722,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,61,239,NA,17,39,NA,38.6363636363636,19.5,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,86,267,NA,25,28,NA,40.9836065573771,11.7154811715481,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,125,314,NA,39,47,NA,45.3488372093023,17.6029962546816,NA,NA,NA,NA,NA,NA,NA,NA
-30,NA,NA,169,314,NA,44,0,NA,35.2,0,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,215,559,NA,46,245,NA,27.2189349112426,78.0254777070064,NA,NA,NA,NA,NA,NA,NA,NA
-28,NA,NA,323,689,NA,108,130,NA,50.2325581395349,23.2558139534884,NA,NA,NA,NA,NA,NA,NA,NA
-27,NA,NA,388,886,NA,65,197,NA,20.1238390092879,28.5921625544267,NA,NA,NA,NA,NA,NA,NA,NA
-26,NA,NA,477,1058,NA,89,172,NA,22.9381443298969,19.4130925507901,NA,NA,NA,NA,NA,NA,NA,NA
-25,NA,NA,589,1243,NA,112,185,NA,23.4800838574423,17.4858223062382,NA,NA,NA,NA,NA,NA,NA,NA
-24,NA,NA,735,1486,NA,146,243,NA,24.7877758913413,19.549477071601,NA,NA,NA,NA,NA,NA,NA,NA
-23,NA,NA,884,1795,NA,149,309,NA,20.2721088435374,20.7940780619112,NA,NA,NA,NA,NA,NA,NA,NA
-22,NA,NA,1121,2257,NA,237,462,NA,26.8099547511312,25.7381615598886,NA,NA,NA,NA,NA,NA,NA,NA
-21,NA,NA,1405,2815,NA,284,558,NA,25.3345227475468,24.7230837394772,NA,NA,NA,NA,NA,NA,NA,NA
-20,NA,NA,1748,3401,NA,343,586,NA,24.4128113879004,20.8170515097691,NA,NA,NA,NA,NA,NA,NA,NA
-19,NA,NA,1934,3743,NA,186,342,NA,10.6407322654462,10.0558659217877,NA,NA,NA,NA,NA,NA,NA,NA
-18,NA,NA,2375,4269,NA,441,526,NA,22.8024819027921,14.0528987443227,NA,NA,NA,NA,NA,NA,NA,NA
-17,0,23,2880,4937,NA,505,668,NA,21.2631578947368,15.6476926680721,NA,NA,NA,NA,NA,NA,NA,NA
-16,1,46,3366,6235,23,486,1298,100,16.875,26.2912700020255,NA,NA,NA,NA,NA,NA,NA,NA
-15,2,98,4032,7284,52,666,1049,113.04347826087,19.7860962566845,16.8243785084202,NA,NA,NA,NA,NA,NA,NA,NA
-14,3,136,4716,9134,38,684,1850,38.7755102040816,16.9642857142857,25.3981328940143,NA,NA,NA,NA,NA,NA,NA,NA
-13,4,188,5332,10836,52,616,1702,38.2352941176471,13.0619168787108,18.6336763739873,NA,NA,NA,NA,NA,NA,NA,NA
-12,5,220,6004,11899,32,672,1063,17.0212765957447,12.6031507876969,9.80989294942783,NA,NA,NA,NA,NA,NA,NA,NA
