"","Korea","Italy","X"
"X1.22.20",1,0,0
"X1.23.20",1,0,0
"X1.24.20",2,0,0
"X1.25.20",2,0,0
"X1.26.20",3,0,0
"X1.27.20",4,0,0
"X1.28.20",4,0,0
"X1.29.20",4,0,0
"X1.30.20",4,0,0
"X1.31.20",11,2,0
"X2.1.20",12,2,0
"X2.2.20",15,2,0
"X2.3.20",15,2,0
"X2.4.20",16,2,0
"X2.5.20",19,2,0
"X2.6.20",23,2,0
"X2.7.20",24,3,0
"X2.8.20",24,3,0
"X2.9.20",25,3,0
"X2.10.20",27,3,0
"X2.11.20",28,3,0
"X2.12.20",28,3,0
"X2.13.20",28,3,0
"X2.14.20",28,3,0
"X2.15.20",28,3,0
"X2.16.20",29,3,0
"X2.17.20",30,3,0
"X2.18.20",31,3,0
"X2.19.20",31,3,0
"X2.20.20",104,3,0
"X2.21.20",204,20,0
"X2.22.20",433,62,0
"X2.23.20",602,155,0
"X2.24.20",833,229,0
"X2.25.20",977,322,0
"X2.26.20",1261,453,0
"X2.27.20",1766,655,0
"X2.28.20",2337,888,0
"X2.29.20",3150,1128,0
"X3.1.20",3736,1694,0
"X3.2.20",4335,2036,0
"X3.3.20",5186,2502,1
"X3.4.20",5621,3089,1
"X3.5.20",6088,3858,4
"X3.6.20",6593,4636,4
"X3.7.20",7041,5883,4
"X3.8.20",7314,7375,8
"X3.9.20",7478,9172,8
"X3.10.20",7513,10149,13
"X3.11.20",7755,12462,23
"X3.12.20",7869,15113,23
"X3.13.20",7979,17660,43
"X3.14.20",8086,21157,61
"X3.15.20",8162,24747,74
"X3.16.20",8236,27980,155
"X3.17.20",8320,31506,201
"X3.18.20",8413,35713,238
"X3.19.20",8565,41035,238
"X3.20.20",8652,47021,434
"X3.21.20",8799,53578,537
"X3.22.20",8897,59138,632
"X3.23.20",8961,63927,746
"X3.24.20",9037,69176,922
"X3.25.20",9137,74386,1142
"X3.26.20",9241,80589,1306
"X3.27.20",9332,86498,1610
"X3.28.20",9478,92472,1909
"X3.29.20",9583,97689,2139
"X3.30.20",9661,101739,2449
"X3.31.20",9786,105792,2738
"X4.1.20",9887,110574,3031
"X4.2.20",9976,115242,3404
"X4.3.20",10062,119827,3737
"X4.4.20",10156,124632,4161
"X4.5.20",10237,128948,4471
"X4.6.20",10284,132547,4815
"X4.7.20",10331,135586,5116
"X4.8.20",10384,139422,5546
"X4.9.20",10423,143626,5972
"X4.10.20",10450,147577,6501
"X4.11.20",10480,152271,6927
"X4.12.20",10512,156363,7213
"X4.13.20",10537,159516,7525
"X4.14.20",10564,162488,7917
"X4.15.20",10591,165155,8273
"X4.16.20",10613,168941,8807
