"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-90,NA,NA,NA,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-89,NA,NA,NA,113,NA,NA,11,NA,NA,10.7843137254902,NA,NA,NA,NA,NA,NA,NA,NA
-88,NA,NA,NA,119,NA,NA,6,NA,NA,5.30973451327434,NA,NA,NA,NA,NA,NA,NA,NA
-87,NA,NA,NA,142,NA,NA,23,NA,NA,19.327731092437,NA,NA,NA,NA,NA,NA,NA,NA
-86,NA,NA,NA,156,NA,NA,14,NA,NA,9.85915492957746,NA,NA,NA,NA,NA,NA,NA,NA
-85,NA,NA,NA,194,NA,NA,38,NA,NA,24.3589743589744,NA,NA,NA,NA,NA,NA,NA,NA
-84,NA,NA,NA,244,NA,NA,50,NA,NA,25.7731958762887,NA,NA,NA,NA,NA,NA,NA,NA
-83,NA,NA,NA,330,NA,NA,86,NA,NA,35.2459016393443,NA,NA,NA,NA,NA,NA,NA,NA
-82,NA,NA,NA,396,NA,NA,66,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA
-81,NA,NA,NA,499,NA,NA,103,NA,NA,26.010101010101,NA,NA,NA,NA,NA,NA,NA,NA
-80,NA,NA,NA,536,NA,NA,37,NA,NA,7.41482965931864,NA,NA,NA,NA,NA,NA,NA,NA
-79,NA,NA,NA,657,NA,NA,121,NA,NA,22.5746268656716,NA,NA,NA,NA,NA,NA,NA,NA
-78,NA,NA,NA,727,NA,NA,70,NA,NA,10.6544901065449,NA,NA,NA,NA,NA,NA,NA,NA
-77,NA,NA,NA,887,NA,NA,160,NA,NA,22.0082530949106,NA,NA,NA,NA,NA,NA,NA,NA
-76,NA,NA,NA,987,NA,NA,100,NA,NA,11.2739571589628,NA,NA,NA,NA,NA,NA,NA,NA
-75,NA,NA,NA,1024,NA,NA,37,NA,NA,3.74873353596758,NA,NA,NA,NA,NA,NA,NA,NA
-74,NA,NA,NA,1251,NA,NA,227,NA,NA,22.16796875,NA,NA,NA,NA,NA,NA,NA,NA
-73,NA,NA,NA,1397,NA,NA,146,NA,NA,11.6706634692246,NA,NA,NA,NA,NA,NA,NA,NA
-72,NA,NA,NA,1998,NA,NA,601,NA,NA,43.0207587687903,NA,NA,NA,NA,NA,NA,NA,NA
-71,NA,NA,NA,2543,NA,NA,545,NA,NA,27.2772772772773,NA,NA,NA,NA,NA,NA,NA,NA
-70,NA,NA,NA,2567,NA,NA,24,NA,NA,0.943767204089658,NA,NA,NA,NA,NA,NA,NA,NA
-69,NA,NA,NA,3082,NA,NA,515,NA,NA,20.0623295675886,NA,NA,NA,NA,NA,NA,NA,NA
-68,NA,NA,NA,3588,NA,NA,506,NA,NA,16.4179104477612,NA,NA,NA,NA,NA,NA,NA,NA
-67,NA,NA,NA,4778,NA,NA,1190,NA,NA,33.1661092530658,NA,NA,NA,NA,NA,NA,NA,NA
-66,NA,NA,NA,5311,NA,NA,533,NA,NA,11.1552951025534,NA,NA,NA,NA,NA,NA,NA,NA
-65,NA,NA,NA,5916,NA,NA,605,NA,NA,11.3914517040105,NA,NA,NA,NA,NA,NA,NA,NA
-64,NA,NA,NA,6725,NA,NA,809,NA,NA,13.6747802569304,NA,NA,NA,NA,NA,NA,NA,NA
-63,NA,NA,NA,7598,NA,NA,873,NA,NA,12.9814126394052,NA,NA,NA,NA,NA,NA,NA,NA
-62,NA,NA,NA,8446,NA,NA,848,NA,NA,11.1608317978415,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,NA,9205,NA,NA,759,NA,NA,8.98650248638409,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,NA,10453,NA,NA,1248,NA,NA,13.5578489951114,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,NA,11487,NA,NA,1034,NA,NA,9.8918970630441,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,NA,12322,NA,NA,835,NA,NA,7.26908679376687,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,NA,13430,NA,NA,1108,NA,NA,8.99204674565817,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,NA,14352,NA,NA,922,NA,NA,6.86522710349963,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,NA,15722,NA,NA,1370,NA,NA,9.54570791527313,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,NA,17615,NA,NA,1893,NA,NA,12.0404528685918,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,NA,18539,NA,NA,924,NA,NA,5.24552937837071,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,NA,20080,NA,NA,1541,NA,NA,8.31220669939047,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,NA,21370,NA,NA,1290,NA,NA,6.42430278884462,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,3498,23077,NA,NA,1707,NA,NA,7.98783341132429,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,5168,24530,NA,1670,1453,NA,47.7415666094911,6.29631234562551,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,7266,26283,NA,2098,1753,NA,40.5959752321981,7.14635140644109,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,10223,27890,NA,2957,1607,NA,40.6963941646023,6.11421831602176,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,14781,29451,NA,4558,1561,NA,44.5857380416707,5.59698816780208,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,20039,31324,NA,5258,1873,NA,35.572694675597,6.35971613867101,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,25455,33062,NA,5416,1738,NA,27.027296771296,5.54846124377474,NA,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,38228,34863,NA,12773,1801,NA,50.1787468080927,5.44734135865949,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,45946,37257,NA,7718,2394,NA,20.1893899759339,6.86687892608209,NA,NA,NA,NA,NA,NA,NA,NA
-41,NA,NA,56462,39699,NA,10516,2442,NA,22.887737779132,6.55447298494243,NA,NA,NA,NA,NA,NA,NA,NA
-40,NA,NA,69709,42505,NA,13247,2806,NA,23.4617973150083,7.06818811556966,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,87062,46437,NA,17353,3932,NA,24.8934857765855,9.25067639101282,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,104619,49400,NA,17557,2963,NA,20.1660885346075,6.38068781359692,NA,NA,NA,NA,NA,NA,NA,NA
-37,NA,NA,132760,52987,NA,28141,3587,NA,26.8985557116776,7.26113360323887,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,166430,56351,NA,33670,3364,NA,25.3615546851461,6.34872704625663,NA,NA,NA,NA,NA,NA,NA,NA
-35,NA,NA,206982,59695,NA,40552,3344,NA,24.365799435198,5.93423364270377,NA,NA,NA,NA,NA,NA,NA,NA
-34,NA,NA,229030,62808,NA,22048,3113,NA,10.6521340019905,5.21484211407991,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,281227,67161,NA,52197,4353,NA,22.7904641313365,6.93064577760795,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,341051,70768,NA,59824,3607,NA,21.2724951729386,5.37067643424011,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,398529,74292,NA,57478,3524,NA,16.8531979088172,4.97965182003165,NA,NA,NA,NA,NA,NA,NA,NA
-30,NA,NA,477444,78055,NA,78915,3763,NA,19.8015702746852,5.06514833360254,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,558459,81997,NA,81015,3942,NA,16.9684821675422,5.05028505540965,NA,NA,NA,NA,NA,NA,NA,NA
-28,NA,NA,631417,85784,NA,72958,3787,NA,13.0641640657595,4.61846165103601,NA,NA,NA,NA,NA,NA,NA,NA
-27,NA,NA,710987,90648,NA,79570,4864,NA,12.6018146486395,5.67005502191551,NA,NA,NA,NA,NA,NA,NA,NA
-26,NA,NA,805926,95698,NA,94939,5050,NA,13.3531274130188,5.57099991174654,NA,NA,NA,NA,NA,NA,NA,NA
-25,NA,NA,926026,100328,NA,120100,4630,NA,14.9021126009088,4.83813663817426,NA,NA,NA,NA,NA,NA,NA,NA
-24,NA,NA,1061110,106475,NA,135084,6147,NA,14.587495383499,6.12690375568137,NA,NA,NA,NA,NA,NA,NA,NA
-23,NA,NA,1209080,112028,NA,147970,5553,NA,13.9448313558444,5.2153087579244,NA,NA,NA,NA,NA,NA,NA,NA
-22,NA,NA,1334551,118226,NA,125471,6198,NA,10.3773943825057,5.5325454350698,NA,NA,NA,NA,NA,NA,NA,NA
-21,NA,NA,1442624,124794,NA,108073,6568,NA,8.0980794289615,5.55546157359633,NA,NA,NA,NA,NA,NA,NA,NA
-20,NA,NA,1561076,131423,NA,118452,6629,NA,8.21087130118451,5.31195410035739,NA,NA,NA,NA,NA,NA,NA,NA
-19,0,2774,1678649,138536,NA,117573,7113,NA,7.53153594059482,5.4122946516211,NA,NA,NA,NA,NA,NA,NA,NA
-18,1,5442,1818630,144950,2668,139981,6414,96.1788031723143,8.33890825300584,4.62984350638101,NA,NA,NA,NA,NA,NA,NA,NA
-17,2,11550,1951977,150793,6108,133347,5843,112.238147739802,7.33227759357318,4.03104518799586,NA,NA,NA,NA,NA,NA,NA,NA
-16,3,16058,2086791,158086,4508,134814,7293,39.030303030303,6.90653629627808,4.83643139933551,NA,NA,NA,NA,NA,NA,NA,NA
-15,4,22220,2204522,165386,6162,117731,7300,38.3733964379126,5.64172454261112,4.61773971129638,NA,NA,NA,NA,NA,NA,NA,NA
-14,5,26061,2295917,173491,3841,91395,8105,17.2862286228623,4.1457966851771,4.90065664566529,NA,NA,NA,NA,NA,NA,NA,NA
-13,6,33637,2387380,181827,7576,91463,8336,29.0702582402824,3.98372415030683,4.80486019447695,NA,NA,NA,NA,NA,NA,NA,NA
-12,7,47107,2495294,190609,13470,107914,8782,40.0451883342748,4.52018530774322,4.82986575151105,NA,NA,NA,NA,NA,NA,NA,NA
-11,8,62339,2600635,198370,15232,105341,7761,32.3348971490437,4.221586714832,4.0716860169247,NA,NA,NA,NA,NA,NA,NA,NA
-10,9,84025,2704104,207191,21686,103469,8821,34.7872118577456,3.97860522526229,4.44674093865,NA,NA,NA,NA,NA,NA,NA,NA
-9,10,99657,2812537,216824,15632,108433,9633,18.6039869086581,4.00994192531057,4.64933322393347,NA,NA,NA,NA,NA,NA,NA,NA
-8,11,115635,2909935,226713,15978,97398,9889,16.0329931665613,3.46299444238422,4.5608419732133,NA,NA,NA,NA,NA,NA,NA,NA
-7,12,138335,2991153,236184,22700,81218,9471,19.6307346391663,2.79105890681407,4.17752841698535,NA,NA,NA,NA,NA,NA,NA,NA
-6,13,149938,3059733,246622,11603,68580,10438,8.38760978783388,2.29276135323068,4.41943569420452,NA,NA,NA,NA,NA,NA,NA,NA
-5,14,162395,3146299,257486,12457,86566,10864,8.30810068161507,2.8292011100315,4.40512200857993,NA,NA,NA,NA,NA,NA,NA,NA
-4,15,175866,3241170,265928,13471,94871,8442,8.29520613319375,3.01532054010124,3.27862485727379,NA,NA,NA,NA,NA,NA,NA,NA
-3,16,187816,3330331,276146,11950,89161,10218,6.79494615218405,2.75088933934351,3.84239342980055,NA,NA,NA,NA,NA,NA,NA,NA
-2,17,195098,3436259,286605,7282,105928,10459,3.87719896068493,3.18070486086818,3.78748922671341,NA,NA,NA,NA,NA,NA,NA,NA
-1,18,199473,3528602,297535,4375,92343,10930,2.24246276230407,2.68731198666922,3.81361106749708,NA,NA,NA,NA,NA,NA,NA,NA
0,19,200407,3599755,297535,934,71153,0,0.468233796052599,2.01646431079504,0,NA,NA,297535,297535,0,0,NA,NA
1,20,206862,3666823,NA,6455,67068,NA,3.22094537615952,1.86312679612918,NA,3.22094537615952,1.86312679612918,307118.439824956,303078.454312863,9583.43982495618,5543.454312863,3.2209453761595,1.8631267961292
2,21,209903,3727009,NA,3041,60186,NA,1.47006216704856,1.64136638174245,NA,1.47006216704856,1.64136638174245,311633.271816853,308053.082172259,4514.8319918965,4974.62785939599,1.47006216704857,1.64136638174245
3,22,212837,3812446,NA,2934,85437,NA,1.39778850230821,2.29237439458826,NA,1.39778850230821,2.29237439458826,315989.245859676,315114.812149716,4355.97404282284,7061.72997745685,1.3977885023082,2.29237439458828
4,23,215691,3891272,NA,2854,78826,NA,1.34093226271748,2.06759649841598,NA,1.34093226271748,2.06759649841598,320226.447604126,321630.114971713,4237.20174445002,6515.30282199761,1.34093226271747,2.06759649841598
5,24,217719,3970052,NA,2028,78780,NA,0.940233945783552,2.02453079609958,NA,0.940233945783552,2.02453079609958,323237.325367876,328141.615698846,3010.87776375079,6511.50072713284,0.940233945783558,2.02453079609958
6,25,219692,4038813,NA,1973,68761,NA,0.906213973057014,1.73199242730322,NA,0.906213973057014,1.73199242730322,326166.547176496,333825.003633581,2929.22180861945,5683.38793473446,0.90621397305701,1.73199242730322
