"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-37,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,18,129,NA,6,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
-35,NA,NA,26,129,NA,8,0,NA,44.4444444444444,0,NA,NA,NA,NA,NA,NA,NA,NA
-34,NA,NA,37,169,NA,11,40,NA,42.3076923076923,31.0077519379845,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,53,223,NA,16,54,NA,43.2432432432432,31.9526627218935,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,72,292,NA,19,69,NA,35.8490566037736,30.9417040358744,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,91,557,NA,19,265,NA,26.3888888888889,90.7534246575342,NA,NA,NA,NA,NA,NA,NA,NA
-30,NA,NA,137,683,NA,46,126,NA,50.5494505494505,22.6211849192101,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,164,785,NA,27,102,NA,19.7080291970803,14.9341142020498,NA,NA,NA,NA,NA,NA,NA,NA
-28,NA,NA,202,906,NA,38,121,NA,23.1707317073171,15.4140127388535,NA,NA,NA,NA,NA,NA,NA,NA
-27,NA,NA,249,1125,NA,47,219,NA,23.2673267326733,24.1721854304636,NA,NA,NA,NA,NA,NA,NA,NA
-26,NA,NA,311,1329,NA,62,204,NA,24.8995983935743,18.1333333333333,NA,NA,NA,NA,NA,NA,NA,NA
-25,NA,NA,374,1564,NA,63,235,NA,20.2572347266881,17.6824680210685,NA,NA,NA,NA,NA,NA,NA,NA
-24,NA,NA,474,1819,NA,100,255,NA,26.7379679144385,16.304347826087,NA,NA,NA,NA,NA,NA,NA,NA
