"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-52,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,32,NA,NA,10,NA,NA,45.4545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,45,NA,NA,13,NA,NA,40.625,NA,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,64,NA,NA,19,NA,NA,42.2222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,92,NA,NA,28,NA,NA,43.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,125,NA,NA,33,NA,NA,35.8695652173913,NA,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,159,NA,NA,34,NA,NA,27.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,238,NA,NA,79,NA,NA,49.685534591195,NA,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,286,NA,NA,48,NA,NA,20.1680672268908,NA,NA,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,352,126,NA,66,NA,NA,23.0769230769231,NA,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,435,155,NA,83,29,NA,23.5795454545455,23.015873015873,NA,NA,NA,NA,NA,NA,NA,NA
-41,NA,NA,543,213,NA,108,58,NA,24.8275862068966,37.4193548387097,NA,NA,NA,NA,NA,NA,NA,NA
-40,NA,NA,652,218,NA,109,5,NA,20.073664825046,2.34741784037559,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,828,250,NA,176,32,NA,26.9938650306748,14.6788990825688,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,1038,304,NA,210,54,NA,25.3623188405797,21.6,NA,NA,NA,NA,NA,NA,NA,NA
-37,NA,NA,1290,427,NA,252,123,NA,24.2774566473988,40.4605263157895,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,1428,529,NA,138,102,NA,10.6976744186047,23.8875878220141,NA,NA,NA,NA,NA,NA,NA,NA
-35,NA,NA,1753,712,NA,325,183,NA,22.7591036414566,34.593572778828,NA,NA,NA,NA,NA,NA,NA,NA
-34,NA,NA,2126,883,NA,373,171,NA,21.2778094694809,24.0168539325843,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,2485,1071,NA,359,188,NA,16.8861712135466,21.2910532276331,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,2977,1238,NA,492,167,NA,19.7987927565392,15.5929038281979,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,3482,2369,NA,505,1131,NA,16.9633859590191,91.3570274636511,NA,NA,NA,NA,NA,NA,NA,NA
-30,0,17,3937,2693,NA,455,324,NA,13.0672027570362,13.6766568172225,NA,NA,NA,NA,NA,NA,NA,NA
-29,1,34,4433,3035,17,496,342,100,12.5984251968504,12.6995915336056,NA,NA,NA,NA,NA,NA,NA,NA
-28,2,72,5025,3619,38,592,584,111.764705882353,13.3543875479359,19.2421746293245,NA,NA,NA,NA,NA,NA,NA,NA
-27,3,100,5774,4247,28,749,628,38.8888888888889,14.9054726368159,17.3528599060514,NA,NA,NA,NA,NA,NA,NA,NA
-26,4,139,6616,4695,39,842,448,39,14.582611707655,10.5486225570991,NA,NA,NA,NA,NA,NA,NA,NA
-25,5,162,7538,5358,23,922,663,16.5467625899281,13.9359129383313,14.1214057507987,NA,NA,NA,NA,NA,NA,NA,NA
-24,6,210,8321,6092,48,783,734,29.6296296296296,10.3873706553462,13.699141470698,NA,NA,NA,NA,NA,NA,NA,NA
-23,7,294,8995,6857,84,674,765,40,8.09998798221368,12.5574523965857,NA,NA,NA,NA,NA,NA,NA,NA
-22,8,389,9733,7428,95,738,571,32.312925170068,8.20455808782657,8.32725681785037,NA,NA,NA,NA,NA,NA,NA,NA
-21,9,524,10466,7851,135,733,423,34.7043701799486,7.53107983150108,5.69466882067851,NA,NA,NA,NA,NA,NA,NA,NA
-20,10,621,11339,8430,97,873,579,18.5114503816794,8.34129562392509,7.37485670615208,NA,NA,NA,NA,NA,NA,NA,NA
-19,11,721,12170,8904,100,831,474,16.1030595813205,7.32868859687803,5.62277580071174,NA,NA,NA,NA,NA,NA,NA,NA
-18,12,862,13011,9248,141,841,344,19.5561719833564,6.91043549712408,3.86343216531896,NA,NA,NA,NA,NA,NA,NA,NA
-17,13,935,13745,9404,73,734,156,8.46867749419954,5.64138037045577,1.68685121107266,NA,NA,NA,NA,NA,NA,NA,NA
-16,14,1013,14315,9968,78,570,564,8.34224598930481,4.14696253182976,5.99744789451297,NA,NA,NA,NA,NA,NA,NA,NA
-15,15,1096,14885,10408,83,570,440,8.19348469891412,3.98183723367097,4.41412520064205,NA,NA,NA,NA,NA,NA,NA,NA
-14,16,1171,15558,10743,75,673,335,6.84306569343066,4.52133019818609,3.21867794004612,NA,NA,NA,NA,NA,NA,NA,NA
-13,17,1216,16215,11145,45,657,402,3.84286934244236,4.22290782876977,3.74197151633622,NA,NA,NA,NA,NA,NA,NA,NA
-12,18,1244,16860,11586,28,645,441,2.30263157894737,3.97779833487512,3.95693135935397,NA,NA,NA,NA,NA,NA,NA,NA
-11,19,1250,17536,12046,6,676,460,0.482315112540193,4.00948991696323,3.97030899361298,NA,NA,NA,NA,NA,NA,NA,NA
-10,20,1290,18143,12501,40,607,455,3.2,3.46145072992701,3.77718744811556,NA,NA,NA,NA,NA,NA,NA,NA
-9,21,1309,18649,12758,19,506,257,1.47286821705426,2.78895441768175,2.05583553315735,NA,NA,NA,NA,NA,NA,NA,NA
-8,22,1327,19077,12982,18,428,224,1.37509549274255,2.29502922408708,1.75576109108011,NA,NA,NA,NA,NA,NA,NA,NA
-7,23,1345,19617,13265,18,540,283,1.35644310474755,2.83063374744457,2.17994145740256,NA,NA,NA,NA,NA,NA,NA,NA
-6,24,1357,20208,13491,12,591,226,0.892193308550186,3.01269307233522,1.70373162457595,NA,NA,NA,NA,NA,NA,NA,NA
-5,25,1370,20764,13713,13,556,222,0.957995578481945,2.7513855898654,1.64554147209251,NA,NA,NA,NA,NA,NA,NA,NA
-4,26,1384,21424,13942,14,660,229,1.02189781021898,3.17857830861106,1.6699482243127,NA,NA,NA,NA,NA,NA,NA,NA
-3,27,1399,22000,14498,15,576,556,1.08381502890173,2.68857356235997,3.98795007889829,NA,NA,NA,NA,NA,NA,NA,NA
-2,28,1424,22444,14803,25,444,305,1.78699070764832,2.01818181818182,2.1037384466823,NA,NA,NA,NA,NA,NA,NA,NA
-1,29,1439,22862,15058,15,418,255,1.05337078651685,1.86241311709143,1.7226237924745,NA,NA,NA,NA,NA,NA,NA,NA
0,30,1463,23237,15298,24,375,240,1.66782487838777,1.64027644125623,1.59383716296985,NA,NA,15298,15298,240,240,NA,NA
1,31,1480,23770,NA,17,533,NA,1.161995898838,2.29375564831949,NA,1.161995898838,2.29375564831949,15475.7621326042,15648.8987390799,177.762132604239,350.898739079914,1.16199589883801,2.29375564831948
2,32,1490,24261,NA,10,491,NA,0.675675675675676,2.06562894404712,NA,0.675675675675676,2.06562894404712,15580.3280929597,15972.146920859,104.565960355434,323.248181779059,0.675675675675676,2.06562894404712
3,33,1503,24753,NA,13,492,NA,0.87248322147651,2.02794608631136,NA,0.87248322147651,2.02794608631136,15716.2638414217,16296.0534492404,135.935748462063,323.90652838146,0.872483221476503,2.02794608631136
4,34,1520,25181,NA,17,428,NA,1.13107119095143,1.72908334343312,NA,1.13107119095143,1.72908334343312,15894.025974026,16577.8257950682,177.762132604239,281.772345827772,1.13107119095144,1.72908334343311
5,35,1537,25499,NA,17,318,NA,1.11842105263158,1.26285691592868,NA,1.11842105263158,1.26285691592868,16071.7881066302,16787.1800146318,177.762132604237,209.354219563626,1.11842105263157,1.26285691592867
6,36,1552,25883,NA,15,384,NA,0.975927130774236,1.50594140946704,NA,0.975927130774236,1.50594140946704,16228.6370471634,17039.9851099539,156.848940533151,252.805095322117,0.975927130774236,1.50594140946705
7,37,1576,26357,NA,24,474,NA,1.54639175257732,1.8313178534173,NA,1.54639175257732,1.8313178534173,16479.5953520164,17352.0413994922,250.95830485304,312.056289538235,1.54639175257731,1.8313178534173
8,38,1594,26729,NA,18,372,NA,1.14213197969543,1.41138976363016,NA,1.14213197969543,1.41138976363016,16667.8140806562,17596.9463355855,188.218728639782,244.904936093299,1.14213197969544,1.41138976363015
9,39,1607,27154,NA,13,425,NA,0.81555834378921,1.59003329716787,NA,0.81555834378921,1.59003329716787,16803.7498291182,17876.7436416061,135.935748462063,279.79730602057,0.815558343789203,1.59003329716786
10,40,1628,27486,NA,21,332,NA,1.30678282514001,1.22265596228917,NA,1.30678282514001,1.22265596228917,17023.3383458647,18095.3147136033,219.588516746411,218.571071997245,1.30678282514001,1.22265596228916
11,41,1644,NA,NA,16,NA,NA,0.982800982800983,NA,NA,0.982800982800983,NA,17190.6438824334,NA,167.305536568696,NA,0.982800982800992,NA
12,42,1659,NA,NA,15,NA,NA,0.912408759124087,NA,NA,0.912408759124087,NA,17347.4928229665,NA,156.848940533149,NA,0.912408759124077,NA
13,43,1673,NA,NA,14,NA,NA,0.843881856540084,NA,NA,0.843881856540084,NA,17493.8851674641,NA,146.392344497606,NA,0.843881856540076,NA
14,44,1689,NA,NA,16,NA,NA,0.956365809922295,NA,NA,0.956365809922295,NA,17661.1907040328,NA,167.305536568692,NA,0.956365809922283,NA
15,45,1703,NA,NA,14,NA,NA,0.828892835997632,NA,NA,0.828892835997632,NA,17807.5830485304,NA,146.392344497606,NA,0.828892835997624,NA
16,46,1710,NA,NA,7,NA,NA,0.411039342337052,NA,NA,0.411039342337052,NA,17880.7792207792,NA,73.1961722488049,NA,0.411039342337059,NA
17,47,1718,NA,NA,8,NA,NA,0.467836257309942,NA,NA,0.467836257309942,NA,17964.4319890636,NA,83.652768284348,NA,0.467836257309946,NA
18,48,1727,NA,NA,9,NA,NA,0.523864959254948,NA,NA,0.523864959254948,NA,18058.5413533835,NA,94.1093643198874,NA,0.52386495925493,NA
19,49,1733,NA,NA,6,NA,NA,0.347423277359583,NA,NA,0.347423277359583,NA,18121.2809295967,NA,62.7395762132619,NA,0.347423277359591,NA
20,50,1738,NA,NA,5,NA,NA,0.288517022504328,NA,NA,0.288517022504328,NA,18173.5639097744,NA,52.2829801777152,NA,0.288517022504318,NA
21,51,1743,NA,NA,5,NA,NA,0.287686996547756,NA,NA,0.287686996547756,NA,18225.8468899521,NA,52.2829801777152,NA,0.287686996547746,NA
22,52,1748,NA,NA,5,NA,NA,0.286861732644865,NA,NA,0.286861732644865,NA,18278.1298701299,NA,52.2829801777189,NA,0.286861732644875,NA
23,53,1752,NA,NA,4,NA,NA,0.22883295194508,NA,NA,0.22883295194508,NA,18319.956254272,NA,41.8263841421758,NA,0.228832951945092,NA
24,54,1757,NA,NA,5,NA,NA,0.285388127853881,NA,NA,0.285388127853881,NA,18372.2392344498,NA,52.2829801777152,NA,0.285388127853872,NA
25,55,1761,NA,NA,4,NA,NA,0.22766078542971,NA,NA,0.22766078542971,NA,18414.0656185919,NA,41.8263841421722,NA,0.227660785429702,NA
