"","Korea","Italy","X"
"X1.22.20",1,0,0
"X1.23.20",1,0,0
"X1.24.20",2,0,0
"X1.25.20",2,0,0
"X1.26.20",3,0,0
"X1.27.20",4,0,0
"X1.28.20",4,0,0
"X1.29.20",4,0,0
"X1.30.20",4,0,0
"X1.31.20",11,2,0
"X2.1.20",12,2,0
"X2.2.20",15,2,0
"X2.3.20",15,2,0
"X2.4.20",16,2,0
"X2.5.20",19,2,0
"X2.6.20",23,2,0
"X2.7.20",24,3,0
"X2.8.20",24,3,0
"X2.9.20",25,3,0
"X2.10.20",27,3,0
"X2.11.20",28,3,0
"X2.12.20",28,3,0
"X2.13.20",28,3,0
"X2.14.20",28,3,0
"X2.15.20",28,3,0
"X2.16.20",29,3,0
"X2.17.20",30,3,0
"X2.18.20",31,3,0
"X2.19.20",31,3,0
"X2.20.20",104,3,0
"X2.21.20",204,20,1
"X2.22.20",433,62,1
"X2.23.20",602,155,1
"X2.24.20",833,229,1
"X2.25.20",977,322,1
"X2.26.20",1261,453,2
"X2.27.20",1766,655,3
"X2.28.20",2337,888,4
"X2.29.20",3150,1128,7
"X3.1.20",3736,1694,10
"X3.2.20",4335,2036,10
"X3.3.20",5186,2502,12
"X3.4.20",5621,3089,15
"X3.5.20",6088,3858,20
"X3.6.20",6593,4636,37
"X3.7.20",7041,5883,43
"X3.8.20",7314,7375,61
"X3.9.20",7478,9172,61
"X3.10.20",7513,10149,75
"X3.11.20",7755,12462,79
"X3.12.20",7869,15113,100
"X3.13.20",7979,17660,126
"X3.14.20",8086,21157,155
"X3.15.20",8162,24747,213
"X3.16.20",8236,27980,218
"X3.17.20",8320,31506,250
"X3.18.20",8413,35713,304
"X3.19.20",8565,41035,427
"X3.20.20",8652,47021,529
"X3.21.20",8799,53578,712
"X3.22.20",8897,59138,883
"X3.23.20",8961,63927,1071
"X3.24.20",9037,69176,1238
"X3.25.20",9137,74386,2369
"X3.26.20",9241,80589,2693
"X3.27.20",9332,86498,3035
"X3.28.20",9478,92472,3619
"X3.29.20",9583,97689,4247
"X3.30.20",9661,101739,4695
"X3.31.20",9786,105792,5358
"X4.1.20",9887,110574,6092
"X4.2.20",9976,115242,6857
"X4.3.20",10062,119827,7428
"X4.4.20",10156,124632,7851
"X4.5.20",10237,128948,8430
"X4.6.20",10284,132547,8904
"X4.7.20",10331,135586,9248
"X4.8.20",10384,139422,9404
"X4.9.20",10423,143626,9968
"X4.10.20",10450,147577,10408
"X4.11.20",10480,152271,10743
"X4.12.20",10512,156363,11145
"X4.13.20",10537,159516,11586
"X4.14.20",10564,162488,12046
"X4.15.20",10591,165155,12501
"X4.16.20",10613,168941,12758
"X4.17.20",10635,172434,12982
"X4.18.20",10653,175925,13265
"X4.19.20",10661,178972,13491
"X4.20.20",10674,181228,13713
"X4.21.20",10683,183957,13942
"X4.22.20",10694,187327,14498
"X4.23.20",10708,189973,14803
"X4.24.20",10718,192994,15058
"X4.25.20",10728,195351,15298
"X4.26.20",10738,197675,15443
"X4.27.20",10752,199414,15555
"X4.28.20",10761,201505,15728
"X4.29.20",10765,203591,15834
"X4.30.20",10774,205463,15946
"X5.1.20",10780,207428,16101
"X5.2.20",10793,209328,16185
"X5.3.20",10801,210717,16208
"X5.4.20",10804,211938,16246
"X5.5.20",10806,213013,16289
"X5.6.20",10810,214457,16310
"X5.7.20",10822,215858,16381
"X5.8.20",10840,217185,16436
"X5.9.20",10874,218268,16454
"X5.10.20",10909,219070,16477
"X5.11.20",10936,219814,16506
"X5.12.20",10962,221216,16529
"X5.13.20",10991,222104,16548
"X5.14.20",11018,223096,16579
"X5.15.20",11037,223885,16589
"X5.16.20",11050,224760,16608
"X5.17.20",11065,225435,16617
"X5.18.20",11078,225886,16643
"X5.19.20",11110,226699,16659
"X5.20.20",11122,227364,16667
"X5.21.20",11142,228006,16683
"X5.22.20",11165,228658,16690
"X5.23.20",11190,229327,16712
"X5.24.20",11206,229858,16717
"X5.25.20",11225,230158,16734
"X5.26.20",11265,230555,16757
"X5.27.20",11344,231139,16793
"X5.28.20",11402,231732,16872
"X5.29.20",11441,232248,16987
"X5.30.20",11468,232664,17012
"X5.31.20",11503,232997,17071
"X6.1.20",11541,233197,17169
"X6.2.20",11590,233515,17285
"X6.3.20",11629,233836,17377
"X6.4.20",11668,234013,17495
"X6.5.20",11719,234531,17562
"X6.6.20",11776,234801,17752
"X6.7.20",11814,234998,17863
"X6.8.20",11852,235278,18032
"X6.9.20",11902,235561,18180
"X6.10.20",11947,235763,18355
"X6.11.20",12003,236142,18569
"X6.12.20",12051,236305,18795
"X6.13.20",12085,236651,18972
"X6.14.20",12121,236989,19055
"X6.15.20",12155,237290,19237
"X6.16.20",12198,237500,19495
"X6.17.20",12257,237828,19783
"X6.18.20",12306,238159,20036
"X6.19.20",12373,238011,20339
"X6.20.20",12421,238275,20633
"X6.21.20",12438,238499,20778
"X6.22.20",12484,238720,21082
"X6.23.20",12535,238833,21512
"X6.24.20",12563,239410,22044
"X6.25.20",12602,239706,22400
"X6.26.20",12653,239961,22800
"X6.27.20",12715,240136,23421
"X6.28.20",12757,240310,23755
"X6.29.20",12800,240436,24441
"X6.30.20",12850,240578,25244
"X7.1.20",12904,240760,26257
"X7.2.20",12967,240961,27047
"X7.3.20",13030,241184,28055
"X7.4.20",13091,241419,29170
"X7.5.20",13137,241611,29958
"X7.6.20",13181,241819,30749
"X7.7.20",13244,241956,32222
"X7.8.20",13293,242149,33557
"X7.9.20",13338,242363,34825
"X7.10.20",13373,242639,36266
"X7.11.20",13417,242827,37464
"X7.12.20",13479,243061,38670
"X7.13.20",13512,243230,40632
"X7.14.20",13551,243344,42360
"X7.15.20",13612,243506,44188
"X7.16.20",13672,243736,46059
"X7.17.20",13711,243967,47459
"X7.18.20",13745,244216,49365
"X7.19.20",13771,244434,50289
"X7.20.20",13816,244624,52003
"X7.21.20",13879,244752,54042
"X7.22.20",13938,245032,56085
"X7.23.20",13979,245338,57982
"X7.24.20",14092,245590,59475
"X7.25.20",14150,245864,60678
"X7.26.20",14175,246118,61956
"X7.27.20",14203,246286,63985
"X7.28.20",14251,246488,66293
