"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-147,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-146,1,68,NA,NA,33,NA,NA,94.2857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-145,2,145,NA,128,77,NA,NA,113.235294117647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-144,3,201,NA,188,56,NA,60,38.6206896551724,NA,46.875,NA,NA,NA,NA,NA,NA,NA,NA
-143,4,278,NA,265,77,NA,77,38.3084577114428,NA,40.9574468085106,NA,NA,NA,NA,NA,NA,NA,NA
-142,5,326,NA,321,48,NA,56,17.2661870503597,NA,21.1320754716981,NA,NA,NA,NA,NA,NA,NA,NA
-141,6,421,NA,382,95,NA,61,29.1411042944785,NA,19.0031152647975,NA,NA,NA,NA,NA,NA,NA,NA
-140,7,589,NA,503,168,NA,121,39.9049881235154,NA,31.6753926701571,NA,NA,NA,NA,NA,NA,NA,NA
-139,8,780,NA,503,191,NA,0,32.427843803056,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-138,9,1051,NA,804,271,NA,301,34.7435897435897,NA,59.8409542743539,NA,NA,NA,NA,NA,NA,NA,NA
-137,10,1247,NA,959,196,NA,155,18.6489058039962,NA,19.2786069651741,NA,NA,NA,NA,NA,NA,NA,NA
-136,11,1447,NA,1135,200,NA,176,16.0384923817161,NA,18.3524504692388,NA,NA,NA,NA,NA,NA,NA,NA
-135,12,1731,NA,1413,284,NA,278,19.6268140981341,NA,24.4933920704846,NA,NA,NA,NA,NA,NA,NA,NA
-134,13,1876,NA,1705,145,NA,292,8.37666088965916,NA,20.6652512384996,NA,NA,NA,NA,NA,NA,NA,NA
-133,14,2032,NA,2051,156,NA,346,8.31556503198294,NA,20.2932551319648,NA,NA,NA,NA,NA,NA,NA,NA
-132,15,2201,NA,2460,169,NA,409,8.31692913385827,NA,19.9414919551438,NA,NA,NA,NA,NA,NA,NA,NA
-131,16,2350,NA,2994,149,NA,534,6.76965015901863,NA,21.7073170731707,NA,NA,NA,NA,NA,NA,NA,NA
-130,17,2441,NA,3631,91,NA,637,3.87234042553191,NA,21.2758851035404,NA,NA,NA,NA,NA,NA,NA,NA
-129,18,2496,NA,4204,55,NA,573,2.25317492830807,NA,15.7807766455522,NA,NA,NA,NA,NA,NA,NA,NA
-128,19,2508,NA,4749,12,NA,545,0.480769230769231,NA,12.9638439581351,NA,NA,NA,NA,NA,NA,NA,NA
-127,20,2588,NA,5560,80,NA,811,3.18979266347687,NA,17.0772794272478,NA,NA,NA,NA,NA,NA,NA,NA
-126,21,2626,NA,6412,38,NA,852,1.46831530139104,NA,15.3237410071942,NA,NA,NA,NA,NA,NA,NA,NA
-125,22,2663,NA,7431,37,NA,1019,1.40898705255141,NA,15.8920773549595,NA,NA,NA,NA,NA,NA,NA,NA
-124,23,2699,NA,8603,36,NA,1172,1.35185880585805,NA,15.7717669223523,NA,NA,NA,NA,NA,NA,NA,NA
-123,24,2724,NA,9762,25,NA,1159,0.926268988514265,NA,13.4720446355922,NA,NA,NA,NA,NA,NA,NA,NA
-122,25,2749,NA,10866,25,NA,1104,0.91776798825257,NA,11.3091579594345,NA,NA,NA,NA,NA,NA,NA,NA
-121,26,2777,NA,11750,28,NA,884,1.01855220080029,NA,8.13546843364623,NA,NA,NA,NA,NA,NA,NA,NA
-120,27,2808,NA,12595,31,NA,845,1.11631256751891,NA,7.19148936170213,NA,NA,NA,NA,NA,NA,NA,NA
-119,28,2859,NA,13614,51,NA,1019,1.81623931623932,NA,8.09051210797936,NA,NA,NA,NA,NA,NA,NA,NA
-118,29,2888,NA,14697,29,NA,1083,1.01434067855894,NA,7.95504627589246,NA,NA,NA,NA,NA,NA,NA,NA
-117,30,2937,NA,15723,49,NA,1026,1.69667590027701,NA,6.98101653398653,NA,NA,NA,NA,NA,NA,NA,NA
-116,31,2969,NA,16627,32,NA,904,1.08954715696289,NA,5.74953889206894,NA,NA,NA,NA,NA,NA,NA,NA
-115,32,2991,NA,17851,22,NA,1224,0.740990232401482,NA,7.36152041859626,NA,NA,NA,NA,NA,NA,NA,NA
-114,33,3016,NA,18803,25,NA,952,0.835840855901037,NA,5.33303456388998,NA,NA,NA,NA,NA,NA,NA,NA
-113,34,3050,NA,19580,34,NA,777,1.12732095490716,NA,4.13231931074828,NA,NA,NA,NA,NA,NA,NA,NA
-112,35,3084,NA,20549,34,NA,969,1.11475409836066,NA,4.94892747701736,NA,NA,NA,NA,NA,NA,NA,NA
-111,36,3115,NA,21762,31,NA,1213,1.00518806744488,NA,5.90296364786608,NA,NA,NA,NA,NA,NA,NA,NA
-110,37,3163,NA,23097,48,NA,1335,1.54093097913323,NA,6.1345464571271,NA,NA,NA,NA,NA,NA,NA,NA
-109,38,3198,NA,24413,35,NA,1316,1.10654441985457,NA,5.69770965926311,NA,NA,NA,NA,NA,NA,NA,NA
-108,39,3224,NA,25587,26,NA,1174,0.813008130081301,NA,4.80891328390612,NA,NA,NA,NA,NA,NA,NA,NA
-107,40,3266,NA,26551,42,NA,964,1.30272952853598,NA,3.76753820299371,NA,NA,NA,NA,NA,NA,NA,NA
-106,41,3300,NA,27419,34,NA,868,1.04102878138396,NA,3.26918006854732,NA,NA,NA,NA,NA,NA,NA,NA
-105,42,3330,NA,28153,30,NA,734,0.909090909090909,NA,2.67697581968708,NA,NA,NA,NA,NA,NA,NA,NA
-104,43,3358,NA,29214,28,NA,1061,0.840840840840841,NA,3.76869250168721,NA,NA,NA,NA,NA,NA,NA,NA
-103,44,3390,NA,30449,32,NA,1235,0.952948183442525,NA,4.22742520709249,NA,NA,NA,NA,NA,NA,NA,NA
-102,45,3417,NA,31589,27,NA,1140,0.79646017699115,NA,3.7439653190581,NA,NA,NA,NA,NA,NA,NA,NA
-101,46,3432,NA,32655,15,NA,1066,0.438981562774364,NA,3.37459242141252,NA,NA,NA,NA,NA,NA,NA,NA
-100,47,3448,NA,33405,16,NA,750,0.466200466200466,NA,2.29673863114378,NA,NA,NA,NA,NA,NA,NA,NA
-99,48,3466,NA,34134,18,NA,729,0.522041763341067,NA,2.1823080377189,NA,NA,NA,NA,NA,NA,NA,NA
-98,49,3479,NA,34842,13,NA,708,0.375072129255626,NA,2.07417823870628,NA,NA,NA,NA,NA,NA,NA,NA
-97,50,3488,NA,35729,9,NA,887,0.258695027306697,NA,2.5457780839217,NA,NA,NA,NA,NA,NA,NA,NA
-96,51,3498,NA,36535,10,NA,806,0.286697247706422,NA,2.2558705813205,NA,NA,NA,NA,NA,NA,NA,NA
-95,52,3509,NA,37190,11,NA,655,0.314465408805031,NA,1.79280142329273,NA,NA,NA,NA,NA,NA,NA,NA
-94,53,3517,NA,37845,8,NA,655,0.227985180963237,NA,1.76122613605808,NA,NA,NA,NA,NA,NA,NA,NA
-93,54,3526,NA,38245,9,NA,400,0.255899914700028,NA,1.05694279297133,NA,NA,NA,NA,NA,NA,NA,NA
-92,55,3535,NA,38416,9,NA,171,0.255246738513897,NA,0.447117270231403,NA,NA,NA,NA,NA,NA,NA,NA
-91,56,3542,NA,38802,7,NA,386,0.198019801980198,NA,1.00478967097043,NA,NA,NA,NA,NA,NA,NA,NA
-90,57,3550,NA,39316,8,NA,514,0.225861095426313,NA,1.32467398587702,NA,NA,NA,NA,NA,NA,NA,NA
-89,58,3556,NA,39791,6,NA,475,0.169014084507042,NA,1.20815952792756,NA,NA,NA,NA,NA,NA,NA,NA
-88,59,3558,NA,40236,2,NA,445,0.0562429696287964,NA,1.11834334397225,NA,NA,NA,NA,NA,NA,NA,NA
-87,60,3563,NA,40571,5,NA,335,0.14052838673412,NA,0.832587732378964,NA,NA,NA,NA,NA,NA,NA,NA
-86,61,3566,NA,40770,3,NA,199,0.0841987089531294,NA,0.490498139064849,NA,NA,NA,NA,NA,NA,NA,NA
-85,62,3569,NA,41087,3,NA,317,0.0841278743690409,NA,0.777532499386804,NA,NA,NA,NA,NA,NA,NA,NA
-84,63,3574,NA,41319,5,NA,232,0.14009526478005,NA,0.564655487137051,NA,NA,NA,NA,NA,NA,NA,NA
-83,64,3577,NA,41774,3,NA,455,0.0839395635142697,NA,1.10118831530289,NA,NA,NA,NA,NA,NA,NA,NA
-82,65,3581,44,42093,4,NA,319,0.111825552138664,NA,0.763632881696749,NA,NA,NA,NA,NA,NA,NA,NA
-81,66,3584,65,42382,3,21,289,0.0837754817090198,47.7272727272727,0.686574964958544,NA,NA,NA,NA,NA,NA,NA,NA
-80,67,3589,91,42627,5,26,245,0.139508928571429,40,0.578075598131282,NA,NA,NA,NA,NA,NA,NA,NA
-79,68,3592,128,42788,3,37,161,0.0835887433825578,40.6593406593407,0.377694888216389,NA,NA,NA,NA,NA,NA,NA,NA
-78,69,3593,185,42984,1,57,196,0.0278396436525612,44.53125,0.458072356735533,NA,NA,NA,NA,NA,NA,NA,NA
-77,70,3596,251,43211,3,66,227,0.0834956860562204,35.6756756756757,0.528103480364787,NA,NA,NA,NA,NA,NA,NA,NA
-76,71,3598,319,43481,2,68,270,0.0556173526140156,27.0916334661355,0.624840896993821,NA,NA,NA,NA,NA,NA,NA,NA
-75,72,3602,478,43681,4,159,200,0.111172873818788,49.8432601880878,0.459971021825625,NA,NA,NA,NA,NA,NA,NA,NA
-74,73,3605,575,43870,3,97,189,0.0832870627429206,20.2928870292887,0.432682401959662,NA,NA,NA,NA,NA,NA,NA,NA
-73,74,3606,706,43995,1,131,125,0.0277392510402219,22.7826086956522,0.284932755869615,NA,NA,NA,NA,NA,NA,NA,NA
