"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-156,0,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-155,1,129,NA,NA,63,NA,NA,95.4545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-154,2,275,NA,NA,146,NA,NA,113.178294573643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-153,3,382,NA,NA,107,NA,NA,38.9090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-152,4,529,NA,NA,147,NA,NA,38.4816753926702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-151,5,620,NA,NA,91,NA,NA,17.2022684310019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-150,6,800,NA,NA,180,NA,NA,29.0322580645161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-149,7,1121,NA,NA,321,NA,NA,40.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-148,8,1483,NA,NA,362,NA,NA,32.292595896521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-147,9,1999,NA,NA,516,NA,NA,34.7943358057991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-146,10,2371,NA,NA,372,NA,NA,18.6093046523262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-145,11,2751,NA,NA,380,NA,NA,16.0269928300295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-144,12,3291,NA,NA,540,NA,NA,19.629225736096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-143,13,3567,NA,NA,276,NA,NA,8.38650865998177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-142,14,3864,NA,NA,297,NA,NA,8.32632464255677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-141,15,4184,NA,NA,320,NA,NA,8.2815734989648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-140,16,4469,NA,NA,285,NA,NA,6.81166347992352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-139,17,4642,NA,NA,173,NA,NA,3.87111210561647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-138,18,4746,NA,NA,104,NA,NA,2.2404136148212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-137,19,4768,NA,117,22,NA,NA,0.463548251158871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-136,20,4922,NA,145,154,NA,28,3.22986577181208,NA,23.9316239316239,NA,NA,NA,NA,NA,NA,NA,NA
-135,21,4994,NA,234,72,NA,89,1.46281999187322,NA,61.3793103448276,NA,NA,NA,NA,NA,NA,NA,NA
