"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-136,NA,NA,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-135,NA,NA,NA,169,NA,NA,57,NA,NA,50.8928571428571,NA,NA,NA,NA,NA,NA,NA,NA
-134,NA,NA,NA,245,NA,NA,76,NA,NA,44.9704142011834,NA,NA,NA,NA,NA,NA,NA,NA
-133,NA,NA,NA,331,NA,NA,86,NA,NA,35.1020408163265,NA,NA,NA,NA,NA,NA,NA,NA
-132,NA,NA,NA,448,NA,NA,117,NA,NA,35.3474320241692,NA,NA,NA,NA,NA,NA,NA,NA
-131,NA,NA,NA,448,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-130,NA,NA,NA,785,NA,NA,337,NA,NA,75.2232142857143,NA,NA,NA,NA,NA,NA,NA,NA
-129,NA,NA,NA,1020,NA,NA,235,NA,NA,29.9363057324841,NA,NA,NA,NA,NA,NA,NA,NA
-128,NA,NA,NA,1280,NA,NA,260,NA,NA,25.4901960784314,NA,NA,NA,NA,NA,NA,NA,NA
-127,NA,NA,NA,1600,NA,NA,320,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA
-126,NA,NA,NA,2060,NA,NA,460,NA,NA,28.75,NA,NA,NA,NA,NA,NA,NA,NA
-125,NA,NA,NA,2362,NA,NA,302,NA,NA,14.6601941747573,NA,NA,NA,NA,NA,NA,NA,NA
-124,NA,NA,NA,2995,NA,NA,633,NA,NA,26.7993226079594,NA,NA,NA,NA,NA,NA,NA,NA
-123,NA,NA,NA,3544,NA,NA,549,NA,NA,18.330550918197,NA,NA,NA,NA,NA,NA,NA,NA
-122,NA,NA,NA,4268,NA,NA,724,NA,NA,20.4288939051919,NA,NA,NA,NA,NA,NA,NA,NA
-121,NA,NA,NA,5170,NA,NA,902,NA,NA,21.1340206185567,NA,NA,NA,NA,NA,NA,NA,NA
-120,NA,NA,NA,5962,NA,NA,792,NA,NA,15.3191489361702,NA,NA,NA,NA,NA,NA,NA,NA
-119,NA,NA,NA,6408,NA,NA,446,NA,NA,7.48071117074807,NA,NA,NA,NA,NA,NA,NA,NA
-118,NA,NA,NA,7443,NA,NA,1035,NA,NA,16.1516853932584,NA,NA,NA,NA,NA,NA,NA,NA
-117,NA,NA,NA,8251,NA,NA,808,NA,NA,10.8558376998522,NA,NA,NA,NA,NA,NA,NA,NA
-116,NA,NA,NA,9034,NA,NA,783,NA,NA,9.48975881711308,NA,NA,NA,NA,NA,NA,NA,NA
-115,NA,NA,NA,9886,NA,NA,852,NA,NA,9.43103829975647,NA,NA,NA,NA,NA,NA,NA,NA
-114,NA,NA,NA,10524,NA,NA,638,NA,NA,6.45357070604896,NA,NA,NA,NA,NA,NA,NA,NA
-113,NA,NA,NA,11278,NA,NA,754,NA,NA,7.16457620676549,NA,NA,NA,NA,NA,NA,NA,NA
-112,NA,NA,NA,11730,NA,NA,452,NA,NA,4.00780280191523,NA,NA,NA,NA,NA,NA,NA,NA
-111,NA,NA,NA,12442,NA,NA,712,NA,NA,6.06990622335891,NA,NA,NA,NA,NA,NA,NA,NA
-110,NA,NA,NA,13141,NA,NA,699,NA,NA,5.61806783475325,NA,NA,NA,NA,NA,NA,NA,NA
-109,NA,NA,NA,13956,NA,NA,815,NA,NA,6.20196332090404,NA,NA,NA,NA,NA,NA,NA,NA
-108,NA,NA,NA,15472,NA,NA,1516,NA,NA,10.8627113786185,NA,NA,NA,NA,NA,NA,NA,NA
-107,NA,NA,NA,15987,NA,NA,515,NA,NA,3.32859358841779,NA,NA,NA,NA,NA,NA,NA,NA
-106,NA,NA,NA,16585,NA,NA,598,NA,NA,3.74053918809032,NA,NA,NA,NA,NA,NA,NA,NA
-105,NA,NA,NA,16934,NA,NA,349,NA,NA,2.1043111245101,NA,NA,NA,NA,NA,NA,NA,NA
-104,NA,NA,NA,17448,NA,NA,514,NA,NA,3.03531357033188,NA,NA,NA,NA,NA,NA,NA,NA
-103,NA,NA,NA,18091,NA,NA,643,NA,NA,3.6852361302155,NA,NA,NA,NA,NA,NA,NA,NA
-102,NA,NA,NA,18841,NA,NA,750,NA,NA,4.14570781051351,NA,NA,NA,NA,NA,NA,NA,NA
-101,NA,NA,NA,19022,NA,NA,181,NA,NA,0.960670877341967,NA,NA,NA,NA,NA,NA,NA,NA
-100,NA,NA,NA,19685,NA,NA,663,NA,NA,3.48543791399432,NA,NA,NA,NA,NA,NA,NA,NA
-99,NA,NA,NA,20206,NA,NA,521,NA,NA,2.64668529337059,NA,NA,NA,NA,NA,NA,NA,NA
-98,NA,NA,NA,20863,NA,NA,657,NA,NA,3.25150945263783,NA,NA,NA,NA,NA,NA,NA,NA
-97,NA,NA,NA,21379,NA,NA,516,NA,NA,2.47327805205388,NA,NA,NA,NA,NA,NA,NA,NA
-96,NA,NA,NA,21982,NA,NA,603,NA,NA,2.82052481406988,NA,NA,NA,NA,NA,NA,NA,NA
-95,NA,NA,NA,22353,NA,NA,371,NA,NA,1.6877445182422,NA,NA,NA,NA,NA,NA,NA,NA
-94,NA,NA,NA,22797,NA,NA,444,NA,NA,1.98631056234063,NA,NA,NA,NA,NA,NA,NA,NA
-93,NA,NA,NA,23392,NA,NA,595,NA,NA,2.60999254287845,NA,NA,NA,NA,NA,NA,NA,NA
-92,NA,NA,NA,23864,NA,NA,472,NA,NA,2.01778385772914,NA,NA,NA,NA,NA,NA,NA,NA
-91,NA,NA,NA,24027,NA,NA,163,NA,NA,0.683037210861549,NA,NA,NA,NA,NA,NA,NA,NA
-90,NA,NA,NA,24322,NA,NA,295,NA,NA,1.22778540808257,NA,NA,NA,NA,NA,NA,NA,NA
-89,NA,NA,NA,24505,NA,NA,183,NA,NA,0.752405229833073,NA,NA,NA,NA,NA,NA,NA,NA
-88,NA,NA,NA,25045,NA,NA,540,NA,NA,2.20363191185472,NA,NA,NA,NA,NA,NA,NA,NA
-87,NA,NA,NA,25351,NA,NA,306,NA,NA,1.22180075863446,NA,NA,NA,NA,NA,NA,NA,NA
-86,NA,NA,NA,25190,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-85,NA,NA,NA,25282,NA,NA,92,NA,NA,0.3652242953553,NA,NA,NA,NA,NA,NA,NA,NA
-84,NA,NA,NA,25524,NA,NA,242,NA,NA,0.957202752946761,NA,NA,NA,NA,NA,NA,NA,NA
-83,NA,NA,NA,25702,NA,NA,178,NA,NA,0.697382855351826,NA,NA,NA,NA,NA,NA,NA,NA
-82,NA,NA,NA,26182,NA,NA,480,NA,NA,1.8675589448292,NA,NA,NA,NA,NA,NA,NA,NA
-81,NA,NA,NA,26715,NA,NA,533,NA,NA,2.03574975173784,NA,NA,NA,NA,NA,NA,NA,NA
-80,NA,NA,NA,27268,NA,NA,553,NA,NA,2.06999812839229,NA,NA,NA,NA,NA,NA,NA,NA
-79,NA,NA,NA,27406,NA,NA,138,NA,NA,0.506087721871791,NA,NA,NA,NA,NA,NA,NA,NA
-78,NA,NA,26,27581,NA,NA,175,NA,NA,0.63854630372911,NA,NA,NA,NA,NA,NA,NA,NA
-77,NA,NA,39,27679,NA,13,98,NA,50,0.355317066096226,NA,NA,NA,NA,NA,NA,NA,NA
-76,NA,NA,54,27913,NA,15,234,NA,38.4615384615385,0.845406264677192,NA,NA,NA,NA,NA,NA,NA,NA
-75,NA,NA,77,28132,NA,23,219,NA,42.5925925925926,0.784580661340594,NA,NA,NA,NA,NA,NA,NA,NA
-74,NA,NA,111,28319,NA,34,187,NA,44.1558441558442,0.664723446608844,NA,NA,NA,NA,NA,NA,NA,NA
-73,NA,NA,150,28583,NA,39,264,NA,35.1351351351351,0.93223630777923,NA,NA,NA,NA,NA,NA,NA,NA
-72,NA,NA,191,28810,NA,41,227,NA,27.3333333333333,0.794178357765105,NA,NA,NA,NA,NA,NA,NA,NA
-71,NA,NA,286,29036,NA,95,226,NA,49.738219895288,0.784449843804235,NA,NA,NA,NA,NA,NA,NA,NA
-70,NA,NA,344,29209,NA,58,173,NA,20.2797202797203,0.595812095329935,NA,NA,NA,NA,NA,NA,NA,NA
-69,NA,NA,423,29432,NA,79,223,NA,22.9651162790698,0.763463316101202,NA,NA,NA,NA,NA,NA,NA,NA
-68,NA,NA,522,29660,NA,99,228,NA,23.4042553191489,0.77466702908399,NA,NA,NA,NA,NA,NA,NA,NA
-67,NA,NA,652,29912,NA,130,252,NA,24.904214559387,0.849629130141605,NA,NA,NA,NA,NA,NA,NA,NA
-66,NA,NA,783,30200,NA,131,288,NA,20.0920245398773,0.962824284568066,NA,NA,NA,NA,NA,NA,NA,NA
-65,NA,NA,994,30471,NA,211,271,NA,26.9476372924649,0.897350993377483,NA,NA,NA,NA,NA,NA,NA,NA
-64,NA,NA,1246,30623,NA,252,152,NA,25.3521126760563,0.498834957828755,NA,NA,NA,NA,NA,NA,NA,NA
-63,NA,NA,1549,30788,NA,303,165,NA,24.3178170144462,0.538810697841492,NA,NA,NA,NA,NA,NA,NA,NA
-62,NA,NA,1714,31007,NA,165,219,NA,10.6520335700452,0.71131609718072,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,2105,31292,NA,391,285,NA,22.8121353558927,0.919147289321766,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,2552,31596,NA,447,304,NA,21.2351543942993,0.971494311645149,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,2983,31946,NA,431,350,NA,16.8887147335423,1.10773515634891,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,3573,32203,NA,590,257,NA,19.7787462286289,0.804482564327302,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,4179,32500,NA,606,297,NA,16.96053736356,0.922274322268112,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,4725,32700,NA,546,200,NA,13.0653266331658,0.615384615384615,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,5321,32895,NA,596,195,NA,12.6137566137566,0.596330275229358,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,6031,33261,NA,710,366,NA,13.3433565119338,1.11263109895121,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,6930,33592,NA,899,331,NA,14.9063173603051,0.995159496106551,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,7941,33969,NA,1011,377,NA,14.5887445887446,1.12229102167183,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,9049,34351,NA,1108,382,NA,13.9529026570961,1.12455474108746,NA,NA,NA,NA,NA,NA,NA,NA
-50,0,21,9988,34693,NA,939,342,NA,10.3768372195823,0.995604203662193,NA,NA,NA,NA,NA,NA,NA,NA
-49,1,41,10796,34885,20,808,192,95.2380952380952,8.08970764917902,0.553425763122244,NA,NA,NA,NA,NA,NA,NA,NA
-48,2,86,11683,35306,45,887,421,109.756097560976,8.21600592812153,1.20682241651139,NA,NA,NA,NA,NA,NA,NA,NA
-47,3,120,12563,35600,34,880,294,39.5348837209302,7.53231190618848,0.832719651050813,NA,NA,NA,NA,NA,NA,NA,NA
-46,4,166,13611,35910,46,1048,310,38.3333333333333,8.34195653904322,0.870786516853932,NA,NA,NA,NA,NA,NA,NA,NA
-45,5,195,14608,36180,29,997,270,17.4698795180723,7.32495775475718,0.75187969924812,NA,NA,NA,NA,NA,NA,NA,NA
-44,6,252,15617,36463,57,1009,283,29.2307692307692,6.90717415115005,0.78220011055832,NA,NA,NA,NA,NA,NA,NA,NA
-43,7,353,16498,36690,101,881,227,40.0793650793651,5.64128833962989,0.622548885171269,NA,NA,NA,NA,NA,NA,NA,NA
-42,8,467,17182,37036,114,684,346,32.2946175637394,4.14595708570736,0.943036249659308,NA,NA,NA,NA,NA,NA,NA,NA
-41,9,629,17867,37336,162,685,300,34.6895074946467,3.98673029915027,0.810022680635058,NA,NA,NA,NA,NA,NA,NA,NA
-40,10,746,18675,37672,117,808,336,18.6009538950715,4.52230368836402,0.899935718877223,NA,NA,NA,NA,NA,NA,NA,NA
-39,11,865,19463,38089,119,788,417,15.9517426273458,4.21954484605087,1.10692291356976,NA,NA,NA,NA,NA,NA,NA,NA
-38,12,1035,20237,38464,170,774,375,19.6531791907514,3.97677644761856,0.984536217805666,NA,NA,NA,NA,NA,NA,NA,NA
-37,13,1122,21049,38841,87,812,377,8.40579710144928,4.01245243860256,0.980137271214642,NA,NA,NA,NA,NA,NA,NA,NA
-36,14,1215,21778,39133,93,729,292,8.28877005347594,3.46334742743123,0.751782909811797,NA,NA,NA,NA,NA,NA,NA,NA
-35,15,1316,22386,39392,101,608,259,8.31275720164609,2.79180824685462,0.661845501239363,NA,NA,NA,NA,NA,NA,NA,NA
-34,16,1406,22899,39737,90,513,345,6.83890577507599,2.29161082819619,0.875812347684809,NA,NA,NA,NA,NA,NA,NA,NA
-33,17,1460,23547,40104,54,648,367,3.84068278805121,2.82981789597799,0.923572489115937,NA,NA,NA,NA,NA,NA,NA,NA
