"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-137,NA,NA,NA,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-136,NA,NA,NA,103,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-135,NA,NA,NA,118,NA,NA,15,NA,NA,14.5631067961165,NA,NA,NA,NA,NA,NA,NA,NA
-134,NA,NA,NA,171,NA,NA,53,NA,NA,44.9152542372881,NA,NA,NA,NA,NA,NA,NA,NA
-133,NA,NA,NA,171,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-132,NA,NA,NA,274,NA,NA,103,NA,NA,60.233918128655,NA,NA,NA,NA,NA,NA,NA,NA
-131,NA,NA,NA,344,NA,NA,70,NA,NA,25.5474452554745,NA,NA,NA,NA,NA,NA,NA,NA
-130,NA,NA,NA,392,NA,NA,48,NA,NA,13.953488372093,NA,NA,NA,NA,NA,NA,NA,NA
-129,NA,NA,NA,511,NA,NA,119,NA,NA,30.3571428571429,NA,NA,NA,NA,NA,NA,NA,NA
-128,NA,NA,NA,562,NA,NA,51,NA,NA,9.98043052837573,NA,NA,NA,NA,NA,NA,NA,NA
-127,NA,NA,NA,767,NA,NA,205,NA,NA,36.4768683274021,NA,NA,NA,NA,NA,NA,NA,NA
-126,NA,NA,NA,900,NA,NA,133,NA,NA,17.3402868318123,NA,NA,NA,NA,NA,NA,NA,NA
-125,NA,NA,NA,1012,NA,NA,112,NA,NA,12.4444444444444,NA,NA,NA,NA,NA,NA,NA,NA
-124,NA,NA,NA,1104,NA,NA,92,NA,NA,9.09090909090909,NA,NA,NA,NA,NA,NA,NA,NA
-123,NA,NA,NA,1203,NA,NA,99,NA,NA,8.96739130434783,NA,NA,NA,NA,NA,NA,NA,NA
-122,NA,NA,NA,1299,NA,NA,96,NA,NA,7.98004987531172,NA,NA,NA,NA,NA,NA,NA,NA
-121,NA,NA,NA,1453,NA,NA,154,NA,NA,11.855273287144,NA,NA,NA,NA,NA,NA,NA,NA
-120,NA,NA,NA,1563,NA,NA,110,NA,NA,7.5705437026841,NA,NA,NA,NA,NA,NA,NA,NA
-119,NA,NA,NA,1720,NA,NA,157,NA,NA,10.0447856685861,NA,NA,NA,NA,NA,NA,NA,NA
-118,NA,NA,NA,1885,NA,NA,165,NA,NA,9.59302325581395,NA,NA,NA,NA,NA,NA,NA,NA
-117,NA,NA,NA,2039,NA,NA,154,NA,NA,8.16976127320955,NA,NA,NA,NA,NA,NA,NA,NA
-116,NA,NA,NA,2179,NA,NA,140,NA,NA,6.8661108386464,NA,NA,NA,NA,NA,NA,NA,NA
-115,NA,NA,NA,2402,NA,NA,223,NA,NA,10.2340523175769,NA,NA,NA,NA,NA,NA,NA,NA
-114,NA,NA,NA,2605,NA,NA,203,NA,NA,8.45129059117402,NA,NA,NA,NA,NA,NA,NA,NA
-113,NA,NA,NA,2795,NA,NA,190,NA,NA,7.2936660268714,NA,NA,NA,NA,NA,NA,NA,NA
