"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-70,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-69,NA,NA,177,NA,NA,57,NA,NA,47.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
-68,NA,NA,249,NA,NA,72,NA,NA,40.6779661016949,NA,NA,NA,NA,NA,NA,NA,NA,NA
-67,NA,NA,350,NA,NA,101,NA,NA,40.5622489959839,NA,NA,NA,NA,NA,NA,NA,NA,NA
-66,NA,NA,506,NA,NA,156,NA,NA,44.5714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA
-65,NA,NA,685,NA,NA,179,NA,NA,35.3754940711462,NA,NA,NA,NA,NA,NA,NA,NA,NA
-64,NA,NA,871,NA,NA,186,NA,NA,27.1532846715328,NA,NA,NA,NA,NA,NA,NA,NA,NA
-63,NA,NA,1308,NA,NA,437,NA,NA,50.1722158438576,NA,NA,NA,NA,NA,NA,NA,NA,NA
-62,NA,NA,1572,120,NA,264,NA,NA,20.1834862385321,NA,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,1931,165,NA,359,45,NA,22.8371501272265,37.5,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,2384,222,NA,453,57,NA,23.459347488348,34.5454545454545,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,2978,259,NA,594,37,NA,24.9161073825503,16.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,3578,400,NA,600,141,NA,20.1477501678979,54.4401544401544,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,4541,500,NA,963,100,NA,26.9144773616546,25,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,5693,673,NA,1152,173,NA,25.3688614842546,34.6,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,7080,1073,NA,1387,400,NA,24.363253117864,59.4353640416048,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,7834,1695,NA,754,622,NA,10.6497175141243,57.9683131407269,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,9619,2277,NA,1785,582,NA,22.7852948685218,34.3362831858407,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,11665,2277,NA,2046,0,NA,21.2704023287244,0,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,13631,5232,NA,1966,2955,NA,16.8538362623232,129.776021080369,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,16330,6391,NA,2699,1159,NA,19.8004548455726,22.1521406727829,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,19101,7798,NA,2771,1407,NA,16.9687691365585,22.0153340635268,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,21597,9942,NA,2496,2144,NA,13.0673786712738,27.4942292895614,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,24319,11748,NA,2722,1806,NA,12.6036023521785,18.1653590826795,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,27566,13910,NA,3247,2162,NA,13.3517003166249,18.4031324480763,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,31674,17963,NA,4108,4053,NA,14.9024160197345,29.137311286844,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,36294,20410,NA,4620,2447,NA,14.586095851487,13.6224461392863,NA,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,41355,25374,NA,5061,4964,NA,13.944453628699,24.3214110730034,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,45647,28768,NA,4292,3394,NA,10.3784306613469,13.3758965870576,NA,NA,NA,NA,NA,NA,NA,NA
-41,0,95,49343,35136,NA,3696,6368,NA,8.09691765066708,22.1357063403782,NA,NA,NA,NA,NA,NA,NA,NA
-40,1,186,53395,39885,91,4052,4749,95.7894736842105,8.21190442413311,13.5160519125683,NA,NA,NA,NA,NA,NA,NA,NA
-39,2,395,57416,49515,209,4021,9630,112.365591397849,7.53066766551175,24.1444151936818,NA,NA,NA,NA,NA,NA,NA,NA
-38,3,549,62204,57786,154,4788,8271,38.9873417721519,8.33913891598161,16.7040290820963,NA,NA,NA,NA,NA,NA,NA,NA
-37,4,760,66765,65719,211,4561,7933,38.4335154826958,7.33232589544081,13.7282386737272,NA,NA,NA,NA,NA,NA,NA,NA
-36,5,891,71376,73235,131,4611,7516,17.2368421052632,6.90631318804763,11.4365708546996,NA,NA,NA,NA,NA,NA,NA,NA
-35,6,1151,75403,80110,260,4027,6875,29.1806958473625,5.64195247702309,9.38758790195945,NA,NA,NA,NA,NA,NA,NA,NA
-34,7,1611,78529,87956,460,3126,7846,39.9652476107732,4.14572364494781,9.79403320434403,NA,NA,NA,NA,NA,NA,NA,NA
-33,8,2132,81658,95923,521,3129,7967,32.3401613904407,3.98451527461193,9.05793805993906,NA,NA,NA,NA,NA,NA,NA,NA
-32,9,2874,85349,104118,742,3691,8195,34.8030018761726,4.52007151779372,8.54331078052188,NA,NA,NA,NA,NA,NA,NA,NA
-31,10,3409,88952,112065,535,3603,7947,18.6151704940849,4.22149058571278,7.63268599089495,NA,NA,NA,NA,NA,NA,NA,NA
-30,11,3955,92491,119199,546,3539,7134,16.0164271047228,3.97855022933717,6.36594833355642,NA,NA,NA,NA,NA,NA,NA,NA
-29,12,4732,96200,126168,777,3709,6969,19.646017699115,4.01011990355818,5.84652555810032,NA,NA,NA,NA,NA,NA,NA,NA
-28,13,5128,99531,131646,396,3331,5478,8.36855452240068,3.46257796257796,4.34182994103101,NA,NA,NA,NA,NA,NA,NA,NA
-27,14,5555,102309,136675,427,2778,5029,8.32683307332293,2.79109021309944,3.82009328046428,NA,NA,NA,NA,NA,NA,NA,NA
-26,15,6015,104655,141942,460,2346,5267,8.28082808280828,2.29305339706184,3.85366745930126,NA,NA,NA,NA,NA,NA,NA,NA
-25,16,6424,107616,148220,409,2961,6278,6.79966749792186,2.82929625913717,4.42293331078891,NA,NA,NA,NA,NA,NA,NA,NA
-24,17,6673,110861,153222,249,3245,5002,3.8760896637609,3.01535087719298,3.37471326406693,NA,NA,NA,NA,NA,NA,NA,NA
-23,18,6823,113910,158273,150,3049,5051,2.24786452869774,2.75029090482676,3.29652399785932,NA,NA,NA,NA,NA,NA,NA,NA
-22,19,6855,117533,163027,32,3623,4754,0.46900190532024,3.18058116056536,3.00367087247983,NA,NA,NA,NA,NA,NA,NA,NA
-21,20,7075,120692,166831,220,3159,3804,3.20933625091174,2.68775577922796,2.33335582449533,NA,NA,NA,NA,NA,NA,NA,NA
-20,21,7179,123126,170099,104,2434,3268,1.46996466431095,2.01670367547145,1.95886855560417,NA,NA,NA,NA,NA,NA,NA,NA
-19,22,7280,125420,172541,101,2294,2442,1.40688118122301,1.86313207608466,1.43563454223717,NA,NA,NA,NA,NA,NA,NA,NA
-18,23,7377,127478,177644,97,2058,5103,1.33241758241758,1.6408866209536,2.95755791377122,NA,NA,NA,NA,NA,NA,NA,NA
-17,24,7447,130400,184948,70,2922,7304,0.948895214856988,2.29216021588039,4.11159397446579,NA,NA,NA,NA,NA,NA,NA,NA
-16,25,7514,133097,190839,67,2697,5891,0.899691150798979,2.06825153374233,3.18521962930121,NA,NA,NA,NA,NA,NA,NA,NA
-15,26,7591,135791,191726,77,2694,887,1.02475379291988,2.02408769544017,0.464789691834478,NA,NA,NA,NA,NA,NA,NA,NA
-14,27,7676,138143,198674,85,2352,6948,1.11974706889738,1.73207355421199,3.62392163817114,NA,NA,NA,NA,NA,NA,NA,NA
-13,28,7815,139884,200210,139,1741,1536,1.81083897863471,1.26028825202869,0.773125824214542,NA,NA,NA,NA,NA,NA,NA,NA
-12,29,7894,141991,204178,79,2107,3968,1.01087651951376,1.50624803408538,1.98191898506568,NA,NA,NA,NA,NA,NA,NA,NA
-11,30,8028,144592,208389,134,2601,4211,1.69749176589815,1.83180624124064,2.06241612710478,NA,NA,NA,NA,NA,NA,NA,NA
-10,31,8117,146634,213024,89,2042,4635,1.10861983059292,1.41224964036738,2.22420569223903,NA,NA,NA,NA,NA,NA,NA,NA
-9,32,8176,148966,202990,59,2332,-10034,0.726869533078724,1.59035421525703,-4.71026738771218,NA,NA,NA,NA,NA,NA,NA,NA
-8,33,8245,150786,205905,69,1820,2915,0.843933463796477,1.22175529986708,1.43603133159269,NA,NA,NA,NA,NA,NA,NA,NA
-7,34,8336,152579,207634,91,1793,1729,1.10369921164342,1.18910243656573,0.839707632160462,NA,NA,NA,NA,NA,NA,NA,NA
-6,35,8431,153922,209465,95,1343,1831,1.13963531669866,0.880199765367449,0.881840161052621,NA,NA,NA,NA,NA,NA,NA,NA
-5,36,8514,155536,210773,83,1614,1308,0.984462104139485,1.04858304855706,0.624447998472298,NA,NA,NA,NA,NA,NA,NA,NA
-4,37,8648,157146,212917,134,1610,2144,1.57387831806436,1.035130130645,1.01720808642473,NA,NA,NA,NA,NA,NA,NA,NA
-3,38,8743,158591,213435,95,1445,518,1.09851988899167,0.919527064004174,0.243287290352579,NA,NA,NA,NA,NA,NA,NA,NA
-2,39,8814,160107,213435,71,1516,0,0.812078234015784,0.955918053357378,0,NA,NA,NA,NA,NA,NA,NA,NA
-1,40,8929,161574,216582,115,1467,3147,1.30474245518493,0.916262249620566,1.47445358071544,NA,NA,NA,NA,NA,NA,NA,NA
0,41,9021,162646,217466,92,1072,884,1.03035054317393,0.663473083540669,0.40815949617235,NA,NA,217466,217466,884,884,NA,NA
1,42,9102,NA,NA,81,NA,NA,0.897904888593282,NA,NA,0.897904888593282,NA,219418.637845028,NA,1952.63784502828,NA,0.897904888593288,NA
2,43,9180,NA,NA,78,NA,NA,0.856954515491101,NA,NA,0.856954515491101,NA,221298.95576987,NA,1880.31792484203,NA,0.856954515491101,NA
3,44,9266,NA,NA,86,NA,NA,0.93681917211329,NA,NA,0.93681917211329,NA,223372.126815209,NA,2073.17104533862,NA,0.936819172113274,NA
4,45,9340,NA,NA,74,NA,NA,0.798618605655083,NA,NA,0.798618605655083,NA,225156.018179803,NA,1783.89136459373,NA,0.798618605655084,NA
5,46,9383,NA,NA,43,NA,NA,0.460385438972163,NA,NA,0.460385438972163,NA,226192.603702472,NA,1036.58552266931,NA,0.460385438972155,NA
6,47,9426,NA,NA,43,NA,NA,0.458275604817223,NA,NA,0.458275604817223,NA,227229.189225141,NA,1036.58552266931,NA,0.458275604817215,NA
7,48,9474,NA,NA,48,NA,NA,0.509229789942712,NA,NA,0.509229789942712,NA,228386.307948121,NA,1157.11872297974,NA,0.509229789942722,NA
8,49,9510,NA,NA,36,NA,NA,0.379987333755541,NA,NA,0.379987333755541,NA,229254.146990356,NA,867.839042234817,NA,0.379987333755555,NA
9,50,9534,NA,NA,24,NA,NA,0.252365930599369,NA,NA,0.252365930599369,NA,229832.706351846,NA,578.559361489839,NA,0.252365930599361,NA
10,51,9562,NA,NA,28,NA,NA,0.293685756240822,NA,NA,0.293685756240822,NA,230507.692273584,NA,674.985921738175,NA,0.293685756240826,NA
11,52,9591,NA,NA,29,NA,NA,0.303283831834344,NA,NA,0.303283831834344,NA,231206.784835384,NA,699.092561800207,NA,0.303283831834328,NA
12,53,9614,NA,NA,23,NA,NA,0.239808153477218,NA,NA,0.239808153477218,NA,231761.237556812,NA,554.452721427777,NA,0.239808153477217,NA
13,54,9638,NA,NA,24,NA,NA,0.249635947576451,NA,NA,0.249635947576451,NA,232339.796918302,NA,578.559361489868,NA,0.249635947576456,NA
14,55,9663,NA,NA,25,NA,NA,0.259389914920108,NA,NA,0.259389914920108,NA,232942.462919854,NA,602.666001551959,NA,0.259389914920119,NA
15,56,9683,NA,NA,20,NA,NA,0.20697505950533,NA,NA,0.20697505950533,NA,233424.595721095,NA,482.132801241562,NA,0.206975059505336,NA
16,57,9703,NA,NA,20,NA,NA,0.206547557575132,NA,NA,0.206547557575132,NA,233906.728522337,NA,482.132801241532,NA,0.206547557575125,NA
17,58,9720,NA,NA,17,NA,NA,0.175203545295269,NA,NA,0.175203545295269,NA,234316.541403392,NA,409.812881055346,NA,0.175203545295283,NA
18,59,9727,NA,NA,7,NA,NA,0.0720164609053498,NA,NA,0.0720164609053498,NA,234485.287883827,NA,168.746480434551,NA,0.0720164609053538,NA
19,60,9739,NA,NA,12,NA,NA,0.123367944895651,NA,NA,0.123367944895651,NA,234774.567564572,NA,289.279680744919,NA,0.123367944895647,NA
20,61,9747,NA,NA,8,NA,NA,0.0821439572851422,NA,NA,0.0821439572851422,NA,234967.420685068,NA,192.853120496613,NA,0.0821439572851396,NA
21,62,9757,NA,NA,10,NA,NA,0.102595670462706,NA,NA,0.102595670462706,NA,235208.487085689,NA,241.066400620795,NA,0.102595670462716,NA
22,63,9770,NA,NA,13,NA,NA,0.133237675515015,NA,NA,0.133237675515015,NA,235521.873406496,NA,313.386320806982,NA,0.133237675515004,NA
23,64,9779,NA,NA,9,NA,NA,0.0921187308085978,NA,NA,0.0921187308085978,NA,235738.833167055,NA,216.959760558675,NA,0.0921187308085887,NA
24,65,9788,NA,NA,9,NA,NA,0.0920339503016668,NA,NA,0.0920339503016668,NA,235955.792927613,NA,216.959760558675,NA,0.0920339503016578,NA
25,66,9797,NA,NA,9,NA,NA,0.0919493257049448,NA,NA,0.0919493257049448,NA,236172.752688172,NA,216.959760558704,NA,0.0919493257049481,NA
26,67,9810,NA,NA,13,NA,NA,0.132693681739308,NA,NA,0.132693681739308,NA,236486.139008979,NA,313.386320807011,NA,0.13269368173931,NA
27,68,9818,NA,NA,8,NA,NA,0.0815494393476045,NA,NA,0.0815494393476045,NA,236678.992129476,NA,192.853120496584,NA,0.0815494393475896,NA
28,69,9822,NA,NA,4,NA,NA,0.0407414952128743,NA,NA,0.0407414952128743,NA,236775.418689724,NA,96.4265602483065,NA,0.040741495212873,NA
29,70,9830,NA,NA,8,NA,NA,0.0814498065567094,NA,NA,0.0814498065567094,NA,236968.271810221,NA,192.853120496613,NA,0.0814498065567069,NA
30,71,9835,NA,NA,5,NA,NA,0.0508646998982706,NA,NA,0.0508646998982706,NA,237088.805010531,NA,120.533200310398,NA,0.0508646998982752,NA
31,72,9847,NA,NA,12,NA,NA,0.122013218098627,NA,NA,0.122013218098627,NA,237378.084691276,NA,289.279680744949,NA,0.122013218098636,NA
32,73,9855,NA,NA,8,NA,NA,0.0812430181781253,NA,NA,0.0812430181781253,NA,237570.937811773,NA,192.853120496642,NA,0.081243018178135,NA
