"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-65,NA,NA,NA,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-64,NA,NA,NA,163,NA,NA,48,NA,NA,41.7391304347826,NA,NA,NA,NA,NA,NA,NA,NA
-63,NA,NA,NA,206,NA,NA,43,NA,NA,26.3803680981595,NA,NA,NA,NA,NA,NA,NA,NA
-62,NA,NA,NA,273,NA,NA,67,NA,NA,32.5242718446602,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,NA,321,NA,NA,48,NA,NA,17.5824175824176,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,NA,382,NA,NA,61,NA,NA,19.0031152647975,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,NA,456,NA,NA,74,NA,NA,19.3717277486911,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,NA,456,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,NA,798,NA,NA,342,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,NA,1140,NA,NA,342,NA,NA,42.8571428571429,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,NA,1140,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,NA,1543,NA,NA,403,NA,NA,35.3508771929825,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,NA,1950,NA,NA,407,NA,NA,26.3771872974725,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,NA,2626,NA,NA,676,NA,NA,34.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,173,2689,NA,NA,63,NA,NA,2.3990860624524,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,255,3983,NA,82,1294,NA,47.3988439306358,48.1219784306434,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,359,5018,NA,104,1035,NA,40.7843137254902,25.9854381119759,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,505,5683,NA,146,665,NA,40.6685236768802,13.2522917497011,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,731,6650,NA,226,967,NA,44.7524752475248,17.0156607425655,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,990,8077,NA,259,1427,NA,35.4309165526676,21.4586466165414,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,1258,9529,NA,268,1452,NA,27.0707070707071,17.9769716478891,NA,NA,NA,NA,NA,NA,NA,NA
