"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-81,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-80,0,1,3,NA,NA,1,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
-79,1,3,4,NA,2,1,NA,200,33.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
-78,2,6,5,NA,3,1,NA,100,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
-77,3,9,8,NA,3,3,NA,50,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
-76,4,12,11,NA,3,3,NA,33.3333333333333,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
-75,5,14,14,NA,2,3,NA,16.6666666666667,27.2727272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA
-74,6,18,20,NA,4,6,NA,28.5714285714286,42.8571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA
-73,7,25,25,NA,7,5,NA,38.8888888888889,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
-72,8,33,30,NA,8,5,NA,32,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
-71,9,45,37,NA,12,7,NA,36.3636363636364,23.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
-70,10,53,47,NA,8,10,NA,17.7777777777778,27.027027027027,NA,NA,NA,NA,NA,NA,NA,NA,NA
-69,11,62,56,NA,9,9,NA,16.9811320754717,19.1489361702128,NA,NA,NA,NA,NA,NA,NA,NA,NA
-68,12,74,71,NA,12,15,NA,19.3548387096774,26.7857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA
-67,13,80,89,NA,6,18,NA,8.10810810810811,25.3521126760563,NA,NA,NA,NA,NA,NA,NA,NA,NA
-66,14,87,111,NA,7,22,NA,8.75,24.7191011235955,NA,NA,NA,NA,NA,NA,NA,NA,NA
-65,15,94,123,NA,7,12,NA,8.04597701149425,10.8108108108108,NA,NA,NA,NA,NA,NA,NA,NA,NA
