"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-64,NA,NA,NA,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-63,NA,NA,NA,165,NA,NA,47,NA,NA,39.8305084745763,NA,NA,NA,NA,NA,NA,NA,NA
-62,NA,NA,NA,174,NA,NA,9,NA,NA,5.45454545454545,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,NA,218,NA,NA,44,NA,NA,25.2873563218391,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,NA,280,NA,NA,62,NA,NA,28.4403669724771,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,NA,335,NA,NA,55,NA,NA,19.6428571428571,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,NA,381,NA,NA,46,NA,NA,13.7313432835821,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,NA,404,NA,NA,23,NA,NA,6.03674540682415,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,NA,426,NA,NA,22,NA,NA,5.44554455445545,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,NA,473,NA,NA,47,NA,NA,11.0328638497653,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,NA,523,NA,NA,50,NA,NA,10.5708245243129,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,NA,584,NA,NA,61,NA,NA,11.6634799235182,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,NA,643,NA,NA,59,NA,NA,10.1027397260274,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,NA,704,NA,NA,61,NA,NA,9.48678071539658,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,NA,743,NA,NA,39,NA,NA,5.53977272727273,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,NA,830,NA,NA,87,NA,NA,11.7092866756393,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,NA,875,NA,NA,45,NA,NA,5.42168674698795,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,NA,946,NA,NA,71,NA,NA,8.11428571428571,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,NA,1000,NA,NA,54,NA,NA,5.70824524312896,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,8,1119,NA,NA,119,NA,NA,11.9,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,11,1171,NA,3,52,NA,37.5,4.64700625558534,NA,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,16,1226,NA,5,55,NA,45.4545454545455,4.69684030742955,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,23,1280,NA,7,54,NA,43.75,4.40456769983687,NA,NA,NA,NA,NA,NA,NA,NA
-41,NA,NA,33,1410,NA,10,130,NA,43.4782608695652,10.15625,NA,NA,NA,NA,NA,NA,NA,NA
-40,NA,NA,44,1480,NA,11,70,NA,33.3333333333333,4.9645390070922,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,56,1569,NA,12,89,NA,27.2727272727273,6.01351351351351,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,85,1620,NA,29,51,NA,51.7857142857143,3.25047801147228,NA,NA,NA,NA,NA,NA,NA,NA
-37,NA,NA,102,1695,NA,17,75,NA,20,4.62962962962963,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,125,1739,NA,23,44,NA,22.5490196078431,2.59587020648968,NA,NA,NA,NA,NA,NA,NA,NA
-35,NA,NA,154,1781,NA,29,42,NA,23.2,2.41518113858539,NA,NA,NA,NA,NA,NA,NA,NA
-34,NA,NA,193,1923,NA,39,142,NA,25.3246753246753,7.97304884896126,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,231,2227,NA,38,304,NA,19.6891191709845,15.8086323452938,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,294,2276,NA,63,49,NA,27.2727272727273,2.2002694207454,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,368,2465,NA,74,189,NA,25.1700680272109,8.30404217926186,NA,NA,NA,NA,NA,NA,NA,NA
-30,NA,NA,458,2741,NA,90,276,NA,24.4565217391304,11.1967545638945,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,507,2829,NA,49,88,NA,10.6986899563319,3.2105071141919,NA,NA,NA,NA,NA,NA,NA,NA
-28,NA,NA,622,2941,NA,115,112,NA,22.6824457593688,3.95899611170025,NA,NA,NA,NA,NA,NA,NA,NA
-27,NA,NA,754,3017,NA,132,76,NA,21.2218649517685,2.58415504930296,NA,NA,NA,NA,NA,NA,NA,NA
-26,NA,NA,881,3111,NA,127,94,NA,16.8435013262599,3.11567782565462,NA,NA,NA,NA,NA,NA,NA,NA
-25,NA,NA,1056,3192,NA,175,81,NA,19.8637911464245,2.60366441658631,NA,NA,NA,NA,NA,NA,NA,NA
-24,NA,NA,1235,3255,NA,179,63,NA,16.9507575757576,1.97368421052632,NA,NA,NA,NA,NA,NA,NA,NA
-23,NA,NA,1397,3321,NA,162,66,NA,13.1174089068826,2.02764976958525,NA,NA,NA,NA,NA,NA,NA,NA
-22,NA,NA,1573,3372,NA,176,51,NA,12.5984251968504,1.5356820234869,NA,NA,NA,NA,NA,NA,NA,NA
-21,NA,NA,1783,3431,NA,210,59,NA,13.3502860775588,1.7497034400949,NA,NA,NA,NA,NA,NA,NA,NA
-20,0,6,2048,3458,NA,265,27,NA,14.8625911385306,0.786942582337511,NA,NA,NA,NA,NA,NA,NA,NA
-19,1,12,2347,3496,6,299,38,100,14.599609375,1.0989010989011,NA,NA,NA,NA,NA,NA,NA,NA
-18,2,25,2674,3568,13,327,72,108.333333333333,13.932680017043,2.05949656750572,NA,NA,NA,NA,NA,NA,NA,NA
-17,3,35,2952,3611,10,278,43,40,10.3964098728497,1.20515695067265,NA,NA,NA,NA,NA,NA,NA,NA
-16,4,49,3191,3694,14,239,83,40,8.09620596205962,2.29853226253115,NA,NA,NA,NA,NA,NA,NA,NA
-15,5,58,3453,3747,9,262,53,18.3673469387755,8.21059229081792,1.43475906876015,NA,NA,NA,NA,NA,NA,NA,NA
-14,6,74,3713,3747,16,260,0,27.5862068965517,7.52968433246452,0,NA,NA,NA,NA,NA,NA,NA,NA
-13,7,104,4022,4034,30,309,287,40.5405405405405,8.32211150013466,7.65946090205498,NA,NA,NA,NA,NA,NA,NA,NA
-12,8,138,4317,4164,34,295,130,32.6923076923077,7.33465937344605,3.22260783341596,NA,NA,NA,NA,NA,NA,NA,NA
-11,9,185,4616,4164,47,299,0,34.0579710144928,6.92610609219365,0,NA,NA,NA,NA,NA,NA,NA,NA
-10,10,220,4876,4236,35,260,72,18.9189189189189,5.63258232235702,1.72910662824208,NA,NA,NA,NA,NA,NA,NA,NA
-9,11,255,5078,4463,35,202,227,15.9090909090909,4.14273995077933,5.35882908404155,NA,NA,NA,NA,NA,NA,NA,NA
-8,12,305,5280,4578,50,202,115,19.6078431372549,3.97794407246948,2.5767421017253,NA,NA,NA,NA,NA,NA,NA,NA
-7,13,331,5519,4759,26,239,181,8.52459016393443,4.52651515151515,3.95369156837047,NA,NA,NA,NA,NA,NA,NA,NA
-6,14,358,5752,4813,27,233,54,8.1570996978852,4.22177930784562,1.13469216221895,NA,NA,NA,NA,NA,NA,NA,NA
-5,15,388,5981,4923,30,229,110,8.37988826815642,3.98122392211405,2.28547683357573,NA,NA,NA,NA,NA,NA,NA,NA
-4,16,414,6221,5003,26,240,80,6.70103092783505,4.0127069051998,1.62502539102173,NA,NA,NA,NA,NA,NA,NA,NA
-3,17,431,6436,5458,17,215,455,4.10628019323672,3.45603600707282,9.09454327403558,NA,NA,NA,NA,NA,NA,NA,NA
-2,18,440,6616,5612,9,180,154,2.08816705336427,2.79676817899316,2.82154635397582,NA,NA,NA,NA,NA,NA,NA,NA
-1,19,442,6767,5612,2,151,0,0.454545454545455,2.28234582829504,0,NA,NA,NA,NA,NA,NA,NA,NA
0,20,456,6959,5922,14,192,310,3.16742081447964,2.83729865523866,5.52387740555952,NA,NA,5922,5922,310,310,NA,NA
1,21,463,7169,NA,7,210,NA,1.53508771929825,3.01767495329789,NA,1.53508771929825,3.01767495329789,6012.90789473684,6100.7067107343,90.9078947368416,178.7067107343,1.53508771929824,3.01767495329787
2,22,470,7366,NA,7,197,NA,1.51187904967603,2.74794253033896,NA,1.51187904967603,2.74794253033896,6103.81578947368,6268.35062508981,90.9078947368416,167.643914355511,1.51187904967602,2.74794253033896
3,23,476,7600,NA,6,234,NA,1.27659574468085,3.17675807765409,NA,1.27659574468085,3.17675807765409,6181.73684210526,6467.48095990803,77.9210526315783,199.130334818222,1.27659574468084,3.1767580776541
4,24,480,7804,NA,4,204,NA,0.840336134453782,2.68421052631579,NA,0.840336134453782,2.68421052631579,6233.68421052631,6641.08176462135,51.9473684210525,173.600804713322,0.840336134453779,2.6842105263158
5,25,485,7962,NA,5,158,NA,1.04166666666667,2.02460276781138,NA,1.04166666666667,2.02460276781138,6298.61842105263,6775.53728984049,64.9342105263158,134.45552521914,1.04166666666667,2.02460276781137
6,26,490,8110,NA,5,148,NA,1.03092783505155,1.85882943983924,NA,1.03092783505155,1.85882943983924,6363.55263157895,6901.48297169134,64.9342105263158,125.945681850841,1.03092783505155,1.85882943983924
7,27,495,8243,NA,5,133,NA,1.02040816326531,1.63995067817509,NA,1.02040816326531,1.63995067817509,6428.48684210526,7014.66388848973,64.9342105263149,113.18091679839,1.02040816326529,1.63995067817509
8,28,504,8432,NA,9,189,NA,1.81818181818182,2.29285454324882,NA,1.81818181818182,2.29285454324882,6545.36842105263,7175.4999281506,116.881578947367,160.83603966087,1.8181818181818,2.29285454324881
9,29,509,8607,NA,5,175,NA,0.992063492063492,2.07542694497154,NA,0.992063492063492,2.07542694497154,6610.30263157894,7324.42218709585,64.9342105263158,148.922258945251,0.992063492063493,2.07542694497154
10,30,518,8781,NA,9,174,NA,1.76817288801572,2.02161031718369,NA,1.76817288801572,2.02161031718369,6727.18421052631,7472.49346170427,116.881578947368,148.071274608421,1.76817288801572,2.02161031718369
11,31,524,8933,NA,6,152,NA,1.15830115830116,1.73101013551987,NA,1.15830115830116,1.73101013551987,6805.10526315789,7601.84308090243,77.9210526315792,129.349619198159,1.15830115830116,1.73101013551986
12,32,527,9046,NA,3,113,NA,0.572519083969466,1.26497257360349,NA,0.572519083969466,1.26497257360349,6844.06578947368,7698.00431096422,38.96052631579,96.1612300617908,0.572519083969474,1.2649725736035
13,33,532,9182,NA,5,136,NA,0.94876660341556,1.50342692902941,NA,0.94876660341556,1.50342692902941,6909,7813.7381807731,64.9342105263158,115.733869808881,0.948766603415561,1.50342692902941
14,34,538,9350,NA,6,168,NA,1.12781954887218,1.82966673927249,NA,1.12781954887218,1.82966673927249,6986.92105263158,7956.70354936054,77.9210526315783,142.965368587441,1.12781954887217,1.82966673927249
15,35,544,9482,NA,6,132,NA,1.11524163568773,1.41176470588235,NA,1.11524163568773,1.41176470588235,7064.84210526315,8069.0334818221,77.9210526315783,112.329932461561,1.11524163568772,1.41176470588236
16,36,549,9633,NA,5,151,NA,0.919117647058824,1.59249103564649,NA,0.919117647058824,1.59249103564649,7129.77631578947,8197.53211668343,64.9342105263167,128.49863486133,0.919117647058838,1.59249103564648
17,37,558,9750,NA,9,117,NA,1.63934426229508,1.21457489878543,NA,1.63934426229508,1.21457489878543,7246.65789473684,8297.09728409254,116.881578947368,99.5651674091114,1.63934426229508,1.21457489878544
18,38,564,9866,NA,6,116,NA,1.0752688172043,1.18974358974359,NA,1.0752688172043,1.18974358974359,7324.57894736842,8395.81146716482,77.9210526315792,98.7141830722812,1.0752688172043,1.1897435897436
19,39,569,9953,NA,5,87,NA,0.886524822695036,0.88181633894182,NA,0.886524822695036,0.88181633894182,7389.51315789473,8469.84710446903,64.9342105263167,74.0356373042105,0.886524822695049,0.881816338941821
20,40,576,10058,NA,7,105,NA,1.23022847100176,1.05495830402894,NA,1.23022847100176,1.05495830402894,7480.42105263158,8559.20045983618,90.9078947368425,89.3533553671496,1.23022847100176,1.05495830402893
21,41,582,10162,NA,6,104,NA,1.04166666666667,1.03400278385365,NA,1.04166666666667,1.03400278385365,7558.34210526316,8647.7028308665,77.9210526315792,88.5023710303194,1.04166666666667,1.03400278385364
22,42,587,10255,NA,5,93,NA,0.859106529209622,0.915174178311356,NA,0.859106529209622,0.915174178311356,7623.27631578947,8726.84437419169,64.9342105263158,79.1415433251896,0.859106529209623,0.915174178311346
23,43,592,10353,NA,5,98,NA,0.851788756388416,0.955631399317406,NA,0.851788756388416,0.955631399317406,7688.21052631579,8810.24083920103,64.9342105263149,83.3964650093403,0.851788756388405,0.955631399317405
24,44,598,10448,NA,6,95,NA,1.01351351351351,0.917608422679417,NA,1.01351351351351,0.917608422679417,7766.13157894737,8891.08435119988,77.9210526315783,80.8435119988499,1.01351351351351,0.917608422679411
