"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-109,NA,NA,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-108,NA,NA,NA,152,NA,NA,48,NA,NA,46.1538461538462,NA,NA,NA,NA,NA,NA,NA,NA
-107,NA,NA,NA,265,NA,NA,113,NA,NA,74.3421052631579,NA,NA,NA,NA,NA,NA,NA,NA
-106,NA,NA,NA,357,NA,NA,92,NA,NA,34.7169811320755,NA,NA,NA,NA,NA,NA,NA,NA
-105,NA,NA,NA,450,NA,NA,93,NA,NA,26.0504201680672,NA,NA,NA,NA,NA,NA,NA,NA
-104,NA,NA,NA,577,NA,NA,127,NA,NA,28.2222222222222,NA,NA,NA,NA,NA,NA,NA,NA
-103,NA,NA,NA,736,NA,NA,159,NA,NA,27.5563258232236,NA,NA,NA,NA,NA,NA,NA,NA
-102,NA,NA,NA,873,NA,NA,137,NA,NA,18.6141304347826,NA,NA,NA,NA,NA,NA,NA,NA
-101,NA,NA,NA,919,NA,NA,46,NA,NA,5.26918671248568,NA,NA,NA,NA,NA,NA,NA,NA
-100,NA,NA,NA,1157,NA,NA,238,NA,NA,25.8977149075082,NA,NA,NA,NA,NA,NA,NA,NA
-99,NA,NA,NA,1289,NA,NA,132,NA,NA,11.4088159031979,NA,NA,NA,NA,NA,NA,NA,NA
-98,NA,NA,NA,1413,NA,NA,124,NA,NA,9.61986035686579,NA,NA,NA,NA,NA,NA,NA,NA
-97,NA,NA,NA,1598,NA,NA,185,NA,NA,13.0927105449398,NA,NA,NA,NA,NA,NA,NA,NA
-96,NA,NA,NA,1769,NA,NA,171,NA,NA,10.7008760951189,NA,NA,NA,NA,NA,NA,NA,NA
-95,NA,NA,NA,2019,NA,NA,250,NA,NA,14.1322781232335,NA,NA,NA,NA,NA,NA,NA,NA
