"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-39,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,22,NA,NA,7,NA,NA,46.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
-37,NA,NA,31,NA,NA,9,NA,NA,40.9090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,43,NA,NA,12,NA,NA,38.7096774193548,NA,NA,NA,NA,NA,NA,NA,NA,NA
-35,NA,NA,62,NA,NA,19,NA,NA,44.1860465116279,NA,NA,NA,NA,NA,NA,NA,NA,NA
-34,NA,NA,85,NA,NA,23,NA,NA,37.0967741935484,NA,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,107,NA,NA,22,NA,NA,25.8823529411765,NA,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,161,NA,NA,54,NA,NA,50.4672897196262,NA,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,194,NA,NA,33,NA,NA,20.4968944099379,NA,NA,NA,NA,NA,NA,NA,NA,NA
-30,NA,NA,238,NA,NA,44,NA,NA,22.680412371134,NA,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,294,NA,NA,56,NA,NA,23.5294117647059,NA,NA,NA,NA,NA,NA,NA,NA,NA
-28,NA,NA,367,NA,NA,73,NA,NA,24.8299319727891,NA,NA,NA,NA,NA,NA,NA,NA,NA
-27,NA,NA,442,NA,NA,75,NA,NA,20.4359673024523,NA,NA,NA,NA,NA,NA,NA,NA,NA
-26,NA,NA,560,101,NA,118,NA,NA,26.6968325791855,NA,NA,NA,NA,NA,NA,NA,NA,NA
-25,NA,NA,702,131,NA,142,30,NA,25.3571428571429,29.7029702970297,NA,NA,NA,NA,NA,NA,NA,NA
-24,NA,NA,874,131,NA,172,0,NA,24.5014245014245,0,NA,NA,NA,NA,NA,NA,NA,NA
-23,NA,NA,967,160,NA,93,29,NA,10.6407322654462,22.1374045801527,NA,NA,NA,NA,NA,NA,NA,NA
-22,NA,NA,1187,183,NA,220,23,NA,22.7507755946225,14.375,NA,NA,NA,NA,NA,NA,NA,NA
-21,NA,NA,1439,216,NA,252,33,NA,21.2299915754002,18.0327868852459,NA,NA,NA,NA,NA,NA,NA,NA
-20,NA,NA,1682,277,NA,243,61,NA,16.8867268936762,28.2407407407407,NA,NA,NA,NA,NA,NA,NA,NA
-19,NA,NA,2015,363,NA,333,86,NA,19.7978596908442,31.0469314079422,NA,NA,NA,NA,NA,NA,NA,NA
-18,0,12,2357,475,NA,342,112,NA,16.9727047146402,30.8539944903581,NA,NA,NA,NA,NA,NA,NA,NA
-17,1,23,2665,591,11,308,116,91.6666666666667,13.0674586338566,24.4210526315789,NA,NA,NA,NA,NA,NA,NA,NA
