"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-156,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-155,1,14,NA,NA,7,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-154,2,30,NA,NA,16,NA,NA,114.285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-153,3,42,NA,NA,12,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-152,4,58,NA,NA,16,NA,NA,38.0952380952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-151,5,68,NA,NA,10,NA,NA,17.2413793103448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-150,6,88,NA,NA,20,NA,NA,29.4117647058824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-149,7,123,NA,NA,35,NA,NA,39.7727272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-148,8,163,NA,NA,40,NA,NA,32.520325203252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-147,9,219,NA,NA,56,NA,NA,34.3558282208589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-146,10,260,NA,NA,41,NA,NA,18.7214611872146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-145,11,301,NA,NA,41,NA,NA,15.7692307692308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-144,12,361,NA,NA,60,NA,NA,19.9335548172757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-143,13,391,NA,NA,30,NA,NA,8.31024930747922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-142,14,423,NA,NA,32,NA,NA,8.18414322250639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-141,15,458,NA,NA,35,NA,NA,8.274231678487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-140,16,490,NA,NA,32,NA,NA,6.98689956331878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-139,17,509,NA,NA,19,NA,NA,3.87755102040816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-138,18,520,NA,NA,11,NA,NA,2.16110019646365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-137,19,522,NA,NA,2,NA,NA,0.384615384615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-136,20,539,NA,NA,17,NA,NA,3.25670498084291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-135,21,547,NA,NA,8,NA,NA,1.48423005565863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-134,22,555,NA,NA,8,NA,NA,1.46252285191956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-133,23,562,NA,NA,7,NA,NA,1.26126126126126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-132,24,568,NA,NA,6,NA,NA,1.06761565836299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-131,25,573,NA,NA,5,NA,NA,0.880281690140845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-130,26,579,NA,NA,6,NA,NA,1.04712041884817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-129,27,585,NA,NA,6,NA,NA,1.03626943005181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-128,28,596,NA,NA,11,NA,NA,1.88034188034188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-127,29,602,NA,194,6,NA,NA,1.00671140939597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-126,30,612,NA,194,10,NA,0,1.66112956810631,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-125,31,619,NA,223,7,NA,29,1.1437908496732,NA,14.9484536082474,NA,NA,NA,NA,NA,NA,NA,NA
