"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-76,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-75,NA,NA,4,115,NA,2,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
-74,NA,NA,5,130,NA,1,15,NA,25,13.0434782608696,NA,NA,NA,NA,NA,NA,NA,NA
-73,NA,NA,7,163,NA,2,33,NA,40,25.3846153846154,NA,NA,NA,NA,NA,NA,NA,NA
-72,NA,NA,11,214,NA,4,51,NA,57.1428571428571,31.2883435582822,NA,NA,NA,NA,NA,NA,NA,NA
-71,NA,NA,14,232,NA,3,18,NA,27.2727272727273,8.41121495327103,NA,NA,NA,NA,NA,NA,NA,NA
-70,NA,NA,18,264,NA,4,32,NA,28.5714285714286,13.7931034482759,NA,NA,NA,NA,NA,NA,NA,NA
-69,NA,NA,27,319,NA,9,55,NA,50,20.8333333333333,NA,NA,NA,NA,NA,NA,NA,NA
-68,NA,NA,33,368,NA,6,49,NA,22.2222222222222,15.3605015673981,NA,NA,NA,NA,NA,NA,NA,NA
-67,NA,NA,40,393,NA,7,25,NA,21.2121212121212,6.79347826086956,NA,NA,NA,NA,NA,NA,NA,NA
-66,NA,NA,50,450,NA,10,57,NA,25,14.5038167938931,NA,NA,NA,NA,NA,NA,NA,NA
-65,NA,NA,62,593,NA,12,143,NA,24,31.7777777777778,NA,NA,NA,NA,NA,NA,NA,NA
-64,NA,NA,75,673,NA,13,80,NA,20.9677419354839,13.4907251264755,NA,NA,NA,NA,NA,NA,NA,NA
-63,NA,NA,95,673,NA,20,0,NA,26.6666666666667,0,NA,NA,NA,NA,NA,NA,NA,NA
-62,NA,NA,119,928,NA,24,255,NA,25.2631578947368,37.890044576523,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,148,928,NA,29,0,NA,24.3697478991597,0,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,163,1207,NA,15,279,NA,10.1351351351351,30.0646551724138,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,201,1326,NA,38,119,NA,23.3128834355828,9.85915492957746,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,243,1479,NA,42,153,NA,20.8955223880597,11.5384615384615,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,284,1479,NA,41,0,NA,16.8724279835391,0,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,341,1625,NA,57,146,NA,20.0704225352113,9.87153482082488,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,399,1761,NA,58,136,NA,17.0087976539589,8.36923076923077,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,451,2014,NA,52,253,NA,13.0325814536341,14.3668370244179,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,507,2075,NA,56,61,NA,12.4168514412417,3.02879841112214,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,575,2323,NA,68,248,NA,13.4122287968442,11.9518072289157,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,661,2323,NA,86,0,NA,14.9565217391304,0,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,757,2538,NA,96,215,NA,14.5234493192133,9.2552733534223,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,863,2745,NA,106,207,NA,14.002642007926,8.15602836879433,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,952,2931,NA,89,186,NA,10.3128621089224,6.775956284153,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,1030,3200,NA,78,269,NA,8.19327731092437,9.17775503241215,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,1114,3308,NA,84,108,NA,8.15533980582524,3.375,NA,NA,NA,NA,NA,NA,NA,NA
-45,0,2,1198,3442,NA,84,134,NA,7.54039497307002,4.05078597339782,NA,NA,NA,NA,NA,NA,NA,NA
-44,1,4,1298,3576,2,100,134,100,8.34724540901503,3.89308541545613,NA,NA,NA,NA,NA,NA,NA,NA
-43,2,8,1393,4034,4,95,458,100,7.31895223420647,12.8076062639821,NA,NA,NA,NA,NA,NA,NA,NA
