"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-41,NA,NA,NA,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-40,NA,NA,NA,124,NA,NA,19,NA,NA,18.0952380952381,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,NA,145,NA,NA,21,NA,NA,16.9354838709677,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,NA,179,NA,NA,34,NA,NA,23.448275862069,NA,NA,NA,NA,NA,NA,NA,NA
-37,NA,NA,NA,235,NA,NA,56,NA,NA,31.2849162011173,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,NA,298,NA,NA,63,NA,NA,26.8085106382979,NA,NA,NA,NA,NA,NA,NA,NA
-35,NA,NA,NA,336,NA,NA,38,NA,NA,12.751677852349,NA,NA,NA,NA,NA,NA,NA,NA
-34,NA,NA,NA,424,NA,NA,88,NA,NA,26.1904761904762,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,NA,497,NA,NA,73,NA,NA,17.2169811320755,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,NA,549,NA,NA,52,NA,NA,10.4627766599598,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,NA,614,NA,NA,65,NA,NA,11.83970856102,NA,NA,NA,NA,NA,NA,NA,NA
-30,NA,NA,8,699,NA,NA,85,NA,NA,13.8436482084691,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,12,786,NA,4,87,NA,50,12.4463519313305,NA,NA,NA,NA,NA,NA,NA,NA
-28,NA,NA,17,868,NA,5,82,NA,41.6666666666667,10.4325699745547,NA,NA,NA,NA,NA,NA,NA,NA
-27,NA,NA,24,946,NA,7,78,NA,41.1764705882353,8.98617511520737,NA,NA,NA,NA,NA,NA,NA,NA
-26,NA,NA,34,1048,NA,10,102,NA,41.6666666666667,10.7822410147992,NA,NA,NA,NA,NA,NA,NA,NA
-25,NA,NA,46,1145,NA,12,97,NA,35.2941176470588,9.25572519083969,NA,NA,NA,NA,NA,NA,NA,NA
-24,NA,NA,59,1270,NA,13,125,NA,28.2608695652174,10.9170305676856,NA,NA,NA,NA,NA,NA,NA,NA
-23,NA,NA,88,1388,NA,29,118,NA,49.1525423728814,9.29133858267716,NA,NA,NA,NA,NA,NA,NA,NA
-22,NA,NA,106,1510,NA,18,122,NA,20.4545454545455,8.78962536023055,NA,NA,NA,NA,NA,NA,NA,NA
-21,NA,NA,131,1587,NA,25,77,NA,23.5849056603774,5.09933774834437,NA,NA,NA,NA,NA,NA,NA,NA
-20,NA,NA,161,1710,NA,30,123,NA,22.9007633587786,7.75047258979206,NA,NA,NA,NA,NA,NA,NA,NA
-19,NA,NA,201,1899,NA,40,189,NA,24.8447204968944,11.0526315789474,NA,NA,NA,NA,NA,NA,NA,NA
-18,NA,NA,242,1995,NA,41,96,NA,20.3980099502488,5.05529225908373,NA,NA,NA,NA,NA,NA,NA,NA
-17,NA,NA,307,2141,NA,65,146,NA,26.8595041322314,7.31829573934837,NA,NA,NA,NA,NA,NA,NA,NA
-16,0,6,385,2332,NA,78,191,NA,25.4071661237785,8.92106492293321,NA,NA,NA,NA,NA,NA,NA,NA
-15,1,13,479,2513,7,94,181,116.666666666667,24.4155844155844,7.76157804459691,NA,NA,NA,NA,NA,NA,NA,NA
-14,2,27,530,2902,14,51,389,107.692307692308,10.6471816283925,15.4795065658575,NA,NA,NA,NA,NA,NA,NA,NA
-13,3,37,650,3159,10,120,257,37.037037037037,22.6415094339623,8.85596140592695,NA,NA,NA,NA,NA,NA,NA,NA
-12,4,51,789,3641,14,139,482,37.8378378378378,21.3846153846154,15.2579930357708,NA,NA,NA,NA,NA,NA,NA,NA
-11,5,60,922,3748,9,133,107,17.6470588235294,16.8567807351077,2.93875308981049,NA,NA,NA,NA,NA,NA,NA,NA
-10,6,78,1104,3924,18,182,176,30,19.7396963123644,4.69583778014941,NA,NA,NA,NA,NA,NA,NA,NA
-9,7,109,1291,4445,31,187,521,39.7435897435897,16.9384057971014,13.2772680937819,NA,NA,NA,NA,NA,NA,NA,NA
-8,8,144,1460,5092,35,169,647,32.1100917431193,13.0906274206042,14.5556805399325,NA,NA,NA,NA,NA,NA,NA,NA
-7,9,194,1644,5476,50,184,384,34.7222222222222,12.6027397260274,7.54124116260801,NA,NA,NA,NA,NA,NA,NA,NA
-6,10,230,1864,5868,36,220,392,18.5567010309278,13.38199513382,7.15850986121256,NA,NA,NA,NA,NA,NA,NA,NA
-5,11,267,2141,6376,37,277,508,16.0869565217391,14.8605150214592,8.65712338104976,NA,NA,NA,NA,NA,NA,NA,NA
-4,12,319,2454,6843,52,313,467,19.4756554307116,14.6193367585241,7.32434127979925,NA,NA,NA,NA,NA,NA,NA,NA
-3,13,346,2796,7145,27,342,302,8.46394984326019,13.9364303178484,4.41326903404939,NA,NA,NA,NA,NA,NA,NA,NA
-2,14,375,3086,7884,29,290,739,8.38150289017341,10.3719599427754,10.3428971308607,NA,NA,NA,NA,NA,NA,NA,NA
-1,15,406,3336,8641,31,250,757,8.26666666666667,8.10110174983798,9.60172501268392,NA,NA,NA,NA,NA,NA,NA,NA
0,16,433,3610,9169,27,274,528,6.65024630541872,8.21342925659472,6.11040388843884,NA,NA,9169,9169,528,528,NA,NA
1,17,450,3882,NA,17,272,NA,3.92609699769053,7.53462603878116,NA,3.92609699769053,7.53462603878116,9528.98383371824,9859.84986149584,359.983833718245,690.849861495844,3.92609699769053,7.53462603878116
2,18,460,4205,NA,10,323,NA,2.22222222222222,8.3204533745492,NA,2.22222222222222,8.3204533745492,9740.73903002309,10680.2340720222,211.75519630485,820.384210526316,2.22222222222222,8.3204533745492
3,19,462,4514,NA,2,309,NA,0.434782608695652,7.34839476813317,NA,0.434782608695652,7.34839476813317,9783.09006928406,11465.059833795,42.3510392609696,784.825761772854,0.434782608695649,7.34839476813318
4,20,477,4825,NA,15,311,NA,3.24675324675325,6.88967656180771,NA,3.24675324675325,6.88967656180771,10100.7228637413,12254.9653739612,317.632794457275,789.905540166204,3.24675324675325,6.8896765618077
5,21,484,5098,NA,7,273,NA,1.46750524109015,5.6580310880829,NA,1.46750524109015,5.6580310880829,10248.9515011547,12948.3551246537,148.228637413395,693.38975069252,1.46750524109014,5.6580310880829
6,22,491,5309,NA,7,211,NA,1.44628099173554,4.13887799136916,NA,1.44628099173554,4.13887799136916,10397.1801385681,13484.2717451524,148.228637413395,535.916620498614,1.44628099173553,4.13887799136916
7,23,498,5521,NA,7,212,NA,1.42566191446029,3.99321906197024,NA,1.42566191446029,3.99321906197024,10545.4087759815,14022.7282548476,148.228637413395,538.45650969529,1.42566191446028,3.99321906197023
8,24,502,5770,NA,4,249,NA,0.803212851405622,4.51005252671617,NA,0.803212851405622,4.51005252671617,10630.1108545035,14655.1606648199,84.7020785219411,632.432409972298,0.803212851405633,4.51005252671617
9,25,507,6014,NA,5,244,NA,0.99601593625498,4.22876949740035,NA,0.99601593625498,4.22876949740035,10735.9884526559,15274.8936288089,105.877598152425,619.732963988919,0.99601593625498,4.22876949740035
10,26,512,6253,NA,5,239,NA,0.986193293885602,3.97406052544064,NA,0.986193293885602,3.97406052544064,10841.8660508083,15881.9271468144,105.877598152425,607.033518005541,0.986193293885602,3.97406052544064
11,27,518,6504,NA,6,251,NA,1.171875,4.01407324484247,NA,1.171875,4.01407324484247,10968.9191685912,16519.43933518,127.053117782911,637.512188365648,1.17187500000001,4.01407324484246
12,28,527,6729,NA,9,225,NA,1.73745173745174,3.45940959409594,NA,1.73745173745174,3.45940959409594,11159.4988452656,17090.9144044321,190.579676674366,571.475069252076,1.73745173745175,3.45940959409593
13,29,532,6917,NA,5,188,NA,0.94876660341556,2.79387724773369,NA,0.94876660341556,2.79387724773369,11265.376443418,17568.4135734072,105.877598152425,477.499168975071,0.94876660341556,2.7938772477337
14,30,541,7075,NA,9,158,NA,1.69172932330827,2.28422726615585,NA,1.69172932330827,2.28422726615585,11455.9561200924,17969.716066482,190.579676674366,401.302493074792,1.69172932330828,2.28422726615585
15,31,548,7275,NA,7,200,NA,1.29390018484288,2.82685512367491,NA,1.29390018484288,2.82685512367491,11604.1847575058,18477.6939058172,148.228637413395,507.977839335181,1.29390018484288,2.82685512367492
16,32,551,7495,NA,3,220,NA,0.547445255474453,3.02405498281787,NA,0.547445255474453,3.02405498281787,11667.7113163972,19036.4695290859,63.5265588914554,558.775623268695,0.547445255474456,3.02405498281785
17,33,556,7701,NA,5,206,NA,0.907441016333938,2.74849899933289,NA,0.907441016333938,2.74849899933289,11773.5889145497,19559.6867036011,105.877598152425,523.217174515237,0.907441016333938,2.7484989993329
18,34,562,7946,NA,6,245,NA,1.07913669064748,3.18140501233606,NA,1.07913669064748,3.18140501233606,11900.6420323326,20181.9595567867,127.053117782909,622.272853185594,1.07913669064747,3.18140501233605
19,35,569,8159,NA,7,213,NA,1.24555160142349,2.68059400956456,NA,1.24555160142349,2.68059400956456,12048.870669746,20722.9559556787,148.228637413395,540.996398891966,1.24555160142348,2.68059400956456
20,36,574,8324,NA,5,165,NA,0.878734622144113,2.02230665522736,NA,0.878734622144113,2.02230665522736,12154.7482678984,21142.0376731302,105.877598152425,419.081717451525,0.878734622144113,2.02230665522736
21,37,583,8479,NA,9,155,NA,1.56794425087108,1.8620855358001,NA,1.56794425087108,1.8620855358001,12345.3279445727,21535.720498615,190.579676674364,393.682825484764,1.56794425087107,1.86208553580009
22,38,590,8618,NA,7,139,NA,1.20068610634648,1.63934426229508,NA,1.20068610634648,1.63934426229508,12493.5565819861,21888.7650969529,148.228637413396,353.04459833795,1.2006861063465,1.63934426229508
23,39,595,8816,NA,5,198,NA,0.847457627118644,2.29751682524948,NA,0.847457627118644,2.29751682524948,12599.4341801386,22391.6631578947,105.877598152425,502.898060941829,0.847457627118644,2.29751682524948
24,40,602,8998,NA,7,182,NA,1.17647058823529,2.06442831215971,NA,1.17647058823529,2.06442831215971,12747.662817552,22853.9229916897,148.228637413395,462.259833795015,1.17647058823529,2.06442831215971
25,41,608,9180,NA,6,182,NA,0.996677740863787,2.02267170482329,NA,0.996677740863787,2.02267170482329,12874.7159353349,23316.1828254848,127.053117782909,462.259833795011,0.996677740863779,2.02267170482328
26,42,614,9339,NA,6,159,NA,0.986842105263158,1.73202614379085,NA,0.986842105263158,1.73202614379085,13001.7690531178,23720.0252077562,127.053117782911,403.842382271465,0.986842105263164,1.73202614379084
27,43,619,9457,NA,5,118,NA,0.814332247557003,1.26351857800621,NA,0.814332247557003,1.26351857800621,13107.6466512702,24019.732132964,105.877598152425,299.706925207756,0.814332247557003,1.26351857800621
28,44,625,9599,NA,6,142,NA,0.969305331179321,1.50153325578936,NA,0.969305331179321,1.50153325578936,13234.6997690531,24380.396398892,127.053117782909,360.664265927979,0.969305331179313,1.50153325578937
29,45,630,9775,NA,5,176,NA,0.8,1.83352432545057,NA,0.8,1.83352432545057,13340.5773672055,24827.4168975069,105.877598152425,447.020498614958,0.8,1.83352432545057
