"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-54,NA,NA,NA,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,NA,288,NA,NA,129,NA,NA,81.1320754716981,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,NA,422,NA,NA,134,NA,NA,46.5277777777778,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,NA,585,NA,NA,163,NA,NA,38.6255924170616,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,NA,753,NA,NA,168,NA,NA,28.7179487179487,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,NA,1049,NA,NA,296,NA,NA,39.3094289508632,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,NA,1273,NA,NA,224,NA,NA,21.3536701620591,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,NA,1535,NA,NA,262,NA,NA,20.5813040062844,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,NA,1865,NA,NA,330,NA,NA,21.4983713355049,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,NA,2538,NA,NA,673,NA,NA,36.0857908847185,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,NA,3026,NA,NA,488,NA,NA,19.2277383766745,NA,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,32,3491,NA,NA,465,NA,NA,15.3668208856576,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,48,4596,NA,16,1105,NA,50,31.6528215411057,NA,NA,NA,NA,NA,NA,NA,NA
-41,NA,NA,67,5057,NA,19,461,NA,39.5833333333333,10.0304612706701,NA,NA,NA,NA,NA,NA,NA,NA
-40,NA,NA,95,5994,NA,28,937,NA,41.7910447761194,18.528771999209,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,137,6980,NA,42,986,NA,44.2105263157895,16.4497831164498,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,186,7695,NA,49,715,NA,35.7664233576642,10.243553008596,NA,NA,NA,NA,NA,NA,NA,NA
-37,NA,NA,236,8904,NA,50,1209,NA,26.8817204301075,15.7115009746589,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,355,10357,NA,119,1453,NA,50.4237288135593,16.3185085354897,NA,NA,NA,NA,NA,NA,NA,NA
-35,NA,NA,427,11256,NA,72,899,NA,20.2816901408451,8.68011972578932,NA,NA,NA,NA,NA,NA,NA,NA
-34,NA,NA,524,12262,NA,97,1006,NA,22.7166276346604,8.93745557924662,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,647,13549,NA,123,1287,NA,23.4732824427481,10.4958408090034,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,809,15078,NA,162,1529,NA,25.0386398763524,11.284965680124,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,972,16422,NA,163,1344,NA,20.1483312731768,8.91364902506964,NA,NA,NA,NA,NA,NA,NA,NA
-30,NA,NA,1233,17887,NA,261,1465,NA,26.8518518518519,8.92095968822312,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,1546,19180,NA,313,1293,NA,25.3852392538524,7.22871359087606,NA,NA,NA,NA,NA,NA,NA,NA
-28,NA,NA,1922,20852,NA,376,1672,NA,24.3208279430789,8.71741397288843,NA,NA,NA,NA,NA,NA,NA,NA
-27,NA,NA,2127,22025,NA,205,1173,NA,10.6659729448491,5.62535967772876,NA,NA,NA,NA,NA,NA,NA,NA
-26,NA,NA,2612,23247,NA,485,1222,NA,22.8020686412788,5.54824063564132,NA,NA,NA,NA,NA,NA,NA,NA
-25,NA,NA,3167,24593,NA,555,1346,NA,21.2480857580398,5.78999440788059,NA,NA,NA,NA,NA,NA,NA,NA
-24,NA,NA,3701,25733,NA,534,1140,NA,16.8613830123145,4.6354653763266,NA,NA,NA,NA,NA,NA,NA,NA
-23,NA,NA,4434,27575,NA,733,1842,NA,19.8054579843286,7.15812380989391,NA,NA,NA,NA,NA,NA,NA,NA
-22,NA,NA,5187,29160,NA,753,1585,NA,16.9824086603518,5.7479601087942,NA,NA,NA,NA,NA,NA,NA,NA
-21,NA,NA,5864,30357,NA,677,1197,NA,13.0518604202815,4.10493827160494,NA,NA,NA,NA,NA,NA,NA,NA
-20,NA,NA,6603,31508,NA,739,1151,NA,12.6023192360164,3.79154725434002,NA,NA,NA,NA,NA,NA,NA,NA
-19,0,26,7485,33059,NA,882,1551,NA,13.3575647432985,4.92255935000635,NA,NA,NA,NA,NA,NA,NA,NA
-18,1,50,8600,35108,24,1115,2049,92.3076923076923,14.8964595858383,6.19800961916573,NA,NA,NA,NA,NA,NA,NA,NA
-17,2,107,9855,36934,57,1255,1826,114,14.593023255814,5.20109376780221,NA,NA,NA,NA,NA,NA,NA,NA
-16,3,149,11229,39658,42,1374,2724,39.2523364485981,13.9421613394216,7.37531813505171,NA,NA,NA,NA,NA,NA,NA,NA
-15,4,206,12394,41777,57,1165,2119,38.255033557047,10.3749220767655,5.34318422512482,NA,NA,NA,NA,NA,NA,NA,NA
-14,5,241,13398,43903,35,1004,2126,16.9902912621359,8.10069388413749,5.08892452785025,NA,NA,NA,NA,NA,NA,NA,NA
-13,6,312,14498,45883,71,1100,1980,29.4605809128631,8.21018062397373,4.50994237295857,NA,NA,NA,NA,NA,NA,NA,NA
-12,7,436,15590,48102,124,1092,2219,39.7435897435897,7.53207338943302,4.83621384826624,NA,NA,NA,NA,NA,NA,NA,NA
-11,8,578,16890,50355,142,1300,2253,32.5688073394495,8.33867864015394,4.68379693152052,NA,NA,NA,NA,NA,NA,NA,NA
-10,9,779,18129,52918,201,1239,2563,34.7750865051903,7.33570159857904,5.08986197994241,NA,NA,NA,NA,NA,NA,NA,NA
-9,10,923,19381,56055,144,1252,3137,18.4852374839538,6.9060621104308,5.92803960845081,NA,NA,NA,NA,NA,NA,NA,NA
-8,11,1071,20474,58505,148,1093,2450,16.0346695557963,5.63954388318456,4.37070734100437,NA,NA,NA,NA,NA,NA,NA,NA
-7,12,1282,21323,61499,211,849,2994,19.7012138188609,4.14672267265801,5.11751132381848,NA,NA,NA,NA,NA,NA,NA,NA
-6,13,1389,22172,63840,107,849,2341,8.34633385335414,3.98161609529616,3.80656596042212,NA,NA,NA,NA,NA,NA,NA,NA
-5,14,1505,23175,65962,116,1003,2122,8.35133189344852,4.52372361537074,3.32393483709273,NA,NA,NA,NA,NA,NA,NA,NA
-4,15,1630,24153,68232,125,978,2270,8.30564784053156,4.22006472491909,3.44137533731542,NA,NA,NA,NA,NA,NA,NA,NA
-3,16,1740,25114,70873,110,961,2641,6.74846625766871,3.97880180515878,3.87061789189823,NA,NA,NA,NA,NA,NA,NA,NA
-2,17,1808,26121,73760,68,1007,2887,3.90804597701149,4.0097156964243,4.0734835550915,NA,NA,NA,NA,NA,NA,NA,NA
-1,18,1848,27025,76085,40,904,2325,2.21238938053097,3.46081696719115,3.15211496746204,NA,NA,NA,NA,NA,NA,NA,NA
0,19,1857,27780,77741,9,755,1656,0.487012987012987,2.79370952821462,2.17651311033712,NA,NA,77741,77741,1656,1656,NA,NA
1,20,1917,28417,NA,60,637,NA,3.23101777059774,2.29301655867531,NA,3.23101777059774,2.29301655867531,80252.8255250404,79523.6140028798,2511.82552504039,1782.61400287977,3.23101777059774,2.2930165586753
2,21,1945,29221,NA,28,804,NA,1.46061554512259,2.82929232501672,NA,1.46061554512259,2.82929232501672,81425.0107700592,81773.5695104392,1172.18524501885,2249.9555075594,1.46061554512258,2.82929232501672
3,22,1972,30102,NA,27,881,NA,1.38817480719794,3.01495499811779,NA,1.38817480719794,3.01495499811779,82555.3322563274,84239.0058315335,1130.32148626818,2465.43632109431,1.38817480719795,3.01495499811779
4,23,1999,30930,NA,27,828,NA,1.36916835699797,2.75064779748854,NA,1.36916835699797,2.75064779748854,83685.6537425956,86556.1241900648,1130.32148626816,2317.11835853133,1.36916835699796,2.75064779748855
5,24,2017,31914,NA,18,984,NA,0.900450225112556,3.18137730358875,NA,0.900450225112556,3.18137730358875,84439.2014001077,89309.8010799136,753.547657512114,2753.67688984881,0.900450225112553,3.18137730358874
6,25,2036,32771,NA,19,857,NA,0.941993058998513,2.68534185623864,NA,0.941993058998513,2.68534185623864,85234.6128163705,91708.074550036,795.411416262796,2398.27347012238,0.94199305899852,2.68534185623863
7,26,2056,33432,NA,20,661,NA,0.982318271119843,2.01702724970248,NA,0.982318271119843,2.01702724970248,86071.887991384,93557.8514038877,837.275175013478,1849.77685385168,0.98231827111986,2.01702724970247
8,27,2079,34055,NA,23,623,NA,1.11867704280156,1.86348408710218,NA,1.11867704280156,1.86348408710218,87034.7544426494,95301.2870770338,962.86645126548,1743.43567314614,1.11867704280155,1.86348408710217
9,28,2117,34614,NA,38,559,NA,1.82780182780183,1.64146234033182,NA,1.82780182780183,1.64146234033182,88625.577275175,96865.6218142548,1590.82283252558,1564.33473722103,1.82780182780183,1.64146234033182
10,29,2138,35407,NA,21,793,NA,0.991969768540387,2.29098052811001,NA,0.991969768540387,2.29098052811001,89504.7162089392,99084.7943484521,879.138933764145,2219.17253419726,0.991969768540398,2.29098052811001
11,30,2175,36139,NA,37,732,NA,1.73058933582788,2.06738780467139,NA,1.73058933582788,2.06738780467139,91053.6752827141,101133.261303096,1548.95907377491,2048.46695464363,1.73058933582788,2.0673878046714
12,31,2199,36871,NA,24,732,NA,1.10344827586207,2.0255126041119,NA,1.10344827586207,2.0255126041119,92058.4054927302,103181.728257739,1004.73021001615,2048.46695464363,1.10344827586206,2.02551260411191
13,32,2215,37510,NA,16,639,NA,0.727603456116417,1.73306934989558,NA,0.727603456116417,1.73306934989558,92728.225632741,104969.939164867,669.820140010779,1788.21090712743,0.727603456116426,1.73306934989558
14,33,2234,37982,NA,19,472,NA,0.857787810383747,1.25833111170355,NA,0.857787810383747,1.25833111170355,93523.6370490038,106290.808567315,795.411416262796,1320.8694024478,0.857787810383754,1.25833111170354
15,34,2258,38554,NA,24,572,NA,1.07430617726052,1.50597651519141,NA,1.07430617726052,1.50597651519141,94528.36725902,107891.523182145,1004.73021001616,1600.71461483081,1.07430617726053,1.5059765151914
16,35,2284,39261,NA,26,707,NA,1.15146147032772,1.83379156507755,NA,1.15146147032772,1.83379156507755,95616.8249865375,109870.028833693,1088.4577275175,1978.50565154786,1.15146147032772,1.83379156507754
17,36,2307,39815,NA,23,554,NA,1.00700525394046,1.41106950918214,NA,1.00700525394046,1.41106950918214,96579.6914378029,111420.371310295,962.866451265494,1550.34247660189,1.00700525394047,1.41106950918215
18,37,2343,40448,NA,36,633,NA,1.56046814044213,1.58985307045084,NA,1.56046814044213,1.58985307045084,98086.7867528272,113191.79150468,1507.09531502423,1771.42019438444,1.56046814044213,1.58985307045083
19,38,2369,40942,NA,26,494,NA,1.1096884336321,1.22132120253165,NA,1.1096884336321,1.22132120253165,99175.2444803447,114574.226853852,1088.45772751751,1382.43534917207,1.1096884336321,1.22132120253165
