"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-64,NA,NA,NA,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-63,NA,NA,NA,201,NA,NA,75,NA,NA,59.5238095238095,NA,NA,NA,NA,NA,NA,NA,NA
-62,NA,NA,NA,259,NA,NA,58,NA,NA,28.8557213930348,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,NA,365,NA,NA,106,NA,NA,40.9266409266409,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,17,477,NA,NA,112,NA,NA,30.6849315068493,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,25,645,NA,8,168,NA,47.0588235294118,35.2201257861635,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,36,981,NA,11,336,NA,44,52.093023255814,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,50,1232,NA,14,251,NA,38.8888888888889,25.5861365953109,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,73,1514,NA,23,282,NA,46,22.8896103896104,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,99,1786,NA,26,272,NA,35.6164383561644,17.9656538969617,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,126,2159,NA,27,373,NA,27.2727272727273,20.8846584546473,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,189,2565,NA,63,406,NA,50,18.805002315887,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,227,3039,NA,38,474,NA,20.1058201058201,18.4795321637427,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,279,3437,NA,52,398,NA,22.9074889867841,13.0964132938467,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,344,3953,NA,65,516,NA,23.2974910394265,15.0130928135001,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,430,4411,NA,86,458,NA,25,11.5861371110549,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,516,4944,NA,86,533,NA,20,12.083427794151,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,655,5507,NA,139,563,NA,26.937984496124,11.3875404530744,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,821,5943,NA,166,436,NA,25.3435114503817,7.91719629562375,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,1021,6351,NA,200,408,NA,24.3605359317905,6.86521958606764,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,1130,6907,NA,109,556,NA,10.6758080313418,8.75452684616596,NA,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,1388,7435,NA,258,528,NA,22.8318584070796,7.64441870566092,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,1683,7928,NA,295,493,NA,21.2536023054755,6.63080026899798,NA,NA,NA,NA,NA,NA,NA,NA
-41,NA,NA,1966,8236,NA,283,308,NA,16.815210932858,3.88496468213925,NA,NA,NA,NA,NA,NA,NA,NA
-40,NA,NA,2356,8527,NA,390,291,NA,19.8372329603255,3.53326857697912,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,2755,8955,NA,399,428,NA,16.9354838709677,5.01935029905008,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,3115,9542,NA,360,587,NA,13.0671506352087,6.55499720826354,NA,NA,NA,NA,NA,NA,NA,NA
-37,NA,NA,3508,10154,NA,393,612,NA,12.6163723916533,6.41374973800042,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,3977,10641,NA,469,487,NA,13.369441277081,4.79613945243254,NA,NA,NA,NA,NA,NA,NA,NA
-35,NA,NA,4569,11210,NA,592,569,NA,14.8855921548906,5.34724180058265,NA,NA,NA,NA,NA,NA,NA,NA
-34,NA,NA,5236,11686,NA,667,476,NA,14.598380389582,4.24620874219447,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,5966,12097,NA,730,411,NA,13.9419404125286,3.5170289234982,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,6585,12438,NA,619,341,NA,10.375460945357,2.81888071422667,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,7118,13039,NA,533,601,NA,8.09415337889142,4.83196655410838,NA,NA,NA,NA,NA,NA,NA,NA
-30,NA,NA,7703,13680,NA,585,641,NA,8.21860073054229,4.91602116726743,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,8283,14395,NA,580,715,NA,7.52953394781254,5.2266081871345,NA,NA,NA,NA,NA,NA,NA,NA
-28,NA,NA,8973,15012,NA,690,617,NA,8.33031510322347,4.28621048975339,NA,NA,NA,NA,NA,NA,NA,NA
-27,NA,NA,9631,15961,NA,658,949,NA,7.33311044243843,6.32160937916334,NA,NA,NA,NA,NA,NA,NA,NA
-26,NA,NA,10296,16588,NA,665,627,NA,6.90478662651853,3.92832529290145,NA,NA,NA,NA,NA,NA,NA,NA
-25,NA,NA,10877,17182,NA,581,594,NA,5.64296814296814,3.58090185676393,NA,NA,NA,NA,NA,NA,NA,NA
-24,NA,NA,11328,17835,NA,451,653,NA,4.14636388710122,3.80048888371552,NA,NA,NA,NA,NA,NA,NA,NA
-23,0,14,11780,18630,NA,452,795,NA,3.99011299435028,4.45752733389403,NA,NA,NA,NA,NA,NA,NA,NA
-22,1,27,12312,19295,13,532,665,92.8571428571429,4.51612903225806,3.56951154052603,NA,NA,NA,NA,NA,NA,NA,NA
-21,2,57,12832,19933,30,520,638,111.111111111111,4.22352176738142,3.30655610261726,NA,NA,NA,NA,NA,NA,NA,NA
-20,3,79,13342,20507,22,510,574,38.5964912280702,3.97443890274314,2.8796468168364,NA,NA,NA,NA,NA,NA,NA,NA
-19,4,109,13877,21033,30,535,526,37.9746835443038,4.00989356918003,2.56497781245428,NA,NA,NA,NA,NA,NA,NA,NA
-18,5,128,14358,21870,19,481,837,17.4311926605505,3.46616703898537,3.97946084724005,NA,NA,NA,NA,NA,NA,NA,NA
-17,6,166,14759,22503,38,401,633,29.6875,2.79286808747736,2.89437585733882,NA,NA,NA,NA,NA,NA,NA,NA
-16,7,232,15097,23146,66,338,643,39.7590361445783,2.29012805745647,2.85739679153891,NA,NA,NA,NA,NA,NA,NA,NA
-15,8,307,15524,23732,75,427,586,32.3275862068966,2.82837649864211,2.53175494685907,NA,NA,NA,NA,NA,NA,NA,NA
-14,9,414,15992,24126,107,468,394,34.8534201954397,3.01468693635661,1.66020562952975,NA,NA,NA,NA,NA,NA,NA,NA
-13,10,491,16432,24627,77,440,501,18.5990338164251,2.75137568784392,2.07659786122855,NA,NA,NA,NA,NA,NA,NA,NA
-12,11,569,16955,25127,78,523,500,15.8859470468432,3.18281402142162,2.03029195598327,NA,NA,NA,NA,NA,NA,NA,NA
-11,12,681,17410,25473,112,455,346,19.6836555360281,2.68357416691242,1.37700481553707,NA,NA,NA,NA,NA,NA,NA,NA
-10,13,738,17762,26053,57,352,580,8.37004405286344,2.02182653647329,2.27692066109214,NA,NA,NA,NA,NA,NA,NA,NA
-9,14,799,18092,26655,61,330,602,8.26558265582656,1.85789888526067,2.31067439450351,NA,NA,NA,NA,NA,NA,NA,NA
-8,15,866,18389,27280,67,297,625,8.3854818523154,1.64160955118284,2.34477583942975,NA,NA,NA,NA,NA,NA,NA,NA
-7,16,925,18811,27778,59,422,498,6.81293302540416,2.29485018217413,1.82551319648094,NA,NA,NA,NA,NA,NA,NA,NA
-6,17,960,19200,28255,35,389,477,3.78378378378378,2.06793897187816,1.7171862625099,NA,NA,NA,NA,NA,NA,NA,NA
-5,18,982,19589,28705,22,389,450,2.29166666666667,2.02604166666667,1.59263847106707,NA,NA,NA,NA,NA,NA,NA,NA
