"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-62,NA,NA,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,NA,124,NA,NA,20,NA,NA,19.2307692307692,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,NA,157,NA,NA,33,NA,NA,26.6129032258064,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,11,198,NA,NA,41,NA,NA,26.1146496815287,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,17,248,NA,6,50,NA,54.5454545454545,25.2525252525253,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,24,302,NA,7,54,NA,41.1764705882353,21.7741935483871,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,33,394,NA,9,92,NA,37.5,30.4635761589404,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,48,439,NA,15,45,NA,45.4545454545455,11.4213197969543,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,66,480,NA,18,41,NA,37.5,9.33940774487472,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,83,591,NA,17,111,NA,25.7575757575758,23.125,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,125,680,NA,42,89,NA,50.6024096385542,15.0592216582064,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,150,770,NA,25,90,NA,20,13.2352941176471,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,185,831,NA,35,61,NA,23.3333333333333,7.92207792207792,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,228,917,NA,43,86,NA,23.2432432432432,10.3489771359807,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,285,955,NA,57,38,NA,25,4.14394765539804,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,343,1008,NA,58,53,NA,20.3508771929825,5.54973821989529,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,435,1149,NA,92,141,NA,26.8221574344023,13.9880952380952,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,545,1346,NA,110,197,NA,25.2873563218391,17.1453437771976,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,678,1693,NA,133,347,NA,24.4036697247706,25.7800891530461,NA,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,750,1693,NA,72,0,NA,10.6194690265487,0,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,921,1840,NA,171,147,NA,22.8,8.6828115770821,NA,NA,NA,NA,NA,NA,NA,NA
-41,NA,NA,1117,1963,NA,196,123,NA,21.2812160694897,6.68478260869565,NA,NA,NA,NA,NA,NA,NA,NA
-40,NA,NA,1305,2048,NA,188,85,NA,16.8307967770815,4.3301069791136,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,1563,2210,NA,258,162,NA,19.7701149425287,7.91015625,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,1829,2291,NA,266,81,NA,17.0185540626999,3.66515837104072,NA,NA,NA,NA,NA,NA,NA,NA
-37,NA,NA,2068,2429,NA,239,138,NA,13.0672498633133,6.02357049323439,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,2328,2522,NA,260,93,NA,12.5725338491296,3.82873610539317,NA,NA,NA,NA,NA,NA,NA,NA
-35,NA,NA,2639,2707,NA,311,185,NA,13.3591065292096,7.33544805709754,NA,NA,NA,NA,NA,NA,NA,NA
-34,NA,NA,3032,2960,NA,393,253,NA,14.892004547177,9.34613963797562,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,3474,3050,NA,442,90,NA,14.5778364116095,3.04054054054054,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,3959,3192,NA,485,142,NA,13.9608520437536,4.65573770491803,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,4370,3373,NA,411,181,NA,10.38140944683,5.67042606516291,NA,NA,NA,NA,NA,NA,NA,NA
-30,NA,NA,4724,3481,NA,354,108,NA,8.10068649885584,3.20189742069374,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,5112,3779,NA,388,298,NA,8.21337849280271,8.56075840275783,NA,NA,NA,NA,NA,NA,NA,NA
-28,NA,NA,5497,3905,NA,385,126,NA,7.53129890453834,3.33421540089971,NA,NA,NA,NA,NA,NA,NA,NA
-27,NA,NA,5955,4074,NA,458,169,NA,8.33181735492087,4.32778489116517,NA,NA,NA,NA,NA,NA,NA,NA
-26,NA,NA,6392,4146,NA,437,72,NA,7.33837111670865,1.76730486008837,NA,NA,NA,NA,NA,NA,NA,NA
-25,NA,NA,6833,4375,NA,441,229,NA,6.89924906132666,5.52339604438013,NA,NA,NA,NA,NA,NA,NA,NA
-24,NA,NA,7218,4539,NA,385,164,NA,5.63442119127762,3.74857142857143,NA,NA,NA,NA,NA,NA,NA,NA
-23,0,9,7518,4708,NA,300,169,NA,4.15627597672485,3.72328706763604,NA,NA,NA,NA,NA,NA,NA,NA
-22,1,18,7817,4879,9,299,171,100,3.97712157488694,3.6321155480034,NA,NA,NA,NA,NA,NA,NA,NA
-21,2,38,8171,4879,20,354,0,111.111111111111,4.52859153127798,0,NA,NA,NA,NA,NA,NA,NA,NA
-20,3,52,8516,5130,14,345,251,36.8421052631579,4.2222494186758,5.14449682311949,NA,NA,NA,NA,NA,NA,NA,NA
-19,4,73,8854,5245,21,338,115,40.3846153846154,3.96899953029591,2.24171539961014,NA,NA,NA,NA,NA,NA,NA,NA
-18,5,85,9209,5822,12,355,577,16.4383561643836,4.00948723740682,11.0009532888465,NA,NA,NA,NA,NA,NA,NA,NA
-17,6,110,9528,5934,25,319,112,29.4117647058824,3.46400260614616,1.92373754723463,NA,NA,NA,NA,NA,NA,NA,NA
-16,7,154,9794,6129,44,266,195,40,2.79177162048699,3.28614762386249,NA,NA,NA,NA,NA,NA,NA,NA
-15,8,204,10019,6288,50,225,159,32.4675324675325,2.2973248927915,2.59422418012726,NA,NA,NA,NA,NA,NA,NA,NA
-14,9,274,10302,6440,70,283,152,34.3137254901961,2.82463319692584,2.41730279898219,NA,NA,NA,NA,NA,NA,NA,NA
-13,10,326,10613,6440,52,311,0,18.978102189781,3.0188312948942,0,NA,NA,NA,NA,NA,NA,NA,NA
-12,11,378,10905,6677,52,292,237,15.9509202453988,2.75134269292377,3.68012422360248,NA,NA,NA,NA,NA,NA,NA,NA
-11,12,452,11252,6853,74,347,176,19.5767195767196,3.18202659330582,2.63591433278418,NA,NA,NA,NA,NA,NA,NA,NA
