"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-96,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-95,NA,NA,26,118,NA,8,NA,NA,44.4444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA
-94,NA,NA,37,156,NA,11,38,NA,42.3076923076923,32.2033898305085,NA,NA,NA,NA,NA,NA,NA,NA
-93,NA,NA,52,229,NA,15,73,NA,40.5405405405405,46.7948717948718,NA,NA,NA,NA,NA,NA,NA,NA
-92,NA,NA,75,314,NA,23,85,NA,44.2307692307692,37.117903930131,NA,NA,NA,NA,NA,NA,NA,NA
-91,NA,NA,101,426,NA,26,112,NA,34.6666666666667,35.6687898089172,NA,NA,NA,NA,NA,NA,NA,NA
-90,NA,NA,129,547,NA,28,121,NA,27.7227722772277,28.4037558685446,NA,NA,NA,NA,NA,NA,NA,NA
-89,NA,NA,193,678,NA,64,131,NA,49.6124031007752,23.9488117001828,NA,NA,NA,NA,NA,NA,NA,NA
-88,NA,NA,232,1060,NA,39,382,NA,20.2072538860104,56.3421828908555,NA,NA,NA,NA,NA,NA,NA,NA
-87,NA,NA,285,1739,NA,53,679,NA,22.8448275862069,64.0566037735849,NA,NA,NA,NA,NA,NA,NA,NA
-86,NA,NA,352,2318,NA,67,579,NA,23.5087719298246,33.2949971247844,NA,NA,NA,NA,NA,NA,NA,NA
-85,NA,NA,440,3151,NA,88,833,NA,25,35.9361518550475,NA,NA,NA,NA,NA,NA,NA,NA
-84,NA,NA,528,4158,NA,88,1007,NA,20,31.9581085369724,NA,NA,NA,NA,NA,NA,NA,NA
-83,NA,NA,671,4856,NA,143,698,NA,27.0833333333333,16.7869167869168,NA,NA,NA,NA,NA,NA,NA,NA
-82,NA,NA,841,5653,NA,170,797,NA,25.3353204172876,16.4126853377265,NA,NA,NA,NA,NA,NA,NA,NA
-81,NA,NA,1046,6521,NA,205,868,NA,24.3757431629013,15.3546789315408,NA,NA,NA,NA,NA,NA,NA,NA
-80,NA,NA,1157,7639,NA,111,1118,NA,10.6118546845124,17.1446097224352,NA,NA,NA,NA,NA,NA,NA,NA
-79,NA,NA,1421,8867,NA,264,1228,NA,22.8176318063959,16.0754025395994,NA,NA,NA,NA,NA,NA,NA,NA
-78,NA,NA,1723,10303,NA,302,1436,NA,21.2526389866291,16.1948798917334,NA,NA,NA,NA,NA,NA,NA,NA
-77,NA,NA,2013,11637,NA,290,1334,NA,16.8311085316309,12.9476851402504,NA,NA,NA,NA,NA,NA,NA,NA
-76,NA,NA,2412,12402,NA,399,765,NA,19.8211624441133,6.5738592420727,NA,NA,NA,NA,NA,NA,NA,NA
-75,NA,NA,2821,13739,NA,409,1337,NA,16.9568822553897,10.7805192710853,NA,NA,NA,NA,NA,NA,NA,NA
-74,NA,NA,3190,15104,NA,369,1365,NA,13.0804679191776,9.93522090399592,NA,NA,NA,NA,NA,NA,NA,NA
-73,NA,NA,3592,16692,NA,402,1588,NA,12.6018808777429,10.5137711864407,NA,NA,NA,NA,NA,NA,NA,NA
-72,NA,NA,4071,18843,NA,479,2151,NA,13.3351893095768,12.8864126527678,NA,NA,NA,NA,NA,NA,NA,NA
-71,NA,NA,4678,20878,NA,607,2035,NA,14.9103414394498,10.7997664915353,NA,NA,NA,NA,NA,NA,NA,NA
-70,NA,NA,5360,22766,NA,682,1888,NA,14.5788798631894,9.04301178273781,NA,NA,NA,NA,NA,NA,NA,NA
-69,NA,NA,6108,25381,NA,748,2615,NA,13.955223880597,11.4864271281736,NA,NA,NA,NA,NA,NA,NA,NA
-68,NA,NA,6742,26794,NA,634,1413,NA,10.3798297314997,5.56715653441551,NA,NA,NA,NA,NA,NA,NA,NA
-67,NA,NA,7288,28109,NA,546,1315,NA,8.09848709581727,4.90781518250355,NA,NA,NA,NA,NA,NA,NA,NA
-66,NA,NA,7886,29970,NA,598,1861,NA,8.205268935236,6.62065530612971,NA,NA,NA,NA,NA,NA,NA,NA
-65,NA,NA,8480,32492,NA,594,2522,NA,7.53233578493533,8.41508174841508,NA,NA,NA,NA,NA,NA,NA,NA
-64,NA,NA,9187,35125,NA,707,2633,NA,8.3372641509434,8.10353317739751,NA,NA,NA,NA,NA,NA,NA,NA
-63,NA,NA,9861,37527,NA,674,2402,NA,7.33645368455426,6.83843416370107,NA,NA,NA,NA,NA,NA,NA,NA
-62,NA,NA,10542,39820,NA,681,2293,NA,6.90599330696684,6.11026727422922,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,11136,41416,NA,594,1596,NA,5.63460443938532,4.00803616273229,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,11598,43168,NA,462,1752,NA,4.14870689655172,4.23024917906123,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,12060,44913,NA,462,1745,NA,3.98344542162442,4.0423461823573,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,12605,47992,NA,545,3079,NA,4.51907131011609,6.8554761427649,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,13137,50969,NA,532,2977,NA,4.22054740182467,6.2031171861977,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,13660,53348,NA,523,2379,NA,3.98112202177057,4.66754301634327,NA,NA,NA,NA,NA,NA,NA,NA
-55,0,14,14208,54938,NA,548,1590,NA,4.01171303074671,2.98043038164505,NA,NA,NA,NA,NA,NA,NA,NA
-54,1,27,14700,56462,13,492,1524,92.8571428571429,3.46283783783784,2.77403618624631,NA,NA,NA,NA,NA,NA,NA,NA
-53,2,58,15110,58302,31,410,1840,114.814814814815,2.7891156462585,3.25882894690234,NA,NA,NA,NA,NA,NA,NA,NA
-52,3,81,15456,60265,23,346,1963,39.6551724137931,2.28987425545996,3.3669513910329,NA,NA,NA,NA,NA,NA,NA,NA
-51,4,112,15894,62205,31,438,1940,38.2716049382716,2.83385093167702,3.21911557288642,NA,NA,NA,NA,NA,NA,NA,NA
-50,5,131,16373,64311,19,479,2106,16.9642857142857,3.013715867623,3.38557993730408,NA,NA,NA,NA,NA,NA,NA,NA
-49,6,170,16823,66263,39,450,1952,29.7709923664122,2.74842728882917,3.03525057921662,NA,NA,NA,NA,NA,NA,NA,NA
-48,7,237,17359,68087,67,536,1824,39.4117647058824,3.18611424835047,2.75266740111374,NA,NA,NA,NA,NA,NA,NA,NA
-47,8,314,17825,69087,77,466,1000,32.4894514767932,2.68448643355032,1.46870915152672,NA,NA,NA,NA,NA,NA,NA,NA
