"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-57,NA,NA,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,NA,149,NA,NA,42,NA,NA,39.2523364485981,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,NA,190,NA,NA,41,NA,NA,27.5167785234899,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,NA,244,NA,NA,54,NA,NA,28.4210526315789,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,NA,288,NA,NA,44,NA,NA,18.0327868852459,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,NA,349,NA,NA,61,NA,NA,21.1805555555556,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,NA,423,NA,NA,74,NA,NA,21.2034383954155,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,NA,580,NA,NA,157,NA,NA,37.1158392434988,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,NA,774,NA,NA,194,NA,NA,33.448275862069,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,NA,992,NA,NA,218,NA,NA,28.1653746770026,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,NA,1239,NA,NA,247,NA,NA,24.8991935483871,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,15,1413,NA,NA,174,NA,NA,14.043583535109,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,23,1660,NA,8,247,NA,53.3333333333333,17.4805378627035,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,32,1985,NA,9,325,NA,39.1304347826087,19.578313253012,NA,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,45,2331,NA,13,346,NA,40.625,17.4307304785894,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,65,2758,NA,20,427,NA,44.4444444444444,18.3183183183183,NA,NA,NA,NA,NA,NA,NA,NA
-41,NA,NA,89,3125,NA,24,367,NA,36.9230769230769,13.3067440174039,NA,NA,NA,NA,NA,NA,NA,NA
-40,NA,NA,113,3609,NA,24,484,NA,26.9662921348315,15.488,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,169,4045,NA,56,436,NA,49.5575221238938,12.0809088390136,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,204,4371,NA,35,326,NA,20.7100591715976,8.05933250927071,NA,NA,NA,NA,NA,NA,NA,NA
-37,NA,NA,250,5529,NA,46,1158,NA,22.5490196078431,26.4927934111187,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,309,6185,NA,59,656,NA,23.6,11.864713329716,NA,NA,NA,NA,NA,NA,NA,NA
-35,NA,NA,386,6968,NA,77,783,NA,24.9190938511327,12.6596604688763,NA,NA,NA,NA,NA,NA,NA,NA
-34,NA,NA,464,7694,NA,78,726,NA,20.2072538860104,10.4190585533869,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,588,8225,NA,124,531,NA,26.7241379310345,6.90148167403171,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,737,8936,NA,149,711,NA,25.3401360544218,8.64437689969605,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,917,9472,NA,180,536,NA,24.4233378561737,5.99820948970457,NA,NA,NA,NA,NA,NA,NA,NA
-30,NA,NA,1015,10032,NA,98,560,NA,10.6870229007634,5.91216216216216,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,1246,10784,NA,231,752,NA,22.7586206896552,7.49601275917065,NA,NA,NA,NA,NA,NA,NA,NA
-28,NA,NA,1511,11572,NA,265,788,NA,21.2680577849117,7.30712166172107,NA,NA,NA,NA,NA,NA,NA,NA
-27,NA,NA,1766,12308,NA,255,736,NA,16.8762409000662,6.36017974421016,NA,NA,NA,NA,NA,NA,NA,NA
-26,NA,NA,2116,12830,NA,350,522,NA,19.8187995469989,4.24114397140071,NA,NA,NA,NA,NA,NA,NA,NA
-25,NA,NA,2474,13684,NA,358,854,NA,16.9187145557656,6.65627435697584,NA,NA,NA,NA,NA,NA,NA,NA
-24,NA,NA,2798,14193,NA,324,509,NA,13.0962004850445,3.71967261034785,NA,NA,NA,NA,NA,NA,NA,NA
-23,NA,NA,3150,14775,NA,352,582,NA,12.5804145818442,4.1006129782287,NA,NA,NA,NA,NA,NA,NA,NA
-22,NA,NA,3571,15737,NA,421,962,NA,13.3650793650794,6.51099830795262,NA,NA,NA,NA,NA,NA,NA,NA
-21,0,12,4103,16616,NA,532,879,NA,14.8977877345281,5.58556268666201,NA,NA,NA,NA,NA,NA,NA,NA
-20,1,24,4702,17766,12,599,1150,100,14.5990738484036,6.92103996148291,NA,NA,NA,NA,NA,NA,NA,NA
-19,2,51,5357,18581,27,655,815,112.5,13.9302424500213,4.58741416188225,NA,NA,NA,NA,NA,NA,NA,NA
-18,3,71,5913,19487,20,556,906,39.2156862745098,10.3789434384917,4.87594854959367,NA,NA,NA,NA,NA,NA,NA,NA
-17,4,98,6392,20113,27,479,626,38.0281690140845,8.10079485878573,3.21239800892903,NA,NA,NA,NA,NA,NA,NA,NA
-16,5,115,6917,20849,17,525,736,17.3469387755102,8.21339173967459,3.6593248147964,NA,NA,NA,NA,NA,NA,NA,NA
-15,6,149,7438,21742,34,521,893,29.5652173913043,7.53216712447593,4.28317904935489,NA,NA,NA,NA,NA,NA,NA,NA
-14,7,208,8058,23472,59,620,1730,39.5973154362416,8.33557407905351,7.95694968264189,NA,NA,NA,NA,NA,NA,NA,NA
-13,8,276,8649,24473,68,591,1001,32.6923076923077,7.3343261355175,4.26465576005453,NA,NA,NA,NA,NA,NA,NA,NA
-12,9,371,9246,25462,95,597,989,34.4202898550725,6.90253208463406,4.04118824827361,NA,NA,NA,NA,NA,NA,NA,NA
-11,10,441,9768,26408,70,522,946,18.8679245283019,5.64568462037638,3.71534050742283,NA,NA,NA,NA,NA,NA,NA,NA
-10,11,511,10173,27117,70,405,709,15.8730158730159,4.14619164619165,2.68479248712511,NA,NA,NA,NA,NA,NA,NA,NA
-9,12,612,10578,28163,101,405,1046,19.7651663405088,3.98112651135358,3.85735885238043,NA,NA,NA,NA,NA,NA,NA,NA
-8,13,663,11056,29374,51,478,1211,8.33333333333333,4.51881262998676,4.29996804317722,NA,NA,NA,NA,NA,NA,NA,NA
-7,14,718,11523,30485,55,467,1111,8.29562594268477,4.2239507959479,3.78225641723974,NA,NA,NA,NA,NA,NA,NA,NA
-6,15,777,11982,31534,59,459,1049,8.21727019498607,3.98333767248113,3.44103657536493,NA,NA,NA,NA,NA,NA,NA,NA
-5,16,830,12462,32587,53,480,1053,6.82110682110682,4.00600901352028,3.33925286991818,NA,NA,NA,NA,NA,NA,NA,NA
-4,17,862,12894,33373,32,432,786,3.85542168674699,3.46653827636014,2.41200478718507,NA,NA,NA,NA,NA,NA,NA,NA
-3,18,882,13254,34061,20,360,688,2.32018561484919,2.7919962773383,2.06154675935637,NA,NA,NA,NA,NA,NA,NA,NA
-2,19,886,13557,34812,4,303,751,0.453514739229025,2.28610230873699,2.20486773729485,NA,NA,NA,NA,NA,NA,NA,NA
-1,20,914,13941,35903,28,384,1091,3.16027088036117,2.83248506306705,3.13397678961278,NA,NA,NA,NA,NA,NA,NA,NA
0,21,928,14361,36986,14,420,1083,1.53172866520788,3.0126963632451,3.01646101997048,NA,NA,36986,36986,1083,1083,NA,NA
1,22,941,14756,NA,13,395,NA,1.40086206896552,2.75050483949586,NA,1.40086206896552,2.75050483949586,37504.1228448276,38003.3017199359,518.122844827587,1017.30171993594,1.40086206896552,2.75050483949586
2,23,954,15226,NA,13,470,NA,1.38150903294368,3.18514502575224,NA,1.38150903294368,3.18514502575224,38022.2456896552,39213.7619942901,518.122844827587,1210.46027435415,1.38150903294368,3.18514502575224
3,24,962,15635,NA,8,409,NA,0.838574423480084,2.68619466701694,NA,0.838574423480084,2.68619466701694,38341.0905172414,40267.1199777174,318.844827586203,1053.35798342733,0.838574423480073,2.68619466701693
4,25,971,15950,NA,9,315,NA,0.935550935550936,2.01471058522546,NA,0.935550935550936,2.01471058522546,38699.7909482759,41078.3859062739,358.700431034478,811.26592855651,0.935550935550924,2.01471058522546
5,26,981,16247,NA,10,297,NA,1.02986611740474,1.86206896551724,NA,1.02986611740474,1.86206896551724,39098.3469827586,41843.2937817701,398.556034482761,764.907875496137,1.02986611740474,1.86206896551725
6,27,992,16514,NA,11,267,NA,1.12130479102956,1.6433803163661,NA,1.12130479102956,1.6433803163661,39536.7586206897,42530.9382354989,438.411637931036,687.644453728855,1.12130479102957,1.64338031636611
7,28,1010,16893,NA,18,379,NA,1.81451612903226,2.29502240523192,NA,1.81451612903226,2.29502240523192,40254.1594827586,43507.032797159,717.400862068964,976.094561660051,1.81451612903225,2.29502240523192
8,29,1020,17242,NA,10,349,NA,0.99009900990099,2.0659444740425,NA,0.99009900990099,2.0659444740425,40652.7155172414,44405.8639370517,398.556034482761,898.831139892769,0.990099009900996,2.06594447404251
9,30,1038,17591,NA,18,349,NA,1.76470588235294,2.02412713142327,NA,1.76470588235294,2.02412713142327,41370.1163793103,45304.6950769445,717.400862068964,898.831139892762,1.76470588235294,2.02412713142326
10,31,1049,17896,NA,11,305,NA,1.0597302504817,1.73384116877949,NA,1.0597302504817,1.73384116877949,41808.5280172414,46090.2065315786,438.411637931036,785.511454634077,1.0597302504817,1.73384116877949
