"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-70,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-69,NA,NA,38,NA,NA,12,NA,NA,46.1538461538462,NA,NA,NA,NA,NA,NA,NA,NA,NA
-68,NA,NA,53,NA,NA,15,NA,NA,39.4736842105263,NA,NA,NA,NA,NA,NA,NA,NA,NA
-67,NA,NA,75,128,NA,22,NA,NA,41.5094339622642,NA,NA,NA,NA,NA,NA,NA,NA,NA
-66,NA,NA,108,168,NA,33,40,NA,44,31.25,NA,NA,NA,NA,NA,NA,NA,NA
-65,NA,NA,147,254,NA,39,86,NA,36.1111111111111,51.1904761904762,NA,NA,NA,NA,NA,NA,NA,NA
-64,NA,NA,186,358,NA,39,104,NA,26.530612244898,40.9448818897638,NA,NA,NA,NA,NA,NA,NA,NA
-63,NA,NA,280,497,NA,94,139,NA,50.5376344086022,38.8268156424581,NA,NA,NA,NA,NA,NA,NA,NA
-62,NA,NA,336,702,NA,56,205,NA,20,41.2474849094567,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,413,945,NA,77,243,NA,22.9166666666667,34.6153846153846,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,510,1196,NA,97,251,NA,23.4866828087167,26.5608465608466,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,637,1480,NA,127,284,NA,24.9019607843137,23.7458193979933,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,766,1933,NA,129,453,NA,20.2511773940345,30.6081081081081,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,972,2393,NA,206,460,NA,26.8929503916449,23.7972064148991,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,1218,2913,NA,246,520,NA,25.3086419753086,21.7300459674049,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,1515,3392,NA,297,479,NA,24.384236453202,16.4435290078956,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,1676,4027,NA,161,635,NA,10.6270627062706,18.7205188679245,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,2058,4543,NA,382,516,NA,22.7923627684964,12.8135088154954,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,2496,5098,NA,438,555,NA,21.2827988338192,12.2165969623597,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,2917,5789,NA,421,691,NA,16.8669871794872,13.5543350333464,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,3495,6441,NA,578,652,NA,19.8148782996229,11.262739678701,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,4088,7060,NA,593,619,NA,16.967095851216,9.6103089582363,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,4622,7767,NA,534,707,NA,13.0626223091977,10.014164305949,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,5204,8659,NA,582,892,NA,12.5919515361315,11.4844856443929,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,5899,9287,NA,695,628,NA,13.3551114527287,7.252569580783,NA,NA,NA,NA,NA,NA,NA,NA
-45,0,20,6778,10010,NA,879,723,NA,14.9008306492626,7.78507591256595,NA,NA,NA,NA,NA,NA,NA,NA
-44,1,40,7767,10901,20,989,891,100,14.5913248745943,8.9010989010989,NA,NA,NA,NA,NA,NA,NA,NA
-43,2,84,8850,11875,44,1083,974,110,13.9436075704905,8.93496009540409,NA,NA,NA,NA,NA,NA,NA,NA
-42,3,117,9768,12888,33,918,1013,39.2857142857143,10.3728813559322,8.53052631578947,NA,NA,NA,NA,NA,NA,NA,NA
-41,4,162,10559,14117,45,791,1229,38.4615384615385,8.0978705978706,9.53600248292986,NA,NA,NA,NA,NA,NA,NA,NA
-40,5,190,11426,15252,28,867,1135,17.2839506172839,8.21100483000284,8.03995183112559,NA,NA,NA,NA,NA,NA,NA,NA
-39,6,246,12287,16395,56,861,1143,29.4736842105263,7.53544547523193,7.49409913453973,NA,NA,NA,NA,NA,NA,NA,NA
