"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-60,NA,NA,NA,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,16,183,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,23,356,NA,7,173,NA,43.75,94.5355191256831,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,33,502,NA,10,146,NA,43.4782608695652,41.0112359550562,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,46,669,NA,13,167,NA,39.3939393939394,33.2669322709163,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,66,838,NA,20,169,NA,43.4782608695652,25.2615844544096,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,90,838,NA,24,0,NA,36.3636363636364,0,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,115,1031,NA,25,193,NA,27.7777777777778,23.0310262529833,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,172,1327,NA,57,296,NA,49.5652173913044,28.7099903006789,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,207,1581,NA,35,254,NA,20.3488372093023,19.1409193669932,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,254,1834,NA,47,253,NA,22.7053140096618,16.0025300442758,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,314,2113,NA,60,279,NA,23.6220472440945,15.2126499454744,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,392,2291,NA,78,178,NA,24.8407643312102,8.42404164694747,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,471,2367,NA,79,76,NA,20.1530612244898,3.31732867743343,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,597,2722,NA,126,355,NA,26.7515923566879,14.9978876214618,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,749,3037,NA,152,315,NA,25.4606365159129,11.5723732549596,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,931,3327,NA,182,290,NA,24.2990654205607,9.54889693776753,NA,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,1030,3539,NA,99,212,NA,10.6337271750806,6.37210700330628,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,1265,3799,NA,235,260,NA,22.8155339805825,7.34670810963549,NA,NA,NA,NA,NA,NA,NA,NA
