"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-156,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-155,1,5,NA,NA,2,NA,NA,66.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-154,2,11,NA,NA,6,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-153,3,16,NA,NA,5,NA,NA,45.4545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-152,4,22,NA,NA,6,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-151,5,26,NA,NA,4,NA,NA,18.1818181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-150,6,33,NA,NA,7,NA,NA,26.9230769230769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-149,7,47,NA,NA,14,NA,NA,42.4242424242424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-148,8,62,NA,NA,15,NA,NA,31.9148936170213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-147,9,84,NA,NA,22,NA,NA,35.4838709677419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-146,10,99,NA,NA,15,NA,NA,17.8571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-145,11,115,NA,NA,16,NA,NA,16.1616161616162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-144,12,138,NA,NA,23,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-143,13,149,NA,NA,11,NA,NA,7.97101449275362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-142,14,161,NA,NA,12,NA,NA,8.05369127516778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-141,15,175,NA,NA,14,NA,NA,8.69565217391304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-140,16,187,NA,NA,12,NA,NA,6.85714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-139,17,194,NA,NA,7,NA,NA,3.74331550802139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-138,18,198,NA,NA,4,NA,NA,2.06185567010309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-137,19,199,NA,NA,1,NA,NA,0.505050505050505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-136,20,206,NA,NA,7,NA,NA,3.51758793969849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-135,21,209,NA,NA,3,NA,NA,1.45631067961165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-134,22,212,NA,NA,3,NA,NA,1.43540669856459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-133,23,214,NA,NA,2,NA,NA,0.943396226415094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-132,24,216,NA,NA,2,NA,NA,0.934579439252336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-131,25,218,NA,101,2,NA,NA,0.925925925925926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-130,26,221,NA,108,3,NA,7,1.37614678899083,NA,6.93069306930693,NA,NA,NA,NA,NA,NA,NA,NA
-129,27,223,NA,137,2,NA,29,0.904977375565611,NA,26.8518518518519,NA,NA,NA,NA,NA,NA,NA,NA
-128,28,227,NA,158,4,NA,21,1.79372197309417,NA,15.3284671532847,NA,NA,NA,NA,NA,NA,NA,NA
-127,29,229,NA,187,2,NA,29,0.881057268722467,NA,18.3544303797468,NA,NA,NA,NA,NA,NA,NA,NA
-126,30,233,NA,214,4,NA,27,1.74672489082969,NA,14.4385026737968,NA,NA,NA,NA,NA,NA,NA,NA
-125,31,236,NA,314,3,NA,100,1.28755364806867,NA,46.7289719626168,NA,NA,NA,NA,NA,NA,NA,NA
-124,32,238,NA,314,2,NA,0,0.847457627118644,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-123,33,240,NA,415,2,NA,101,0.840336134453782,NA,32.1656050955414,NA,NA,NA,NA,NA,NA,NA,NA
-122,34,242,NA,415,2,NA,0,0.833333333333333,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-121,35,245,NA,479,3,NA,64,1.2396694214876,NA,15.421686746988,NA,NA,NA,NA,NA,NA,NA,NA
-120,36,247,NA,540,2,NA,61,0.816326530612245,NA,12.7348643006263,NA,NA,NA,NA,NA,NA,NA,NA
-119,37,251,NA,621,4,NA,81,1.61943319838057,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
-118,38,254,NA,669,3,NA,48,1.19521912350598,NA,7.72946859903382,NA,NA,NA,NA,NA,NA,NA,NA
-117,39,256,NA,715,2,NA,46,0.78740157480315,NA,6.87593423019432,NA,NA,NA,NA,NA,NA,NA,NA
-116,40,260,NA,788,4,NA,73,1.5625,NA,10.2097902097902,NA,NA,NA,NA,NA,NA,NA,NA
-115,41,262,NA,788,2,NA,0,0.769230769230769,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
