"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-62,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,NA,124,NA,NA,15,NA,NA,13.7614678899083,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,NA,190,NA,NA,66,NA,NA,53.2258064516129,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,NA,245,NA,NA,55,NA,NA,28.9473684210526,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,NA,278,NA,NA,33,NA,NA,13.469387755102,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,8,321,NA,NA,43,NA,NA,15.4676258992806,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,12,420,NA,4,99,NA,50,30.8411214953271,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,16,535,NA,4,115,NA,33.3333333333333,27.3809523809524,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,23,621,NA,7,86,NA,43.75,16.0747663551402,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,33,738,NA,10,117,NA,43.4782608695652,18.8405797101449,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,45,1008,NA,12,270,NA,36.3636363636364,36.5853658536585,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,57,1113,NA,12,105,NA,26.6666666666667,10.4166666666667,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,86,1279,NA,29,166,NA,50.8771929824561,14.9146451033243,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,104,1458,NA,18,179,NA,20.9302325581395,13.9953088350274,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,127,1514,NA,23,56,NA,22.1153846153846,3.84087791495199,NA,NA,NA,NA,NA,NA,NA,NA
