"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-46,NA,NA,11,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,16,114,NA,5,0,NA,45.4545454545455,0,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,22,161,NA,6,47,NA,37.5,41.2280701754386,NA,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,32,191,NA,10,30,NA,45.4545454545455,18.6335403726708,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,46,209,NA,14,18,NA,43.75,9.42408376963351,NA,NA,NA,NA,NA,NA,NA,NA
-41,NA,NA,62,209,NA,16,0,NA,34.7826086956522,0,NA,NA,NA,NA,NA,NA,NA,NA
-40,NA,NA,79,327,NA,17,118,NA,27.4193548387097,56.4593301435407,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,118,414,NA,39,87,NA,49.3670886075949,26.605504587156,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,142,479,NA,24,65,NA,20.3389830508475,15.7004830917874,NA,NA,NA,NA,NA,NA,NA,NA
-37,NA,NA,175,548,NA,33,69,NA,23.2394366197183,14.4050104384134,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,215,606,NA,40,58,NA,22.8571428571429,10.5839416058394,NA,NA,NA,NA,NA,NA,NA,NA
-35,NA,NA,269,690,NA,54,84,NA,25.1162790697674,13.8613861386139,NA,NA,NA,NA,NA,NA,NA,NA
-34,NA,NA,323,736,NA,54,46,NA,20.0743494423792,6.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,410,826,NA,87,90,NA,26.9349845201238,12.2282608695652,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,514,899,NA,104,73,NA,25.3658536585366,8.83777239709443,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,640,999,NA,126,100,NA,24.5136186770428,11.1234705228031,NA,NA,NA,NA,NA,NA,NA,NA
-30,NA,NA,708,1068,NA,68,69,NA,10.625,6.90690690690691,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,869,1132,NA,161,64,NA,22.7401129943503,5.99250936329588,NA,NA,NA,NA,NA,NA,NA,NA
-28,NA,NA,1054,1181,NA,185,49,NA,21.2888377445339,4.32862190812721,NA,NA,NA,NA,NA,NA,NA,NA
-27,NA,NA,1232,1239,NA,178,58,NA,16.888045540797,4.91109229466554,NA,NA,NA,NA,NA,NA,NA,NA
-26,NA,NA,1476,1321,NA,244,82,NA,19.8051948051948,6.6182405165456,NA,NA,NA,NA,NA,NA,NA,NA
-25,NA,NA,1726,1321,NA,250,0,NA,16.9376693766938,0,NA,NA,NA,NA,NA,NA,NA,NA
-24,NA,NA,1952,1371,NA,226,50,NA,13.0938586326767,3.78501135503407,NA,NA,NA,NA,NA,NA,NA,NA
-23,NA,NA,2198,1527,NA,246,156,NA,12.6024590163934,11.3785557986871,NA,NA,NA,NA,NA,NA,NA,NA
-22,NA,NA,2491,1584,NA,293,57,NA,13.3303002729754,3.7328094302554,NA,NA,NA,NA,NA,NA,NA,NA
-21,0,9,2863,1633,NA,372,49,NA,14.9337615415496,3.09343434343434,NA,NA,NA,NA,NA,NA,NA,NA
-20,1,17,3280,1663,8,417,30,88.8888888888889,14.565141460007,1.83710961420698,NA,NA,NA,NA,NA,NA,NA,NA
-19,2,36,3738,1736,19,458,73,111.764705882353,13.9634146341463,4.38965724594107,NA,NA,NA,NA,NA,NA,NA,NA
-18,3,50,4125,1785,14,387,49,38.8888888888889,10.3531300160514,2.82258064516129,NA,NA,NA,NA,NA,NA,NA,NA
-17,4,69,4459,1844,19,334,59,38,8.0969696969697,3.30532212885154,NA,NA,NA,NA,NA,NA,NA,NA
-16,5,80,4826,1910,11,367,66,15.9420289855072,8.23054496523884,3.57917570498915,NA,NA,NA,NA,NA,NA,NA,NA
-15,6,104,5189,1956,24,363,46,30,7.52175714877746,2.40837696335078,NA,NA,NA,NA,NA,NA,NA,NA
-14,7,145,5622,2002,41,433,46,39.4230769230769,8.34457506263249,2.35173824130879,NA,NA,NA,NA,NA,NA,NA,NA
-13,8,192,6034,2059,47,412,57,32.4137931034483,7.32835289932408,2.84715284715285,NA,NA,NA,NA,NA,NA,NA,NA
-12,9,259,6451,2127,67,417,68,34.8958333333333,6.91083858137222,3.30257406508014,NA,NA,NA,NA,NA,NA,NA,NA
-11,10,307,6815,2177,48,364,50,18.5328185328185,5.64253604092389,2.35072872590503,NA,NA,NA,NA,NA,NA,NA,NA
-10,11,357,7097,2253,50,282,76,16.2866449511401,4.13793103448276,3.49104271933854,NA,NA,NA,NA,NA,NA,NA,NA
