"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-180,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-179,NA,NA,4,NA,NA,1,NA,NA,33.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
-178,NA,NA,6,NA,NA,2,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
-177,NA,NA,8,NA,NA,2,NA,NA,33.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
-176,NA,NA,11,NA,NA,3,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
-175,NA,NA,16,NA,NA,5,NA,NA,45.4545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA
-174,0,2,20,NA,NA,4,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
-173,1,4,30,NA,2,10,NA,100,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
-172,2,9,36,NA,5,6,NA,125,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
-171,3,12,44,NA,3,8,NA,33.3333333333333,22.2222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA
-170,4,17,54,NA,5,10,NA,41.6666666666667,22.7272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA
-169,5,20,68,NA,3,14,NA,17.6470588235294,25.9259259259259,NA,NA,NA,NA,NA,NA,NA,NA,NA
-168,6,26,81,NA,6,13,NA,30,19.1176470588235,NA,NA,NA,NA,NA,NA,NA,NA,NA
-167,7,36,103,NA,10,22,NA,38.4615384615385,27.1604938271605,NA,NA,NA,NA,NA,NA,NA,NA,NA
-166,8,48,129,NA,12,26,NA,33.3333333333333,25.2427184466019,NA,NA,NA,NA,NA,NA,NA,NA,NA
-165,9,65,161,NA,17,32,NA,35.4166666666667,24.8062015503876,NA,NA,NA,NA,NA,NA,NA,NA,NA
-164,10,77,178,NA,12,17,NA,18.4615384615385,10.5590062111801,NA,NA,NA,NA,NA,NA,NA,NA,NA
