"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-121,NA,NA,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-120,NA,NA,NA,195,NA,NA,43,NA,NA,28.2894736842105,NA,NA,NA,NA,NA,NA,NA,NA
-119,NA,NA,NA,298,NA,NA,103,NA,NA,52.8205128205128,NA,NA,NA,NA,NA,NA,NA,NA
-118,NA,NA,NA,298,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-117,NA,NA,NA,424,NA,NA,126,NA,NA,42.2818791946309,NA,NA,NA,NA,NA,NA,NA,NA
-116,NA,NA,NA,456,NA,NA,32,NA,NA,7.54716981132075,NA,NA,NA,NA,NA,NA,NA,NA
-115,NA,NA,NA,456,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-114,NA,NA,NA,539,NA,NA,83,NA,NA,18.2017543859649,NA,NA,NA,NA,NA,NA,NA,NA
-113,NA,NA,NA,774,NA,NA,235,NA,NA,43.5992578849722,NA,NA,NA,NA,NA,NA,NA,NA
-112,NA,NA,NA,925,NA,NA,151,NA,NA,19.5090439276486,NA,NA,NA,NA,NA,NA,NA,NA
-111,NA,NA,NA,1083,NA,NA,158,NA,NA,17.0810810810811,NA,NA,NA,NA,NA,NA,NA,NA
-110,NA,NA,NA,1293,NA,NA,210,NA,NA,19.3905817174515,NA,NA,NA,NA,NA,NA,NA,NA
-109,NA,NA,NA,1554,NA,NA,261,NA,NA,20.1856148491879,NA,NA,NA,NA,NA,NA,NA,NA
-108,NA,NA,NA,1554,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-107,NA,NA,NA,1917,NA,NA,363,NA,NA,23.3590733590734,NA,NA,NA,NA,NA,NA,NA,NA
-106,NA,NA,NA,2049,NA,NA,132,NA,NA,6.88575899843505,NA,NA,NA,NA,NA,NA,NA,NA
-105,NA,NA,NA,2049,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-104,NA,NA,NA,2417,NA,NA,368,NA,NA,17.9599804782821,NA,NA,NA,NA,NA,NA,NA,NA
-103,NA,NA,NA,2552,NA,NA,135,NA,NA,5.58543649151841,NA,NA,NA,NA,NA,NA,NA,NA
-102,NA,NA,NA,2792,NA,NA,240,NA,NA,9.40438871473354,NA,NA,NA,NA,NA,NA,NA,NA
-101,NA,NA,NA,3065,NA,NA,273,NA,NA,9.77793696275072,NA,NA,NA,NA,NA,NA,NA,NA
-100,NA,NA,NA,3207,NA,NA,142,NA,NA,4.63295269168026,NA,NA,NA,NA,NA,NA,NA,NA
-99,NA,NA,NA,3319,NA,NA,112,NA,NA,3.49236046149049,NA,NA,NA,NA,NA,NA,NA,NA
-98,NA,NA,NA,3319,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-97,NA,NA,NA,3553,NA,NA,234,NA,NA,7.0503163603495,NA,NA,NA,NA,NA,NA,NA,NA
-96,NA,NA,NA,3656,NA,NA,103,NA,NA,2.89895862651281,NA,NA,NA,NA,NA,NA,NA,NA
-95,NA,NA,NA,3656,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-94,NA,NA,NA,3931,NA,NA,275,NA,NA,7.5218818380744,NA,NA,NA,NA,NA,NA,NA,NA
-93,NA,NA,NA,4246,NA,NA,315,NA,NA,8.01322818621216,NA,NA,NA,NA,NA,NA,NA,NA
-92,NA,NA,NA,4377,NA,NA,131,NA,NA,3.08525671219972,NA,NA,NA,NA,NA,NA,NA,NA
-91,NA,NA,NA,4377,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-90,NA,NA,NA,4439,NA,NA,62,NA,NA,1.41649531642678,NA,NA,NA,NA,NA,NA,NA,NA
-89,NA,NA,NA,4761,NA,NA,322,NA,NA,7.25388601036269,NA,NA,NA,NA,NA,NA,NA,NA
-88,NA,NA,NA,4917,NA,NA,156,NA,NA,3.27662255828607,NA,NA,NA,NA,NA,NA,NA,NA
-87,NA,NA,NA,4917,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-86,NA,NA,NA,5253,NA,NA,336,NA,NA,6.83343502135448,NA,NA,NA,NA,NA,NA,NA,NA
-85,NA,NA,NA,5490,NA,NA,237,NA,NA,4.51170759565962,NA,NA,NA,NA,NA,NA,NA,NA
-84,NA,NA,NA,5490,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-83,NA,NA,NA,5613,NA,NA,123,NA,NA,2.24043715846995,NA,NA,NA,NA,NA,NA,NA,NA
-82,NA,NA,NA,5881,NA,NA,268,NA,NA,4.7746303224657,NA,NA,NA,NA,NA,NA,NA,NA
-81,NA,NA,NA,6095,NA,NA,214,NA,NA,3.63883693249447,NA,NA,NA,NA,NA,NA,NA,NA
-80,NA,NA,NA,6258,NA,NA,163,NA,NA,2.67432321575062,NA,NA,NA,NA,NA,NA,NA,NA
-79,NA,NA,NA,6489,NA,NA,231,NA,NA,3.69127516778524,NA,NA,NA,NA,NA,NA,NA,NA
-78,NA,NA,NA,6626,NA,NA,137,NA,NA,2.11126521806133,NA,NA,NA,NA,NA,NA,NA,NA
-77,NA,NA,NA,6626,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-76,NA,NA,NA,6757,NA,NA,131,NA,NA,1.97706006640507,NA,NA,NA,NA,NA,NA,NA,NA
-75,NA,NA,NA,6936,NA,NA,179,NA,NA,2.64910463223324,NA,NA,NA,NA,NA,NA,NA,NA
-74,NA,NA,NA,6936,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-73,NA,NA,NA,7142,NA,NA,206,NA,NA,2.97001153402537,NA,NA,NA,NA,NA,NA,NA,NA
-72,NA,NA,NA,7531,NA,NA,389,NA,NA,5.44665359843181,NA,NA,NA,NA,NA,NA,NA,NA
-71,NA,NA,NA,7653,NA,NA,122,NA,NA,1.61997078741203,NA,NA,NA,NA,NA,NA,NA,NA
-70,NA,NA,NA,7653,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-69,NA,NA,NA,7927,NA,NA,274,NA,NA,3.58029530902914,NA,NA,NA,NA,NA,NA,NA,NA
-68,NA,NA,NA,7927,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-67,NA,NA,NA,8189,NA,NA,262,NA,NA,3.30515958117825,NA,NA,NA,NA,NA,NA,NA,NA
-66,NA,NA,NA,8407,NA,NA,218,NA,NA,2.66210770545854,NA,NA,NA,NA,NA,NA,NA,NA
-65,NA,NA,NA,8407,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-64,NA,NA,NA,8816,NA,NA,409,NA,NA,4.86499345783276,NA,NA,NA,NA,NA,NA,NA,NA
-63,NA,NA,NA,8942,NA,NA,126,NA,NA,1.42921960072595,NA,NA,NA,NA,NA,NA,NA,NA
-62,NA,NA,NA,9056,NA,NA,114,NA,NA,1.27488257660479,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,NA,9056,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,NA,9175,NA,NA,119,NA,NA,1.31404593639576,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,NA,9638,NA,NA,463,NA,NA,5.04632152588556,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,NA,9895,NA,NA,257,NA,NA,2.66652832537871,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,NA,10096,NA,NA,201,NA,NA,2.03132895401718,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,NA,10178,NA,NA,82,NA,NA,0.812202852614897,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,NA,10416,NA,NA,238,NA,NA,2.33837689133425,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,NA,10623,NA,NA,207,NA,NA,1.98732718894009,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,NA,10788,NA,NA,165,NA,NA,1.55323354984468,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,NA,11131,NA,NA,343,NA,NA,3.17945865776789,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,NA,11394,NA,NA,263,NA,NA,2.36277064055341,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,NA,11861,NA,NA,467,NA,NA,4.09864841144462,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,13,12148,NA,NA,287,NA,NA,2.41969479807773,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,20,12415,NA,7,267,NA,53.8461538461538,2.19789265722753,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,27,12651,NA,7,236,NA,35,1.90092629883206,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,39,13005,NA,12,354,NA,44.4444444444444,2.7981977709272,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,56,13453,NA,17,448,NA,43.5897435897436,3.44482891195694,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,76,13916,NA,20,463,NA,35.7142857142857,3.44161153646027,NA,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,96,14286,NA,20,370,NA,26.3157894736842,2.65881000287439,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,144,14800,NA,48,514,NA,50,3.59792804143917,NA,NA,NA,NA,NA,NA,NA,NA
-41,NA,NA,173,15228,NA,29,428,NA,20.1388888888889,2.89189189189189,NA,NA,NA,NA,NA,NA,NA,NA
-40,NA,NA,213,15759,NA,40,531,NA,23.121387283237,3.48699763593381,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,263,16441,NA,50,682,NA,23.4741784037559,4.32768576686338,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,329,17170,NA,66,729,NA,25.0950570342205,4.43403685907183,NA,NA,NA,NA,NA,NA,NA,NA
-37,NA,NA,395,17955,NA,66,785,NA,20.0607902735562,4.5719277810134,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,501,18795,NA,106,840,NA,26.8354430379747,4.67836257309941,NA,NA,NA,NA,NA,NA,NA,NA
-35,NA,NA,628,19378,NA,127,583,NA,25.3493013972056,3.10188880021282,NA,NA,NA,NA,NA,NA,NA,NA
-34,NA,NA,781,19990,NA,153,612,NA,24.3630573248408,3.15822066260708,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,864,20556,NA,83,566,NA,10.6274007682458,2.83141570785393,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,1061,21548,NA,197,992,NA,22.8009259259259,4.82584160342479,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,1287,22631,NA,226,1083,NA,21.3006597549482,5.02598849081121,NA,NA,NA,NA,NA,NA,NA,NA
-30,NA,NA,1504,23786,NA,217,1155,NA,16.8609168609169,5.10361892978658,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,1802,24693,NA,298,907,NA,19.813829787234,3.81316740940049,NA,NA,NA,NA,NA,NA,NA,NA
-28,NA,NA,2107,25701,NA,305,1008,NA,16.9256381798002,4.08212853845219,NA,NA,NA,NA,NA,NA,NA,NA
-27,NA,NA,2383,26613,NA,276,912,NA,13.0991931656383,3.54850005836349,NA,NA,NA,NA,NA,NA,NA,NA
-26,NA,NA,2683,27897,NA,300,1284,NA,12.5891733109526,4.82470972832826,NA,NA,NA,NA,NA,NA,NA,NA
-25,NA,NA,3041,29022,NA,358,1125,NA,13.3432724562057,4.0326916872782,NA,NA,NA,NA,NA,NA,NA,NA
-24,NA,NA,3494,30335,NA,453,1313,NA,14.8964156527458,4.52415409000069,NA,NA,NA,NA,NA,NA,NA,NA
-23,NA,NA,4004,31939,NA,510,1604,NA,14.5964510589582,5.28762155925499,NA,NA,NA,NA,NA,NA,NA,NA
-22,NA,NA,4563,33320,NA,559,1381,NA,13.961038961039,4.32386737217821,NA,NA,NA,NA,NA,NA,NA,NA
-21,0,10,5036,34644,NA,473,1324,NA,10.3659872890642,3.97358943577431,NA,NA,NA,NA,NA,NA,NA,NA
-20,1,20,5444,36399,10,408,1755,100,8.10166799046863,5.06581226186353,NA,NA,NA,NA,NA,NA,NA,NA
-19,2,43,5891,37919,23,447,1520,115,8.21087435709038,4.17593889942031,NA,NA,NA,NA,NA,NA,NA,NA
-18,3,60,6334,39701,17,443,1782,39.5348837209302,7.51994567985062,4.69949102033281,NA,NA,NA,NA,NA,NA,NA,NA
-17,4,84,6863,41532,24,529,1831,40,8.35175244711083,4.6119745094582,NA,NA,NA,NA,NA,NA,NA,NA
-16,5,98,7366,43386,14,503,1854,16.6666666666667,7.32915634562145,4.46402773764808,NA,NA,NA,NA,NA,NA,NA,NA
-15,6,127,7875,44847,29,509,1461,29.5918367346939,6.91012761335868,3.36744571981745,NA,NA,NA,NA,NA,NA,NA,NA
-14,7,177,8319,46380,50,444,1533,39.3700787401575,5.63809523809524,3.41828884875243,NA,NA,NA,NA,NA,NA,NA,NA
-13,8,235,8664,47352,58,345,972,32.7683615819209,4.14713306887847,2.09573091849935,NA,NA,NA,NA,NA,NA,NA,NA
-12,9,316,9009,48909,81,345,1557,34.468085106383,3.9819944598338,3.28813988849468,NA,NA,NA,NA,NA,NA,NA,NA
-11,10,375,9416,50691,59,407,1782,18.6708860759494,4.51770451770452,3.64350119609888,NA,NA,NA,NA,NA,NA,NA,NA
-10,11,435,9814,52419,60,398,1728,16,4.2268479184367,3.40888915192046,NA,NA,NA,NA,NA,NA,NA,NA
-9,12,521,10204,54699,86,390,2280,19.7701149425287,3.97391481556959,4.34956790476736,NA,NA,NA,NA,NA,NA,NA,NA
-8,13,564,10613,56648,43,409,1949,8.25335892514395,4.00823206585653,3.56313643759484,NA,NA,NA,NA,NA,NA,NA,NA
-7,14,611,10981,58168,47,368,1520,8.33333333333333,3.46744558560256,2.68323683095608,NA,NA,NA,NA,NA,NA,NA,NA
-6,15,662,11287,60389,51,306,2221,8.34697217675941,2.78663145433021,3.81825058451382,NA,NA,NA,NA,NA,NA,NA,NA
-5,16,707,11546,62245,45,259,1856,6.797583081571,2.29467529015682,3.07340740863402,NA,NA,NA,NA,NA,NA,NA,NA
-4,17,735,11873,64083,28,327,1838,3.96039603960396,2.83214966222068,2.95284761828259,NA,NA,NA,NA,NA,NA,NA,NA
