"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-53,NA,NA,2,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,3,108,NA,1,7,NA,50,6.93069306930693,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,5,129,NA,2,21,NA,66.6666666666667,19.4444444444444,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,7,165,NA,2,36,NA,40,27.906976744186,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,10,187,NA,3,22,NA,42.8571428571429,13.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,13,212,NA,3,25,NA,30,13.3689839572193,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,17,240,NA,4,28,NA,30.7692307692308,13.2075471698113,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,25,288,NA,8,48,NA,47.0588235294118,20,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,30,320,NA,5,32,NA,20,11.1111111111111,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,37,393,NA,7,73,NA,23.3333333333333,22.8125,NA,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,45,447,NA,8,54,NA,21.6216216216216,13.7404580152672,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,56,536,NA,11,89,NA,24.4444444444444,19.910514541387,NA,NA,NA,NA,NA,NA,NA,NA
-41,NA,NA,68,626,NA,12,90,NA,21.4285714285714,16.7910447761194,NA,NA,NA,NA,NA,NA,NA,NA
-40,NA,NA,86,730,NA,18,104,NA,26.4705882352941,16.6134185303514,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,108,868,NA,22,138,NA,25.5813953488372,18.9041095890411,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,134,988,NA,26,120,NA,24.0740740740741,13.8248847926267,NA,NA,NA,NA,NA,NA,NA,NA
-37,NA,NA,148,1168,NA,14,180,NA,10.4477611940298,18.2186234817814,NA,NA,NA,NA,NA,NA,NA,NA
