"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-37,NA,NA,NA,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,18,228,NA,NA,74,NA,NA,48.0519480519481,NA,NA,NA,NA,NA,NA,NA,NA
-35,NA,NA,26,371,NA,8,143,NA,44.4444444444444,62.719298245614,NA,NA,NA,NA,NA,NA,NA,NA
-34,NA,NA,36,505,NA,10,134,NA,38.4615384615385,36.1185983827493,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,51,615,NA,15,110,NA,41.6666666666667,21.7821782178218,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,74,667,NA,23,52,NA,45.0980392156863,8.45528455284553,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,100,784,NA,26,117,NA,35.1351351351351,17.5412293853073,NA,NA,NA,NA,NA,NA,NA,NA
-30,NA,NA,127,957,NA,27,173,NA,27,22.0663265306122,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,191,1203,NA,64,246,NA,50.3937007874016,25.705329153605,NA,NA,NA,NA,NA,NA,NA,NA
-28,NA,NA,230,1373,NA,39,170,NA,20.4188481675393,14.1313383208645,NA,NA,NA,NA,NA,NA,NA,NA
-27,NA,NA,283,1537,NA,53,164,NA,23.0434782608696,11.9446467589221,NA,NA,NA,NA,NA,NA,NA,NA
-26,NA,NA,349,1834,NA,66,297,NA,23.321554770318,19.3233571893299,NA,NA,NA,NA,NA,NA,NA,NA
-25,NA,NA,436,2239,NA,87,405,NA,24.9283667621776,22.082878953108,NA,NA,NA,NA,NA,NA,NA,NA
-24,NA,NA,524,2683,NA,88,444,NA,20.1834862385321,19.8302813756141,NA,NA,NA,NA,NA,NA,NA,NA
