"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-69,NA,NA,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-68,NA,NA,NA,136,NA,NA,24,NA,NA,21.4285714285714,NA,NA,NA,NA,NA,NA,NA,NA
-67,NA,NA,NA,181,NA,NA,45,NA,NA,33.0882352941176,NA,NA,NA,NA,NA,NA,NA,NA
-66,NA,NA,NA,257,NA,NA,76,NA,NA,41.9889502762431,NA,NA,NA,NA,NA,NA,NA,NA
-65,NA,NA,NA,299,NA,NA,42,NA,NA,16.3424124513619,NA,NA,NA,NA,NA,NA,NA,NA
-64,NA,NA,NA,346,NA,NA,47,NA,NA,15.7190635451505,NA,NA,NA,NA,NA,NA,NA,NA
-63,NA,NA,NA,402,NA,NA,56,NA,NA,16.1849710982659,NA,NA,NA,NA,NA,NA,NA,NA
-62,NA,NA,NA,480,NA,NA,78,NA,NA,19.4029850746269,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,NA,602,NA,NA,122,NA,NA,25.4166666666667,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,NA,719,NA,NA,117,NA,NA,19.4352159468439,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,8,806,NA,NA,87,NA,NA,12.1001390820584,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,12,887,NA,4,81,NA,50,10.0496277915633,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,17,1012,NA,5,125,NA,41.6666666666667,14.0924464487035,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,24,1074,NA,7,62,NA,41.1764705882353,6.12648221343874,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,35,1246,NA,11,172,NA,45.8333333333333,16.0148975791434,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,47,1428,NA,12,182,NA,34.2857142857143,14.6067415730337,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,60,1605,NA,13,177,NA,27.6595744680851,12.3949579831933,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,90,1675,NA,30,70,NA,50,4.3613707165109,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,108,1738,NA,18,63,NA,20,3.76119402985075,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,133,1846,NA,25,108,NA,23.1481481481481,6.21403912543153,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,164,1976,NA,31,130,NA,23.3082706766917,7.04225352112676,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,205,2102,NA,41,126,NA,25,6.37651821862348,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,246,2206,NA,41,104,NA,20,4.9476688867745,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,312,2303,NA,66,97,NA,26.8292682926829,4.39709882139619,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,391,2363,NA,79,60,NA,25.3205128205128,2.60529743812419,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,486,2412,NA,95,49,NA,24.2966751918159,2.07363520947947,NA,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,538,2542,NA,52,130,NA,10.6995884773663,5.38971807628524,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,661,2683,NA,123,141,NA,22.8624535315985,5.54681353265146,NA,NA,NA,NA,NA,NA,NA,NA
-41,NA,NA,801,2805,NA,140,122,NA,21.1800302571861,4.54714871412598,NA,NA,NA,NA,NA,NA,NA,NA
-40,NA,NA,936,2931,NA,135,126,NA,16.8539325842697,4.49197860962567,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,1122,3069,NA,186,138,NA,19.8717948717949,4.70829068577277,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,1312,3213,NA,190,144,NA,16.9340463458111,4.69208211143695,NA,NA,NA,NA,NA,NA,NA,NA
