"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-107,NA,NA,NA,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-106,NA,NA,NA,174,NA,NA,72,NA,NA,70.5882352941177,NA,NA,NA,NA,NA,NA,NA,NA
-105,NA,NA,NA,258,NA,NA,84,NA,NA,48.2758620689655,NA,NA,NA,NA,NA,NA,NA,NA
-104,NA,NA,NA,351,NA,NA,93,NA,NA,36.046511627907,NA,NA,NA,NA,NA,NA,NA,NA
-103,NA,NA,NA,456,NA,NA,105,NA,NA,29.9145299145299,NA,NA,NA,NA,NA,NA,NA,NA
-102,NA,NA,NA,537,NA,NA,81,NA,NA,17.7631578947368,NA,NA,NA,NA,NA,NA,NA,NA
-101,NA,NA,NA,636,NA,NA,99,NA,NA,18.4357541899441,NA,NA,NA,NA,NA,NA,NA,NA
-100,NA,NA,NA,789,NA,NA,153,NA,NA,24.0566037735849,NA,NA,NA,NA,NA,NA,NA,NA
-99,NA,NA,NA,962,NA,NA,173,NA,NA,21.9264892268695,NA,NA,NA,NA,NA,NA,NA,NA
-98,NA,NA,NA,1178,NA,NA,216,NA,NA,22.4532224532225,NA,NA,NA,NA,NA,NA,NA,NA
-97,NA,NA,NA,1390,NA,NA,212,NA,NA,17.9966044142615,NA,NA,NA,NA,NA,NA,NA,NA
-96,NA,NA,NA,1646,NA,NA,256,NA,NA,18.4172661870504,NA,NA,NA,NA,NA,NA,NA,NA
-95,NA,NA,NA,1943,NA,NA,297,NA,NA,18.0437424058323,NA,NA,NA,NA,NA,NA,NA,NA
-94,NA,NA,NA,2208,NA,NA,265,NA,NA,13.6387030365414,NA,NA,NA,NA,NA,NA,NA,NA
-93,NA,NA,NA,2462,NA,NA,254,NA,NA,11.5036231884058,NA,NA,NA,NA,NA,NA,NA,NA
-92,NA,NA,NA,2830,NA,NA,368,NA,NA,14.9471974004874,NA,NA,NA,NA,NA,NA,NA,NA
-91,NA,NA,NA,3154,NA,NA,324,NA,NA,11.4487632508834,NA,NA,NA,NA,NA,NA,NA,NA
-90,NA,NA,NA,3532,NA,NA,378,NA,NA,11.9847812301839,NA,NA,NA,NA,NA,NA,NA,NA
-89,NA,NA,NA,3867,NA,NA,335,NA,NA,9.48471121177803,NA,NA,NA,NA,NA,NA,NA,NA
-88,NA,NA,NA,4270,NA,NA,403,NA,NA,10.4215153866046,NA,NA,NA,NA,NA,NA,NA,NA
