"","Korea","Italy","X"
"X1.22.20",1,0,2
"X1.23.20",1,0,2
"X1.24.20",2,0,2
"X1.25.20",2,0,2
"X1.26.20",3,0,2
"X1.27.20",4,0,2
"X1.28.20",4,0,2
"X1.29.20",4,0,3
"X1.30.20",4,0,3
"X1.31.20",11,2,3
"X2.1.20",12,2,4
"X2.2.20",15,2,6
"X2.3.20",15,2,7
"X2.4.20",16,2,8
"X2.5.20",19,2,8
"X2.6.20",23,2,11
"X2.7.20",24,3,12
"X2.8.20",24,3,13
"X2.9.20",25,3,13
"X2.10.20",27,3,16
"X2.11.20",28,3,17
"X2.12.20",28,3,18
"X2.13.20",28,3,18
"X2.14.20",28,3,21
"X2.15.20",28,3,28
"X2.16.20",29,3,35
"X2.17.20",30,3,50
"X2.18.20",31,3,59
"X2.19.20",31,3,69
"X2.20.20",104,3,82
"X2.21.20",204,20,93
"X2.22.20",433,62,106
"X2.23.20",602,155,122
"X2.24.20",833,229,148
"X2.25.20",977,322,179
"X2.26.20",1261,453,208
"X2.27.20",1766,655,235
"X2.28.20",2337,888,275
"X2.29.20",3150,1128,299
"X3.1.20",3736,1694,377
"X3.2.20",4335,2036,450
"X3.3.20",5186,2502,534
"X3.4.20",5621,3089,626
"X3.5.20",6088,3858,731
"X3.6.20",6593,4636,813
"X3.7.20",7041,5883,912
"X3.8.20",7314,7375,1065
"X3.9.20",7478,9172,1237
"X3.10.20",7513,10149,1453
"X3.11.20",7755,12462,1665
"X3.12.20",7869,15113,1921
"X3.13.20",7979,17660,2218
"X3.14.20",8086,21157,2484
"X3.15.20",8162,24747,2738
"X3.16.20",8236,27980,3107
"X3.17.20",8320,31506,3432
"X3.18.20",8413,35713,3810
"X3.19.20",8565,41035,4146
"X3.20.20",8652,47021,4551
"X3.21.20",8799,53578,4837
"X3.22.20",8897,59138,5121
"X3.23.20",8961,63927,5568
"X3.24.20",9037,69176,5923
"X3.25.20",9137,74386,6329
"X3.26.20",9241,80589,6700
"X3.27.20",9332,86498,7076
"X3.28.20",9478,92472,7397
"X3.29.20",9583,97689,7715
"X3.30.20",9661,101739,8120
"X3.31.20",9786,105792,8431
"X4.1.20",9887,110574,8869
"X4.2.20",9976,115242,9201
"X4.3.20",10062,119827,9485
"X4.4.20",10156,124632,9732
"X4.5.20",10237,128948,9953
"X4.6.20",10284,132547,10282
"X4.7.20",10331,135586,10547
"X4.8.20",10384,139422,10831
"X4.9.20",10423,143626,11118
"X4.10.20",10450,147577,11395
"X4.11.20",10480,152271,11605
