"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-59,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,NA,155,NA,NA,49,NA,NA,46.2264150943396,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,NA,206,NA,NA,51,NA,NA,32.9032258064516,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,NA,281,NA,NA,75,NA,NA,36.4077669902913,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,NA,385,NA,NA,104,NA,NA,37.0106761565836,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,NA,416,NA,NA,31,NA,NA,8.05194805194805,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,NA,457,NA,NA,41,NA,NA,9.85576923076923,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,NA,585,NA,NA,128,NA,NA,28.0087527352298,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,NA,707,NA,NA,122,NA,NA,20.8547008547009,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,NA,842,NA,NA,135,NA,NA,19.0947666195191,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,NA,989,NA,NA,147,NA,NA,17.458432304038,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,NA,1112,NA,NA,123,NA,NA,12.4368048533873,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,NA,1221,NA,NA,109,NA,NA,9.80215827338129,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,NA,1351,NA,NA,130,NA,NA,10.6470106470106,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,NA,1550,NA,NA,199,NA,NA,14.7298297557365,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,NA,1730,NA,NA,180,NA,NA,11.6129032258065,NA,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,NA,1912,NA,NA,182,NA,NA,10.5202312138728,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,NA,2112,NA,NA,200,NA,NA,10.4602510460251,NA,NA,NA,NA,NA,NA,NA,NA
-41,NA,NA,NA,2267,NA,NA,155,NA,NA,7.33901515151515,NA,NA,NA,NA,NA,NA,NA,NA
-40,NA,NA,NA,2440,NA,NA,173,NA,NA,7.63123070136745,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,NA,2578,NA,NA,138,NA,NA,5.65573770491803,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,15,2756,NA,NA,178,NA,NA,6.90457719162141,NA,NA,NA,NA,NA,NA,NA,NA
-37,NA,NA,22,2885,NA,7,129,NA,46.6666666666667,4.68069666182874,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,31,3068,NA,9,183,NA,40.9090909090909,6.34315424610052,NA,NA,NA,NA,NA,NA,NA,NA
-35,NA,NA,44,3213,NA,13,145,NA,41.9354838709677,4.72620599739244,NA,NA,NA,NA,NA,NA,NA,NA
-34,NA,NA,63,3341,NA,19,128,NA,43.1818181818182,3.98381574852163,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,86,3428,NA,23,87,NA,36.5079365079365,2.604010775217,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,109,3555,NA,23,127,NA,26.7441860465116,3.70478413068845,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,163,3721,NA,54,166,NA,49.5412844036697,4.66947960618847,NA,NA,NA,NA,NA,NA,NA,NA
-30,NA,NA,196,3875,NA,33,154,NA,20.2453987730061,4.1386723998925,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,241,4045,NA,45,170,NA,22.9591836734694,4.38709677419355,NA,NA,NA,NA,NA,NA,NA,NA
-28,NA,NA,297,4199,NA,56,154,NA,23.2365145228216,3.80716934487021,NA,NA,NA,NA,NA,NA,NA,NA
-27,NA,NA,372,4346,NA,75,147,NA,25.2525252525253,3.50083353179328,NA,NA,NA,NA,NA,NA,NA,NA
