"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-165,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-164,NA,NA,14,NA,NA,5,NA,NA,55.5555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA
-163,NA,NA,19,NA,NA,5,NA,NA,35.7142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA
-162,NA,NA,27,NA,NA,8,NA,NA,42.1052631578947,NA,NA,NA,NA,NA,NA,NA,NA,NA
-161,NA,NA,39,NA,NA,12,NA,NA,44.4444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA
-160,NA,NA,52,NA,NA,13,NA,NA,33.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
-159,NA,NA,67,NA,NA,15,NA,NA,28.8461538461538,NA,NA,NA,NA,NA,NA,NA,NA,NA
-158,NA,NA,100,NA,NA,33,NA,NA,49.2537313432836,NA,NA,NA,NA,NA,NA,NA,NA,NA
-157,NA,NA,120,NA,NA,20,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
-156,NA,NA,148,NA,NA,28,NA,NA,23.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
-155,NA,NA,182,NA,NA,34,NA,NA,22.972972972973,NA,NA,NA,NA,NA,NA,NA,NA,NA
-154,NA,NA,227,NA,NA,45,NA,NA,24.7252747252747,NA,NA,NA,NA,NA,NA,NA,NA,NA
-153,NA,NA,273,NA,NA,46,NA,NA,20.2643171806167,NA,NA,NA,NA,NA,NA,NA,NA,NA
-152,NA,NA,347,NA,NA,74,NA,NA,27.1062271062271,NA,NA,NA,NA,NA,NA,NA,NA,NA
-151,NA,NA,435,NA,NA,88,NA,NA,25.3602305475504,NA,NA,NA,NA,NA,NA,NA,NA,NA
-150,NA,NA,541,NA,NA,106,NA,NA,24.367816091954,NA,NA,NA,NA,NA,NA,NA,NA,NA
-149,NA,NA,598,NA,NA,57,NA,NA,10.5360443622921,NA,NA,NA,NA,NA,NA,NA,NA,NA
-148,NA,NA,735,NA,NA,137,NA,NA,22.9096989966555,NA,NA,NA,NA,NA,NA,NA,NA,NA
-147,NA,NA,891,194,NA,156,NA,NA,21.2244897959184,NA,NA,NA,NA,NA,NA,NA,NA,NA
-146,NA,NA,1041,194,NA,150,0,NA,16.8350168350168,0,NA,NA,NA,NA,NA,NA,NA,NA
-145,NA,NA,1248,223,NA,207,29,NA,19.8847262247839,14.9484536082474,NA,NA,NA,NA,NA,NA,NA,NA
-144,NA,NA,1459,415,NA,211,192,NA,16.9070512820513,86.0986547085202,NA,NA,NA,NA,NA,NA,NA,NA
-143,NA,NA,1650,618,NA,191,203,NA,13.0911583276217,48.9156626506024,NA,NA,NA,NA,NA,NA,NA,NA
-142,NA,NA,1858,875,NA,208,257,NA,12.6060606060606,41.5857605177994,NA,NA,NA,NA,NA,NA,NA,NA
-141,NA,NA,2106,1012,NA,248,137,NA,13.3476856835307,15.6571428571429,NA,NA,NA,NA,NA,NA,NA,NA
-140,NA,NA,2420,1291,NA,314,279,NA,14.9097815764482,27.5691699604743,NA,NA,NA,NA,NA,NA,NA,NA
-139,NA,NA,2773,1291,NA,353,0,NA,14.5867768595041,0,NA,NA,NA,NA,NA,NA,NA,NA
-138,NA,NA,3159,1993,NA,386,702,NA,13.9199423007573,54.3764523625097,NA,NA,NA,NA,NA,NA,NA,NA
-137,NA,NA,3487,2571,NA,328,578,NA,10.3830326052548,29.0015052684395,NA,NA,NA,NA,NA,NA,NA,NA
-136,NA,NA,3770,3128,NA,283,557,NA,8.11585890450244,21.6647218980941,NA,NA,NA,NA,NA,NA,NA,NA
-135,NA,NA,4079,3557,NA,309,429,NA,8.19628647214854,13.7148337595908,NA,NA,NA,NA,NA,NA,NA,NA
-134,NA,NA,4386,3824,NA,307,267,NA,7.52635449865163,7.50632555524318,NA,NA,NA,NA,NA,NA,NA,NA
-133,NA,NA,4752,4914,NA,366,1090,NA,8.34473324213406,28.5041841004184,NA,NA,NA,NA,NA,NA,NA,NA
-132,NA,NA,5101,5276,NA,349,362,NA,7.3442760942761,7.36670736670737,NA,NA,NA,NA,NA,NA,NA,NA
-131,NA,NA,5453,5675,NA,352,399,NA,6.90060772397569,7.56254738438211,NA,NA,NA,NA,NA,NA,NA,NA
-130,NA,NA,5760,6906,NA,307,1231,NA,5.62992847973593,21.6916299559471,NA,NA,NA,NA,NA,NA,NA,NA
-129,NA,NA,5999,7781,NA,239,875,NA,4.14930555555556,12.6701419055893,NA,NA,NA,NA,NA,NA,NA,NA
-128,NA,NA,6238,7781,NA,239,0,NA,3.98399733288881,0,NA,NA,NA,NA,NA,NA,NA,NA
-127,NA,NA,6520,9784,NA,282,2003,NA,4.52067970503366,25.7421925202416,NA,NA,NA,NA,NA,NA,NA,NA
-126,NA,NA,6796,10538,NA,276,754,NA,4.23312883435583,7.70645952575634,NA,NA,NA,NA,NA,NA,NA,NA
-125,NA,NA,7066,11510,NA,270,972,NA,3.97292525014715,9.2237616245967,NA,NA,NA,NA,NA,NA,NA,NA
-124,NA,NA,7349,12035,NA,283,525,NA,4.00509482026606,4.56125108601216,NA,NA,NA,NA,NA,NA,NA,NA
-123,NA,NA,7604,13381,NA,255,1346,NA,3.46985984487685,11.1840465309514,NA,NA,NA,NA,NA,NA,NA,NA
-122,NA,NA,7816,13989,NA,212,608,NA,2.78800631246712,4.54375607204245,NA,NA,NA,NA,NA,NA,NA,NA
-121,NA,NA,7995,14755,NA,179,766,NA,2.29017400204708,5.47573093144614,NA,NA,NA,NA,NA,NA,NA,NA
-120,NA,NA,8221,15884,NA,226,1129,NA,2.82676672920575,7.65164351067435,NA,NA,NA,NA,NA,NA,NA,NA
-119,NA,NA,8469,16809,NA,248,925,NA,3.01666463933828,5.82347015865021,NA,NA,NA,NA,NA,NA,NA,NA
-118,NA,NA,8702,16809,NA,233,0,NA,2.75121029637502,0,NA,NA,NA,NA,NA,NA,NA,NA
-117,NA,NA,8979,17550,NA,277,741,NA,3.18317628131464,4.40835266821346,NA,NA,NA,NA,NA,NA,NA,NA
-116,NA,NA,9220,19815,NA,241,2265,NA,2.68404053903553,12.9059829059829,NA,NA,NA,NA,NA,NA,NA,NA
-115,NA,NA,9406,20360,NA,186,545,NA,2.0173535791757,2.75044158465809,NA,NA,NA,NA,NA,NA,NA,NA
-114,NA,NA,9582,22469,NA,176,2109,NA,1.87114607697215,10.3585461689587,NA,NA,NA,NA,NA,NA,NA,NA
-113,NA,NA,9739,23100,NA,157,631,NA,1.63848883322897,2.80831367662112,NA,NA,NA,NA,NA,NA,NA,NA
-112,NA,NA,9962,23921,NA,223,821,NA,2.28976280932334,3.55411255411255,NA,NA,NA,NA,NA,NA,NA,NA
-111,NA,NA,10168,24582,NA,206,661,NA,2.0678578598675,2.76326240541783,NA,NA,NA,NA,NA,NA,NA,NA
-110,NA,NA,10374,25269,NA,206,687,NA,2.02596380802518,2.79472784964608,NA,NA,NA,NA,NA,NA,NA,NA
-109,NA,NA,10554,25269,NA,180,0,NA,1.73510699826489,0,NA,NA,NA,NA,NA,NA,NA,NA
-108,NA,NA,10687,26312,NA,133,1043,NA,1.26018571157855,4.12758716213542,NA,NA,NA,NA,NA,NA,NA,NA
-107,NA,NA,10847,26767,NA,160,455,NA,1.497146065313,1.72924901185771,NA,NA,NA,NA,NA,NA,NA,NA
-106,NA,NA,11046,27700,NA,199,933,NA,1.83460864755232,3.48563529719431,NA,NA,NA,NA,NA,NA,NA,NA
-105,NA,NA,11202,28764,NA,156,1064,NA,1.41227593699077,3.84115523465704,NA,NA,NA,NA,NA,NA,NA,NA
-104,NA,NA,11380,28764,NA,178,0,NA,1.58900196393501,0,NA,NA,NA,NA,NA,NA,NA,NA
-103,NA,NA,11519,29287,NA,139,523,NA,1.22144112478032,1.81824502850786,NA,NA,NA,NA,NA,NA,NA,NA
-102,NA,NA,11656,29287,NA,137,0,NA,1.18933935237434,0,NA,NA,NA,NA,NA,NA,NA,NA
-101,NA,NA,11759,30621,NA,103,1334,NA,0.883665065202471,4.55492197903507,NA,NA,NA,NA,NA,NA,NA,NA
-100,NA,NA,11882,30995,NA,123,374,NA,1.04600731354707,1.22138401750433,NA,NA,NA,NA,NA,NA,NA,NA
-99,NA,NA,12005,31784,NA,123,789,NA,1.03517926275038,2.54557186643007,NA,NA,NA,NA,NA,NA,NA,NA
-98,NA,NA,12116,32411,NA,111,627,NA,0.924614743856726,1.97269066196829,NA,NA,NA,NA,NA,NA,NA,NA
-97,NA,NA,12232,32984,NA,116,573,NA,0.957411687025421,1.76791829934282,NA,NA,NA,NA,NA,NA,NA,NA
-96,NA,NA,12344,33554,NA,112,570,NA,0.91563113145847,1.72811059907834,NA,NA,NA,NA,NA,NA,NA,NA
-95,NA,NA,12425,33765,NA,81,211,NA,0.656189241736876,0.628837098408535,NA,NA,NA,NA,NA,NA,NA,NA
-94,NA,NA,12497,34333,NA,72,568,NA,0.579476861167002,1.68221531171331,NA,NA,NA,NA,NA,NA,NA,NA
-93,NA,NA,12561,34855,NA,64,522,NA,0.51212290949828,1.52040311070981,NA,NA,NA,NA,NA,NA,NA,NA
-92,NA,NA,12646,35464,NA,85,609,NA,0.676697715150068,1.74723855974753,NA,NA,NA,NA,NA,NA,NA,NA
-91,NA,NA,12729,36085,NA,83,621,NA,0.656334018662027,1.75107150913603,NA,NA,NA,NA,NA,NA,NA,NA
-90,NA,NA,12807,36703,NA,78,618,NA,0.612773980674051,1.71262297353471,NA,NA,NA,NA,NA,NA,NA,NA
-89,NA,NA,12871,37419,NA,64,716,NA,0.4997267119544,1.95079421300711,NA,NA,NA,NA,NA,NA,NA,NA
-88,NA,NA,12918,38116,NA,47,697,NA,0.365161992075208,1.86269007723349,NA,NA,NA,NA,NA,NA,NA,NA
-87,NA,NA,12962,38430,NA,44,314,NA,0.340610001548227,0.8238010284395,NA,NA,NA,NA,NA,NA,NA,NA
-86,NA,NA,13045,39017,NA,83,587,NA,0.640333281900941,1.52745251105907,NA,NA,NA,NA,NA,NA,NA,NA
-85,NA,NA,13097,39208,NA,52,191,NA,0.398620160981219,0.489530204782531,NA,NA,NA,NA,NA,NA,NA,NA
-84,NA,NA,13155,39640,NA,58,432,NA,0.442849507520806,1.10181595592736,NA,NA,NA,NA,NA,NA,NA,NA
-83,NA,NA,13202,40022,NA,47,382,NA,0.357278601292284,0.963673057517659,NA,NA,NA,NA,NA,NA,NA,NA
-82,NA,NA,13254,40468,NA,52,446,NA,0.393879715194667,1.11438708710209,NA,NA,NA,NA,NA,NA,NA,NA
-81,NA,NA,13293,40873,NA,39,405,NA,0.294250792213671,1.00079074824553,NA,NA,NA,NA,NA,NA,NA,NA
-80,NA,NA,13320,41303,NA,27,430,NA,0.2031144211239,1.05203924351039,NA,NA,NA,NA,NA,NA,NA,NA
-79,0,7,13368,41288,NA,48,0,NA,0.36036036036036,0,NA,NA,NA,NA,NA,NA,NA,NA
-78,1,14,13407,41559,7,39,271,100,0.291741472172352,0.656365045533811,NA,NA,NA,NA,NA,NA,NA,NA
-77,2,30,13445,41762,16,38,203,114.285714285714,0.28343402700082,0.488462186289372,NA,NA,NA,NA,NA,NA,NA,NA
-76,3,42,13483,42022,12,38,260,40,0.282632949051692,0.622575547148125,NA,NA,NA,NA,NA,NA,NA,NA
-75,4,58,13523,42201,16,40,179,38.0952380952381,0.296669880590373,0.425967350435486,NA,NA,NA,NA,NA,NA,NA,NA
-74,5,68,13554,42740,10,31,539,17.2413793103448,0.229239074169933,1.27722091893557,NA,NA,NA,NA,NA,NA,NA,NA
-73,6,88,13572,42979,20,18,239,29.4117647058824,0.132802124833997,0.55919513336453,NA,NA,NA,NA,NA,NA,NA,NA
-72,7,123,13595,43091,35,23,112,39.7727272727273,0.169466548776894,0.260592382326252,NA,NA,NA,NA,NA,NA,NA,NA
